Time,NodeID,Alleles,STATE_MALE
146,1,Y,100771
147,1,X,100739
147,1,Y,100739
148,1,X,100769
148,1,Y,100769
149,1,X,100753
149,1,Y,100753
150,1,X,100870
150,1,Y,100870
151,1,X,100677
151,1,Y,100677
152,1,X,100694
152,1,Y,100694
153,1,X,100827
153,1,Y,100827
154,1,X,100786
154,1,Y,100786
155,1,X,100933
155,1,Y,100933
156,1,X,100920
156,1,Y,100920
157,1,X,100965
157,1,Y,100965
158,1,X,101068
158,1,Y,101068
159,1,X,101226
159,1,Y,101226
160,1,X,101062
160,1,Y,101062
161,1,X,100988
161,1,Y,100988
162,1,X,101232
162,1,Y,101232
163,1,X,101198
163,1,Y,101198
164,1,X,101124
164,1,Y,101124
165,1,X,101118
165,1,Y,101118
166,1,X,101256
166,1,Y,101256
167,1,X,101267
167,1,Y,101267
168,1,X,101275
168,1,Y,101275
169,1,X,100937
169,1,Y,100937
170,1,X,100920
170,1,Y,100920
171,1,X,101150
171,1,Y,101150
172,1,X,101089
172,1,Y,101089
173,1,X,100991
173,1,Y,100991
174,1,X,101101
174,1,Y,101101
175,1,X,100845
175,1,Y,100845
176,1,X,100913
176,1,Y,100913
177,1,X,101119
177,1,Y,101119
178,1,X,101138
178,1,Y,101138
179,1,X,101065
179,1,Y,101065
180,1,X,101060
180,1,Y,101060
181,1,X,101066
181,1,Y,101066
182,1,X,100971
182,1,Y,100971
183,1,X,100911
183,1,Y,100911
184,1,X,100897
184,1,Y,100897
185,1,X,100980
185,1,Y,100980
186,1,X,100841
186,1,Y,100841
187,1,X,100913
187,1,Y,100913
188,1,X,101148
188,1,Y,101148
189,1,X,100919
189,1,Y,100919
190,1,X,100847
190,1,Y,100847
191,1,X,100918
191,1,Y,100918
192,1,X,100905
192,1,Y,100905
193,1,X,100879
193,1,Y,100879
194,1,X,100754
194,1,Y,100754
195,1,X,100660
195,1,Y,100660
196,1,X,100777
196,1,Y,100777
197,1,X,100687
197,1,Y,100687
198,1,X,100650
198,1,Y,100650
199,1,X,101011
199,1,Y,101011
200,1,X,101258
200,1,Y,101258
201,1,X,101167
201,1,Y,101167
202,1,X,101012
202,1,Y,101012
203,1,X,101019
203,1,Y,101019
204,1,X,100931
204,1,Y,100931
205,1,X,100693
205,1,Y,100693
206,1,X,100848
206,1,Y,100848
207,1,X,100821
207,1,Y,100821
208,1,X,101021
208,1,Y,101021
209,1,X,100801
209,1,Y,100801
210,1,X,100947
210,1,Y,100947
211,1,X,100992
211,1,Y,100992
212,1,X,100983
212,1,Y,100983
213,1,X,101032
213,1,Y,101032
214,1,X,101002
214,1,Y,101002
215,1,X,100941
215,1,Y,100941
216,1,X,100701
216,1,Y,100701
217,1,X,100428
217,1,Y,100428
218,1,X,100637
218,1,Y,100637
219,1,X,100796
219,1,Y,100796
220,1,X,100879
220,1,Y,100879
221,1,X,100934
221,1,Y,100934
222,1,X,101002
222,1,Y,101002
223,1,X,101069
223,1,Y,101069
224,1,X,101147
224,1,Y,101147
225,1,X,100925
225,1,Y,100925
226,1,X,100778
226,1,Y,100778
227,1,X,100947
227,1,Y,100947
228,1,X,100677
228,1,Y,100677
229,1,X,100666
229,1,Y,100666
230,1,X,101000
230,1,Y,101000
231,1,X,100554
231,1,Y,100554
232,1,X,100612
232,1,Y,100612
233,1,X,100635
233,1,Y,100635
234,1,X,100712
234,1,Y,100712
235,1,X,100946
235,1,Y,100946
236,1,X,101144
236,1,Y,101144
237,1,X,100808
237,1,Y,100808
238,1,X,100811
238,1,Y,100811
239,1,X,100775
239,1,Y,100775
240,1,X,100684
240,1,Y,100684
241,1,X,100458
241,1,Y,100458
242,1,X,100751
242,1,Y,100751
243,1,X,100848
243,1,Y,100848
244,1,X,100595
244,1,Y,100595
245,1,X,100615
245,1,Y,100615
246,1,X,100474
246,1,Y,100474
247,1,X,100490
247,1,Y,100490
248,1,X,100582
248,1,Y,100582
249,1,X,100556
249,1,Y,100556
250,1,X,100467
250,1,Y,100467
251,1,X,100551
251,1,Y,100551
252,1,X,100633
252,1,Y,100633
253,1,X,100811
253,1,Y,100811
254,1,X,100801
254,1,Y,100801
255,1,X,101057
255,1,Y,101057
256,1,X,100947
256,1,Y,100947
257,1,X,100897
257,1,Y,100897
258,1,X,100875
258,1,Y,100875
259,1,X,100957
259,1,Y,100957
260,1,X,100972
260,1,Y,100972
261,1,X,101168
261,1,Y,101168
262,1,X,101261
262,1,Y,101261
263,1,X,101242
263,1,Y,101242
264,1,X,101277
264,1,Y,101277
265,1,X,101419
265,1,Y,101419
266,1,X,101556
266,1,Y,101556
267,1,X,101478
267,1,Y,101478
268,1,X,101349
268,1,Y,101349
269,1,X,101111
269,1,Y,101111
270,1,X,101080
270,1,Y,101080
271,1,X,100772
271,1,Y,100772
272,1,X,100831
272,1,Y,100831
273,1,X,100711
273,1,Y,100711
274,1,X,100796
274,1,Y,100796
275,1,X,100846
275,1,Y,100846
276,1,X,100778
276,1,Y,100778
277,1,X,100868
277,1,Y,100868
278,1,X,100968
278,1,Y,100968
279,1,X,101164
279,1,Y,101164
280,1,X,101162
280,1,Y,101162
281,1,X,101391
281,1,Y,101391
282,1,X,101371
282,1,Y,101371
283,1,X,101147
283,1,Y,101147
284,1,X,100908
284,1,Y,100908
285,1,X,101139
285,1,Y,101139
286,1,X,101358
286,1,Y,101358
287,1,X,101406
287,1,Y,101406
288,1,X,101367
288,1,Y,101367
289,1,X,101521
289,1,Y,101521
290,1,X,101612
290,1,Y,101612
291,1,X,101703
291,1,Y,101703
292,1,X,101689
292,1,Y,101689
293,1,X,101558
293,1,Y,101558
294,1,X,101359
294,1,Y,101359
295,1,X,101282
295,1,Y,101282
296,1,X,101297
296,1,Y,101297
297,1,X,101127
297,1,Y,101127
298,1,X,101193
298,1,Y,101193
299,1,X,101076
299,1,Y,101076
