Time,NodeID,Alleles,VectorPopulation
176,1,Y,0
177,1,X,101140
177,1,Y,0
178,1,X,100955
178,1,Y,0
179,1,X,100761
179,1,Y,0
180,1,X,100865
180,1,Y,0
181,1,X,100846
181,1,Y,0
182,1,X,100814
182,1,Y,0
183,1,X,101018
183,1,Y,0
184,1,X,101126
184,1,Y,0
185,1,X,100994
185,1,Y,0
186,1,X,100737
186,1,Y,0
187,1,X,100787
187,1,Y,0
188,1,X,100777
188,1,Y,0
189,1,X,100595
189,1,Y,0
190,1,X,100471
190,1,Y,0
191,1,X,100674
191,1,Y,0
192,1,X,100676
192,1,Y,0
193,1,X,100727
193,1,Y,0
194,1,X,100645
194,1,Y,0
195,1,X,100612
195,1,Y,0
196,1,X,100727
196,1,Y,0
197,1,X,100685
197,1,Y,0
198,1,X,100697
198,1,Y,0
199,1,X,100551
199,1,Y,0
200,1,X,100884
200,1,Y,0
201,1,X,100990
201,1,Y,0
202,1,X,100992
202,1,Y,0
203,1,X,101000
203,1,Y,0
204,1,X,100943
204,1,Y,0
205,1,X,100870
205,1,Y,0
206,1,X,100812
206,1,Y,0
207,1,X,100865
207,1,Y,0
208,1,X,100608
208,1,Y,0
209,1,X,100428
209,1,Y,0
210,1,X,100266
210,1,Y,0
211,1,X,100277
211,1,Y,0
212,1,X,100215
212,1,Y,0
213,1,X,100211
213,1,Y,0
214,1,X,100291
214,1,Y,0
215,1,X,100458
215,1,Y,0
216,1,X,100644
216,1,Y,0
217,1,X,100591
217,1,Y,0
218,1,X,100394
218,1,Y,0
219,1,X,100550
219,1,Y,0
220,1,X,100828
220,1,Y,0
221,1,X,100849
221,1,Y,0
222,1,X,100918
222,1,Y,0
223,1,X,100755
223,1,Y,0
224,1,X,100781
224,1,Y,0
225,1,X,100480
225,1,Y,0
226,1,X,100377
226,1,Y,0
227,1,X,100577
227,1,Y,0
228,1,X,100706
228,1,Y,0
229,1,X,100923
229,1,Y,0
230,1,X,101026
230,1,Y,0
231,1,X,100936
231,1,Y,0
232,1,X,100931
232,1,Y,0
233,1,X,100977
233,1,Y,0
234,1,X,100999
234,1,Y,0
235,1,X,100987
235,1,Y,0
236,1,X,100906
236,1,Y,0
237,1,X,101044
237,1,Y,0
238,1,X,101195
238,1,Y,0
239,1,X,101321
239,1,Y,0
240,1,X,101461
240,1,Y,0
241,1,X,101114
241,1,Y,0
242,1,X,100833
242,1,Y,0
243,1,X,101114
243,1,Y,0
244,1,X,100751
244,1,Y,0
245,1,X,100743
245,1,Y,0
246,1,X,100753
246,1,Y,0
