Time,NodeID,Species,Population,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_MALE,STATE_IMMATURE,STATE_LARVA,STATE_EGG,NewEggsCount,IndoorBitesCount,IndoorBitesCount-Infectious,OutdoorBitesCount,OutdoorBitesCount-Infectious,NewAdults,UnmatedAdults,DiedBeforeFeeding,DiedDuringFeedingIndoor,DiedDuringFeedingOutdoor, VECTOR_WOLBACHIA_FREE, VECTOR_WOLBACHIA_A, VECTOR_WOLBACHIA_B, VECTOR_WOLBACHIA_AB,AvailableHabitat,EggCrowdingCorrection
12,340461476,gambiae,1000,1755,0,0,1755,2767,0,472138,123800,61900,594,0,0,0,0,0,192,46,0,1755,0,0,0,65061.2,0.438218
13,340461476,arabiensis,1000,1567,0,0,1567,2418,0,442487,109600,54800,261,0,261,0,0,0,167,21,20,1567,0,0,0,58849.5,0.470342
13,340461476,funestus,1000,1554,0,0,1554,2457,0,35702,111400,55700,529,0,0,0,0,0,162,63,0,1554,0,0,0,5626.66,0.0484723
13,340461476,gambiae,1000,1524,0,0,1524,2509,0,492552,101400,50700,484,0,0,0,0,0,190,41,0,1524,0,0,0,64488.6,0.525535
14,340461476,arabiensis,1000,1360,0,0,1360,2191,0,459489,100400,50200,237,0,246,0,0,0,157,21,29,1360,0,0,0,57692.8,0.536948
14,340461476,funestus,1000,1369,0,0,1369,2225,0,38055,106400,53200,506,0,0,0,0,0,133,52,0,1369,0,0,0,5813.65,0.0505086
14,340461476,gambiae,1000,1346,0,0,1346,2261,0,510251,104000,52000,499,0,0,0,0,0,130,48,0,1346,0,0,0,64395.5,0.635982
15,340461476,arabiensis,1000,1177,0,0,1177,1966,26029,447573,80800,40400,202,0,184,0,0,0,144,21,18,1177,0,0,0,85124.9,0.57463
15,340461476,funestus,1000,1191,0,0,1191,2002,1404,38889,79400,39700,372,0,0,0,0,0,145,33,0,1191,0,0,0,7494.24,0.0546396
15,340461476,gambiae,1000,1169,0,0,1169,2049,29077,496873,81400,40700,388,0,0,0,0,0,136,41,0,1169,0,0,0,95013.6,0.619187
16,340461476,arabiensis,1000,1027,0,0,1027,1783,35195,474413,74400,37200,171,0,182,0,0,0,109,25,16,1027,0,0,0,73686.8,1
16,340461476,funestus,1000,1052,0,0,1052,1846,1991,41957,73200,36600,348,0,0,0,0,0,110,29,0,1052,0,0,0,6915.68,0.0943859
16,340461476,gambiae,1000,1034,0,0,1034,1838,39161,518541,68200,34100,317,0,0,0,0,0,109,26,0,1034,0,0,0,90458.8,1
17,340461476,arabiensis,1000,882,0,0,882,1610,44965,489760,64200,32100,168,0,139,0,0,0,106,19,20,882,0,0,0,70267.6,0.990413
17,340461476,funestus,1000,909,0,0,909,1667,2603,44056,69000,34500,329,0,0,0,0,0,105,38,0,909,0,0,0,7281.23,0.0944766
17,340461476,gambiae,1000,879,0,0,879,1677,50184,522801,69800,34900,323,0,0,0,0,0,116,39,0,879,0,0,0,99451.9,1
18,340461476,arabiensis,1000,764,0,0,764,1444,54213,494284,55200,27600,129,0,128,0,0,0,85,17,16,764,0,0,0,77306.8,1
18,340461476,funestus,1000,791,0,0,791,1501,3216,46199,55800,27900,261,0,0,0,0,0,90,28,0,791,0,0,0,7578.14,0.105525
18,340461476,gambiae,1000,767,0,0,767,1543,60366,528098,53000,26500,256,0,0,0,0,0,82,30,0,767,0,0,0,107003,1
19,340461476,arabiensis,1000,9401,0,0,9401,10053,44951,489247,46000,23000,99,0,115,0,8734,0,77,12,8,9401,0,0,0,93397.5,1
19,340461476,funestus,1000,1156,0,0,1156,1816,2995,48445,50200,25100,242,0,0,0,464,0,77,22,0,1156,0,0,0,7747.65,0.135809
19,340461476,gambiae,1000,10389,0,0,10389,11238,49978,515848,44400,22200,210,0,0,0,9710,0,65,23,0,10389,0,0,0,131535,1
20,340461476,arabiensis,1000,11745,0,0,11745,12913,46273,475292,43200,21600,3844,0,3863,0,3972,0,911,352,365,11745,0,0,0,118334,1
20,340461476,funestus,1000,1212,0,0,1212,1868,3269,50576,41800,20900,601,0,0,0,238,0,122,60,0,1212,0,0,0,8008,0.154336
20,340461476,gambiae,1000,12870,0,0,12870,14445,51663,495718,46600,23300,8588,0,0,0,4260,0,967,812,0,12870,0,0,0,163866,1
21,340461476,arabiensis,1000,14697,0,0,14697,16164,47098,459328,36600,18300,1795,0,1792,0,4391,0,1112,169,158,14697,0,0,0,143958,1
21,340461476,funestus,1000,1350,0,0,1350,1974,3474,52738,36400,18200,380,0,0,0,283,0,104,41,0,1350,0,0,0,8213.44,0.191579
21,340461476,gambiae,1000,16276,0,0,16276,18121,52188,479982,36400,18200,3873,0,0,0,4981,0,1193,382,0,16276,0,0,0,190335,1
22,340461476,arabiensis,1000,17521,0,0,17521,19117,47495,438509,32400,16200,1951,0,1998,0,4566,0,1373,193,176,17521,0,0,0,172944,1
22,340461476,funestus,1000,1461,0,0,1461,2090,3578,55043,32400,16200,396,0,0,0,286,0,128,47,0,1461,0,0,0,8252.2,0.225644
22,340461476,gambiae,1000,19181,0,0,19181,21489,52931,454725,30600,15300,4378,0,0,0,4898,0,1550,443,0,19181,0,0,0,224667,1
23,340461476,arabiensis,1000,19368,0,0,19368,21773,48266,414847,1092200,546100,4540,0,4496,0,4514,0,1705,484,478,19368,0,0,0,204713,1
23,340461476,funestus,1000,1572,0,0,1572,2240,3717,57034,85200,42600,643,0,0,0,315,0,146,58,0,1572,0,0,0,8581.52,0.254698
23,340461476,gambiae,1000,21349,0,0,21349,24516,53710,425991,1221400,610700,9978,0,0,0,5020,0,1827,1025,0,21349,0,0,0,262409,1
24,340461476,arabiensis,1000,21332,0,0,21332,24193,48465,565217,506000,253000,3135,0,3171,0,4460,0,1845,332,319,21332,0,0,0,61859.6,0.187432
24,340461476,funestus,1000,1728,0,0,1728,2385,3841,59084,53000,26500,524,0,0,0,350,0,150,44,0,1728,0,0,0,8828.65,0.100722
24,340461476,gambiae,1000,23625,0,0,23625,27156,53543,631946,549600,274800,6890,0,0,0,5117,0,2130,711,0,23625,0,0,0,64805.8,0.214843
25,340461476,arabiensis,1000,23479,0,0,23479,26646,48736,559219,563200,281600,3235,0,3288,0,4730,0,1971,321,291,23479,0,0,0,73826.3,0.122252
25,340461476,funestus,1000,1837,0,0,1837,2531,4060,61228,53800,26900,552,0,0,0,326,0,168,49,0,1837,0,0,0,8958.8,0.166578
25,340461476,gambiae,1000,25915,0,0,25915,29751,53776,621251,606200,303100,7299,0,0,0,5149,0,2168,691,0,25915,0,0,0,82132.8,0.117915
26,340461476,arabiensis,1000,24764,0,254,24510,28829,48993,565658,1276200,638100,5137,0,4961,0,4630,0,2326,509,510,24764,0,0,0,73413.8,0.131084
26,340461476,funestus,1000,1927,0,22,1905,2661,4282,63053,90400,45200,715,0,0,0,339,0,177,72,0,1927,0,0,0,9385.2,0.16652
26,340461476,gambiae,1000,27500,0,251,27249,32039,54077,628650,1408600,704300,11178,0,0,0,5149,0,2443,1121,0,27500,0,0,0,81429.9,0.135488
27,340461476,arabiensis,1000,26331,0,417,25914,30775,49156,570831,886600,443300,4132,0,4061,0,4726,0,2389,395,375,26331,0,0,0,75952.9,0.0575253
27,340461476,funestus,1000,2063,0,30,2033,2821,4511,65160,75400,37700,648,0,0,0,386,0,182,68,0,2063,0,0,0,9507.1,0.103819
27,340461476,gambiae,1000,29339,0,413,28926,34245,54279,634811,975200,487600,9035,0,0,0,5407,0,2676,892,0,29339,0,0,0,83837.9,0.0578091
28,340461476,arabiensis,1000,27753,0,606,27147,32413,49745,577973,919600,459800,4212,0,4271,0,4710,0,2480,364,444,27753,0,0,0,73804.8,0.0856676
