Time,NodeID,Genome,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_IMMATURE,STATE_LARVA,STATE_EGG,AvgOocystDurationDays,AvgNumSporozoitesPerVector,NumVectorsWithSporozoites_AA,NumVectorsWithSporozoites_GG,NumVectorsWithSporozoites_Other
17,340461476,X-a2:X-a2,227,0,0,227,722,14094,7625,0,0,0,0,0
18,340461476,X-a1:X-a1,187,0,0,187,957,14098,6375,0,0,0,0,0
18,340461476,X-a1:X-a2,183,0,0,183,991,14612,6525,0,0,0,0,0
18,340461476,X-a2:X-a1,205,0,0,205,955,14223,7125,0,0,0,0,0
18,340461476,X-a2:X-a2,200,0,0,200,921,14401,6875,0,0,0,0,0
19,340461476,X-a1:X-a1,159,0,0,159,1173,14454,5350,0,0,0,0,0
19,340461476,X-a1:X-a2,159,0,0,159,1210,14992,6500,0,0,0,0,0
19,340461476,X-a2:X-a1,175,0,0,175,1165,14810,5850,0,0,0,0,0
19,340461476,X-a2:X-a2,173,0,0,173,1140,14852,7200,0,0,0,0,0
20,340461476,X-a1:X-a1,490,0,0,490,1012,14566,5350,0,0,0,0,0
20,340461476,X-a1:X-a2,512,0,0,512,1038,15492,5150,0,0,0,0,0
20,340461476,X-a2:X-a1,518,0,0,518,983,15085,5200,0,0,0,0,0
20,340461476,X-a2:X-a2,519,0,0,519,969,15663,4700,0,0,0,0,0
21,340461476,X-a1:X-a1,588,0,0,588,1078,15118,4025,0,0,0,0,0
21,340461476,X-a1:X-a2,614,0,0,614,1101,15851,3475,0,0,0,0,0
21,340461476,X-a2:X-a1,597,0,0,597,1018,15539,4625,0,0,0,0,0
21,340461476,X-a2:X-a2,607,0,0,607,1036,15918,4275,0,0,0,0,0
22,340461476,X-a1:X-a1,702,0,0,702,1068,15618,3175,0,0,0,0,0
22,340461476,X-a1:X-a2,746,0,0,746,1122,15917,4025,0,0,0,0,0
22,340461476,X-a2:X-a1,701,0,0,701,1051,16318,3975,0,0,0,0,0
22,340461476,X-a2:X-a2,719,0,0,719,1097,16344,4525,0,0,0,0,0
23,340461476,X-a1:X-a1,825,0,0,825,1113,15615,3700,0,0,0,0,0
23,340461476,X-a1:X-a2,879,0,0,879,1114,16332,3500,0,0,0,0,0
23,340461476,X-a2:X-a1,841,0,0,841,1093,16639,3100,0,0,0,0,0
23,340461476,X-a2:X-a2,827,0,0,827,1117,17033,3300,0,0,0,0,0
24,340461476,X-a1:X-a1,935,0,0,935,1135,16261,25450,0,0,0,0,0
24,340461476,X-a1:X-a2,967,0,0,967,1159,16755,24100,0,0,0,0,0
24,340461476,X-a2:X-a1,935,0,0,935,1091,16811,27100,0,0,0,0,0
24,340461476,X-a2:X-a2,917,0,0,917,1095,17295,25950,0,0,0,0,0
25,340461476,X-a1:X-a1,1006,0,0,1006,1170,16674,12150,0,0,0,0,0
25,340461476,X-a1:X-a2,1079,0,0,1079,1151,16903,13350,0,0,0,0,0
25,340461476,X-a2:X-a1,1006,0,0,1006,1159,17084,12100,0,0,0,0,0
25,340461476,X-a2:X-a2,1001,0,0,1001,1142,17627,13400,0,0,0,0,0
26,340461476,X-a1:X-a1,1068,0,0,1068,1171,16989,14425,0,0,0,0,0
26,340461476,X-a1:X-a2,1151,0,0,1151,1240,17363,15025,0,0,0,0,0
26,340461476,X-a2:X-a1,1078,0,0,1078,1208,17375,13125,0,0,0,0,0
26,340461476,X-a2:X-a2,1106,0,0,1106,1218,18052,14725,0,0,0,0,0
27,340461476,X-a1:X-a1,1154,0,0,1154,1236,17353,29125,0,0,0,0,0
27,340461476,X-a1:X-a2,1200,0,0,1200,1295,17812,27925,0,0,0,0,0
27,340461476,X-a2:X-a1,1130,0,0,1130,1208,17414,30725,0,0,0,0,0
27,340461476,X-a2:X-a2,1161,0,0,1161,1240,18324,31025,0,0,0,0,0
28,340461476,X-a1:X-a1,1247,0,0,1247,1200,17631,20200,0,0,0,0,0
28,340461476,X-a1:X-a2,1291,0,0,1291,1272,17872,22200,0,0,0,0,0
28,340461476,X-a2:X-a1,1174,0,0,1174,1302,17702,19450,0,0,0,0,0
28,340461476,X-a2:X-a2,1203,0,0,1203,1321,18610,22450,0,0,0,0,0
29,340461476,X-a1:X-a1,1320,0,0,1320,1223,17871,22700,0,0,0,0,0
29,340461476,X-a1:X-a2,1330,0,0,1330,1317,18297,21900,0,0,0,0,0
29,340461476,X-a2:X-a1,1288,0,0,1288,1319,17799,21100,0,0,0,0,0
29,340461476,X-a2:X-a2,1293,0,0,1293,1383,18981,22000,0,0,0,0,0
30,340461476,X-a1:X-a1,1360,0,0,1360,1306,18364,30600,0,0,0,0,0
30,340461476,X-a1:X-a2,1408,0,0,1408,1345,18419,30750,0,0,0,0,0
30,340461476,X-a2:X-a1,1375,0,0,1375,1276,18139,34000,0,0,0,0,0
30,340461476,X-a2:X-a2,1390,0,0,1390,1334,19141,33150,0,0,0,0,0
31,340461476,X-a1:X-a1,1444,0,0,1444,1335,18537,27775,0,0,0,0,0
31,340461476,X-a1:X-a2,1489,0,0,1489,1344,18736,28625,0,0,0,0,0
31,340461476,X-a2:X-a1,1433,0,0,1433,1337,18542,26575,0,0,0,0,0
31,340461476,X-a2:X-a2,1455,0,0,1455,1355,19324,27625,0,0,0,0,0
32,340461476,X-a1:X-a1,1444,0,0,1444,1495,18638,29400,0,0,0,0,0
32,340461476,X-a1:X-a2,1533,0,0,1533,1518,19035,28700,0,0,0,0,0
32,340461476,X-a2:X-a1,1514,0,0,1514,1444,18554,27000,0,0,0,0,0
