Time,NodeID,Alleles,VectorPopulation,STATE_MALE
20,1,Ce,0,0
20,1,Cm,0,0
20,1,Cw,203,400
20,1,X,203,400
20,1,Y,0,400
21,1,Ad,0,0
21,1,Am,0,0
21,1,Aw,152,316
21,1,Bd,0,0
21,1,Bm,0,0
21,1,Bw,152,316
21,1,Ce,0,0
21,1,Cm,0,0
21,1,Cw,152,316
21,1,X,152,316
21,1,Y,0,316
22,1,Ad,0,0
22,1,Am,0,0
22,1,Aw,23075,23640
22,1,Bd,0,0
22,1,Bm,0,0
22,1,Bw,23075,23640
22,1,Ce,0,0
22,1,Cm,0,0
22,1,Cw,23075,23640
22,1,X,23075,23640
22,1,Y,0,23640
23,1,Ad,0,0
23,1,Am,0,0
23,1,Aw,28944,31398
23,1,Bd,0,0
23,1,Bm,0,0
23,1,Bw,28944,31398
23,1,Ce,0,0
23,1,Cm,0,0
23,1,Cw,28944,31398
23,1,X,28944,31398
23,1,Y,0,31398
24,1,Ad,0,0
24,1,Am,0,0
24,1,Aw,36711,39673
24,1,Bd,0,0
24,1,Bm,0,0
24,1,Bw,36711,39673
24,1,Ce,0,0
24,1,Cm,0,0
24,1,Cw,36711,39673
24,1,X,36711,39673
24,1,Y,0,39673
25,1,Ad,0,0
25,1,Am,0,0
25,1,Aw,43356,47121
25,1,Bd,0,0
25,1,Bm,0,0
25,1,Bw,43356,47121
25,1,Ce,0,0
25,1,Cm,0,0
25,1,Cw,43356,47121
25,1,X,43356,47121
25,1,Y,0,47121
26,1,Ad,0,0
26,1,Am,0,0
26,1,Aw,47891,53717
26,1,Bd,0,0
26,1,Bm,0,0
26,1,Bw,47891,53717
26,1,Ce,0,0
26,1,Cm,0,0
26,1,Cw,47891,53717
26,1,X,47891,53717
26,1,Y,0,53717
27,1,Ad,0,0
27,1,Am,0,0
27,1,Aw,52923,59771
27,1,Bd,0,0
27,1,Bm,0,0
27,1,Bw,52923,59771
27,1,Ce,0,0
27,1,Cm,0,0
27,1,Cw,52923,59771
27,1,X,52923,59771
27,1,Y,0,59771
28,1,Ad,0,0
28,1,Am,0,0
28,1,Aw,57282,64974
28,1,Bd,0,0
28,1,Bm,0,0
28,1,Bw,57282,64974
28,1,Ce,0,0
28,1,Cm,0,0
28,1,Cw,57282,64974
28,1,X,57282,64974
28,1,Y,0,64974
29,1,Ad,0,0
29,1,Am,0,0
29,1,Aw,60380,69644
29,1,Bd,0,0
29,1,Bm,0,0
29,1,Bw,60380,69644
29,1,Ce,0,0
29,1,Cm,0,0
29,1,Cw,60380,69644
29,1,X,60380,69644
29,1,Y,0,69644
30,1,Ad,0,0
30,1,Am,0,0
30,1,Aw,63683,73720
30,1,Bd,0,0
30,1,Bm,0,0
30,1,Bw,63683,73720
30,1,Ce,0,0
30,1,Cm,0,0
30,1,Cw,63683,73720
30,1,X,63683,73720
30,1,Y,0,73720
31,1,Ad,0,0
31,1,Am,0,0
31,1,Aw,63027,73887
31,1,Bd,0,0
31,1,Bm,0,0
31,1,Bw,63027,73887
31,1,Ce,0,0
31,1,Cm,0,0
31,1,Cw,63027,73887
31,1,X,63027,73887
31,1,Y,0,73887
32,1,Ad,0,0
32,1,Am,0,0
32,1,Aw,60915,72868
32,1,Bd,0,0
32,1,Bm,0,0
32,1,Bw,60915,72868
32,1,Ce,0,0
32,1,Cm,0,0
32,1,Cw,60915,72868
32,1,X,60915,72868
32,1,Y,0,72868
33,1,Ad,0,0
33,1,Am,0,0
33,1,Aw,59666,72082
33,1,Bd,0,0
33,1,Bm,0,0
33,1,Bw,59666,72082
33,1,Ce,0,0
33,1,Cm,0,0
33,1,Cw,59666,72082
33,1,X,59666,72082
33,1,Y,0,72082
34,1,Ad,0,0
34,1,Am,0,0
34,1,Aw,55431,68218
34,1,Bd,0,0
34,1,Bm,0,0
34,1,Bw,55431,68218
34,1,Ce,0,0
34,1,Cm,0,0
34,1,Cw,55431,68218
34,1,X,55431,68218
34,1,Y,0,68218
35,1,Ad,0,0
35,1,Am,0,0
35,1,Aw,51030,64058
35,1,Bd,0,0
35,1,Bm,0,0
35,1,Bw,51030,64058
35,1,Ce,0,0
35,1,Cm,0,0
35,1,Cw,51030,64058
35,1,X,51030,64058
35,1,Y,0,64058
36,1,Ad,0,0
36,1,Am,0,0
36,1,Aw,47333,60199
36,1,Bd,0,0
36,1,Bm,0,0
36,1,Bw,47333,60199
36,1,Ce,0,0
36,1,Cm,0,0
36,1,Cw,47333,60199
36,1,X,47333,60199
36,1,Y,0,60199
37,1,Ad,0,0
37,1,Am,0,0
37,1,Aw,42661,55459
37,1,Bd,0,0
37,1,Bm,0,0
37,1,Bw,42661,55459
37,1,Ce,0,0
37,1,Cm,0,0
37,1,Cw,42661,55459
37,1,X,42661,55459
37,1,Y,0,55459
38,1,Ad,0,0
38,1,Am,0,0
