Time,NodeID,Alleles,VectorPopulation
58,1,Bd,0
58,1,Bm,0
58,1,Bw,92373
58,1,Ce,0
58,1,Cm,0
58,1,Cw,92373
58,1,X,92373
58,1,Y,0
59,1,Ad,0
59,1,Am,0
59,1,Aw,91713
59,1,Bd,0
59,1,Bm,0
59,1,Bw,91713
59,1,Ce,0
59,1,Cm,0
59,1,Cw,91713
59,1,X,91713
59,1,Y,0
60,1,Ad,0
60,1,Am,0
60,1,Aw,90621
60,1,Bd,0
60,1,Bm,0
60,1,Bw,90621
60,1,Ce,0
60,1,Cm,0
60,1,Cw,90621
60,1,X,90621
60,1,Y,0
61,1,Ad,0
61,1,Am,0
61,1,Aw,88054
61,1,Bd,0
61,1,Bm,0
61,1,Bw,88054
61,1,Ce,0
61,1,Cm,0
61,1,Cw,88054
61,1,X,88054
61,1,Y,0
62,1,Ad,0
62,1,Am,0
62,1,Aw,87519
62,1,Bd,0
62,1,Bm,0
62,1,Bw,87519
62,1,Ce,0
62,1,Cm,0
62,1,Cw,87519
62,1,X,87519
62,1,Y,0
63,1,Ad,0
63,1,Am,0
63,1,Aw,86674
63,1,Bd,0
63,1,Bm,0
63,1,Bw,86674
63,1,Ce,0
63,1,Cm,0
63,1,Cw,86674
63,1,X,86674
63,1,Y,0
64,1,Ad,0
64,1,Am,0
64,1,Aw,85427
64,1,Bd,0
64,1,Bm,0
64,1,Bw,85427
64,1,Ce,0
64,1,Cm,0
64,1,Cw,85427
64,1,X,85427
64,1,Y,0
65,1,Ad,0
65,1,Am,0
65,1,Aw,84717
65,1,Bd,0
65,1,Bm,0
65,1,Bw,84717
65,1,Ce,0
65,1,Cm,0
65,1,Cw,84717
65,1,X,84717
65,1,Y,0
66,1,Ad,0
66,1,Am,0
66,1,Aw,105245
66,1,Bd,0
66,1,Bm,0
66,1,Bw,105245
66,1,Ce,0
66,1,Cm,0
66,1,Cw,105245
66,1,X,105245
66,1,Y,0
67,1,Ad,0
67,1,Am,0
67,1,Aw,99157
67,1,Bd,0
67,1,Bm,0
67,1,Bw,99157
67,1,Ce,0
67,1,Cm,0
67,1,Cw,99157
67,1,X,99157
