Time,NodeID,Alleles,VectorPopulation,VectorPopulationNumDied,VectorPopulationAvgAgeAtDeath
25,1,a0,43668,4737,1.99704
25,1,a1,0,0,0
25,1,b0,43668,4737,1.99704
25,1,b1,0,0,0
25,1,a0.b0,43668,4737,1.99704
25,1,a1.b1,0,0,0
26,1,X,47984,7015,2.6871
26,1,Y,0,0,0
26,1,a0,47984,7015,2.6871
26,1,a1,0,0,0
26,1,b0,47984,7015,2.6871
26,1,b1,0,0,0
26,1,a0.b0,47984,7015,2.6871
26,1,a1.b1,0,0,0
27,1,X,52953,6551,2.87269
27,1,Y,0,0,0
27,1,a0,52953,6551,2.87269
27,1,a1,0,0,0
27,1,b0,52953,6551,2.87269
27,1,b1,0,0,0
27,1,a0.b0,52953,6551,2.87269
27,1,a1.b1,0,0,0
28,1,X,57288,7276,3.15434
28,1,Y,0,0,0
28,1,a0,57288,7276,3.15434
28,1,a1,0,0,0
28,1,b0,57288,7276,3.15434
28,1,b1,0,0,0
28,1,a0.b0,57288,7276,3.15434
28,1,a1.b1,0,0,0
29,1,X,60528,8446,3.80204
29,1,Y,0,0,0
29,1,a0,60528,8446,3.80204
29,1,a1,0,0,0
29,1,b0,60528,8446,3.80204
29,1,b1,0,0,0
29,1,a0.b0,60528,8446,3.80204
29,1,a1.b1,0,0,0
30,1,X,63884,8386,3.86525
30,1,Y,0,0,0
30,1,a0,63884,8386,3.86525
30,1,a1,0,0,0
30,1,b0,63884,8386,3.86525
30,1,b1,0,0,0
30,1,a0.b0,63884,8386,3.86525
30,1,a1.b1,0,0,0
31,1,X,62752,8960,4.1269
31,1,Y,0,0,0
31,1,a0,62752,8960,4.1269
31,1,a1,0,0,0
31,1,b0,62752,8960,4.1269
31,1,b1,0,0,0
31,1,a0.b0,62752,8960,4.1269
31,1,a1.b1,0,0,0
32,1,X,61351,9012,4.95839
32,1,Y,0,0,0
32,1,a0,61351,9012,4.95839
32,1,a1,0,0,0
32,1,b0,61351,9012,4.95839
32,1,b1,0,0,0
32,1,a0.b0,61351,9012,4.95839
32,1,a1.b1,0,0,0
33,1,X,60151,8658,5.13121
33,1,Y,0,0,0
33,1,a0,60151,8658,5.13121
33,1,a1,0,0,0
33,1,b0,60151,8658,5.13121
33,1,b1,0,0,0
33,1,a0.b0,60151,8658,5.13121
33,1,a1.b1,0,0,0
34,1,X,55586,8700,5.51012
34,1,Y,0,0,0
34,1,a0,55586,8700,5.51012
34,1,a1,0,0,0
34,1,b0,55586,8700,5.51012
34,1,b1,0,0,0
34,1,a0.b0,55586,8700,5.51012
34,1,a1.b1,0,0,0
35,1,X,51857,8106,6.52011
35,1,Y,0,0,0
35,1,a0,51857,8106,6.52011
35,1,a1,0,0,0
35,1,b0,51857,8106,6.52011
35,1,b1,0,0,0
35,1,a0.b0,51857,8106,6.52011
35,1,a1.b1,0,0,0
36,1,X,48698,7617,6.59814
36,1,Y,0,0,0
36,1,a0,48698,7617,6.59814
36,1,a1,0,0,0
36,1,b0,48698,7617,6.59814
36,1,b1,0,0,0
36,1,a0.b0,48698,7617,6.59814
36,1,a1.b1,0,0,0
37,1,X,43650,7353,7.03482
37,1,Y,0,0,0
37,1,a0,43650,7353,7.03482
37,1,a1,0,0,0
37,1,b0,43650,7353,7.03482
37,1,b1,0,0,0
37,1,a0.b0,43650,7353,7.03482
37,1,a1.b1,0,0,0
38,1,X,39244,6545,8.08312
38,1,Y,0,0,0
38,1,a0,39244,6545,8.08312
38,1,a1,0,0,0
38,1,b0,39244,6545,8.08312
38,1,b1,0,0,0
38,1,a0.b0,39244,6545,8.08312
38,1,a1.b1,0,0,0
39,1,X,35345,5892,8.4036
39,1,Y,0,0,0
39,1,a0,35345,5892,8.4036
39,1,a1,0,0,0
39,1,b0,35345,5892,8.4036
39,1,b1,0,0,0
39,1,a0.b0,35345,5892,8.4036
39,1,a1.b1,0,0,0
40,1,X,31015,5572,8.84225
40,1,Y,0,0,0
40,1,a0,31015,5572,8.84225
40,1,a1,0,0,0
40,1,b0,31015,5572,8.84225
40,1,b1,0,0,0
40,1,a0.b0,31015,5572,8.84225
40,1,a1.b1,0,0,0
41,1,X,27251,4813,9.67131
41,1,Y,0,0,0
41,1,a0,27251,4813,9.67131
41,1,a1,0,0,0
41,1,b0,27251,4813,9.67131
41,1,b1,0,0,0
41,1,a0.b0,27251,4813,9.67131
41,1,a1.b1,0,0,0
42,1,X,23877,4268,10.1706
42,1,Y,0,0,0
42,1,a0,23877,4268,10.1706
42,1,a1,0,0,0
42,1,b0,23877,4268,10.1706
42,1,b1,0,0,0
42,1,a0.b0,23877,4268,10.1706
