Time,NodeID,Genome,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_MALE,STATE_IMMATURE,STATE_LARVA,STATE_EGG
13,340461476,X-a0:Y-a1,0,0,0,0,0,0,31829,0
13,340461476,X-a1:X-a1,0,0,0,0,0,0,0,0
13,340461476,X-a1:Y-a1,0,0,0,0,0,0,0,0
14,340461476,X-a0:X-a0,1096,479,0,617,0,0,0,0
14,340461476,X-a0:Y-a0,0,0,0,0,3314,0,0,0
14,340461476,X-a0:X-a1,0,0,0,0,0,0,28826,124200
14,340461476,X-a0:Y-a1,0,0,0,0,0,0,28930,124200
14,340461476,X-a1:X-a1,0,0,0,0,0,0,0,0
14,340461476,X-a1:Y-a1,0,0,0,0,0,0,0,0
15,340461476,X-a0:X-a0,978,431,0,547,0,0,0,0
15,340461476,X-a0:Y-a0,0,0,0,0,3006,0,0,0
15,340461476,X-a0:X-a1,0,0,0,0,0,0,37673,0
15,340461476,X-a0:Y-a1,0,0,0,0,0,0,37762,0
15,340461476,X-a1:X-a1,0,0,0,0,0,0,0,0
15,340461476,X-a1:Y-a1,0,0,0,0,0,0,0,0
16,340461476,X-a0:X-a0,883,391,0,492,0,0,0,0
16,340461476,X-a0:Y-a0,0,0,0,0,2741,0,0,0
16,340461476,X-a0:X-a1,0,0,0,0,0,0,34031,0
16,340461476,X-a0:Y-a1,0,0,0,0,0,0,34235,0
16,340461476,X-a1:X-a1,0,0,0,0,0,0,0,0
16,340461476,X-a1:Y-a1,0,0,0,0,0,0,0,0
17,340461476,X-a0:X-a0,704,298,0,406,0,0,0,0
17,340461476,X-a0:Y-a0,0,0,0,0,2458,0,0,0
17,340461476,X-a0:X-a1,0,0,0,0,0,9068,21780,78900
17,340461476,X-a0:Y-a1,0,0,0,0,0,9211,21854,78900
17,340461476,X-a1:X-a1,0,0,0,0,0,0,0,0
17,340461476,X-a1:Y-a1,0,0,0,0,0,0,0,0
18,340461476,X-a0:X-a0,640,273,0,367,0,0,0,0
18,340461476,X-a0:Y-a0,0,0,0,0,2214,0,0,0
18,340461476,X-a0:X-a1,0,0,0,0,0,8206,40572,0
18,340461476,X-a0:Y-a1,0,0,0,0,0,8320,40479,0
18,340461476,X-a1:X-a1,0,0,0,0,0,0,0,0
18,340461476,X-a1:Y-a1,0,0,0,0,0,0,0,0
19,340461476,X-a0:X-a0,577,246,0,331,0,0,0,0
19,340461476,X-a0:Y-a0,0,0,0,0,1988,0,0,0
19,340461476,X-a0:X-a1,0,0,0,0,0,7408,36716,0
19,340461476,X-a0:Y-a1,0,0,0,0,0,7530,36728,0
19,340461476,X-a1:X-a1,0,0,0,0,0,0,0,0
19,340461476,X-a1:Y-a1,0,0,0,0,0,0,0,0
20,340461476,X-a0:X-a0,485,209,0,276,0,0,0,0
20,340461476,X-a0:Y-a0,0,0,0,0,1783,0,0,0
20,340461476,X-a0:X-a1,0,0,0,0,0,10399,29477,53100
20,340461476,X-a0:Y-a1,0,0,0,0,0,10575,29379,53100
20,340461476,X-a1:X-a1,0,0,0,0,0,0,0,0
20,340461476,X-a1:Y-a1,0,0,0,0,0,0,0,0
21,340461476,X-a0:X-a0,436,190,0,246,0,0,0,0
21,340461476,X-a0:Y-a0,0,0,0,0,1600,0,0,0
21,340461476,X-a0:X-a1,6072,0,0,6072,0,3343,41360,0
21,340461476,X-a0:Y-a1,0,0,0,0,6159,3359,41013,0
21,340461476,X-a1:X-a1,0,0,0,0,0,0,0,0
21,340461476,X-a1:Y-a1,0,0,0,0,0,0,0,0
22,340461476,X-a0:X-a0,395,170,0,225,0,0,0,0
22,340461476,X-a0:Y-a0,0,0,0,0,1437,0,0,0
22,340461476,X-a0:X-a1,5002,0,0,5002,0,3047,37421,0
22,340461476,X-a0:Y-a1,0,0,0,0,5538,3046,37136,0
22,340461476,X-a1:X-a1,0,0,0,0,0,0,0,0
22,340461476,X-a1:Y-a1,0,0,0,0,0,0,0,0
23,340461476,X-a0:X-a0,318,136,0,182,0,0,0,0
23,340461476,X-a0:Y-a0,0,0,0,0,1313,0,0,0
23,340461476,X-a0:X-a1,4533,0,0,4533,0,6808,29793,35400
23,340461476,X-a0:Y-a1,0,0,0,0,5002,6645,29741,35400
23,340461476,X-a1:X-a1,0,0,0,0,0,0,0,0
23,340461476,X-a1:Y-a1,0,0,0,0,0,0,0,0
24,340461476,X-a0:X-a0,288,123,0,165,0,0,0,0
24,340461476,X-a0:Y-a0,0,0,0,0,1199,0,0,0
24,340461476,X-a0:X-a1,6678,0,0,6678,0,3670,42052,0
24,340461476,X-a0:Y-a1,0,0,0,0,7068,3466,41900,0
24,340461476,X-a1:X-a1,0,0,0,0,0,0,0,0
24,340461476,X-a1:Y-a1,0,0,0,0,0,0,0,0
25,340461476,X-a0:X-a0,266,111,0,155,0,0,0,113925
25,340461476,X-a0:Y-a0,0,0,0,0,1075,0,0,113925
25,340461476,X-a0:X-a1,5467,0,0,5467,0,3314,38019,189500
25,340461476,X-a0:Y-a1,0,0,0,0,6370,3156,37874,189500
25,340461476,X-a1:X-a1,0,0,0,0,0,0,0,75575
25,340461476,X-a1:Y-a1,0,0,0,0,0,0,0,75575
26,340461476,X-a0:X-a0,206,80,5,121,0,0,2188,0
26,340461476,X-a0:Y-a0,0,0,0,0,969,0,2189,0
26,340461476,X-a0:X-a1,4970,0,0,4970,0,6945,34204,24100
26,340461476,X-a0:Y-a1,0,0,0,0,5771,6846,34091,24100
26,340461476,X-a1:X-a1,0,0,0,0,0,0,1404,0
26,340461476,X-a1:Y-a1,0,0,0,0,0,0,1510,0
27,340461476,X-a0:X-a0,176,70,4,102,0,0,1979,0
27,340461476,X-a0:Y-a0,0,0,0,0,865,0,2009,0
27,340461476,X-a0:X-a1,7179,0,0,7179,0,3599,38601,0
27,340461476,X-a0:Y-a1,0,0,0,0,7854,3583,38519,0
27,340461476,X-a1:X-a1,0,0,0,0,0,0,1263,0
27,340461476,X-a1:Y-a1,0,0,0,0,0,0,1387,0
28,340461476,X-a0:X-a0,162,65,4,93,0,0,1810,120725
28,340461476,X-a0:Y-a0,0,0,0,0,779,0,1826,120725
28,340461476,X-a0:X-a1,5856,0,193,5663,0,3258,34833,204000
28,340461476,X-a0:Y-a1,0,0,0,0,7150,3237,34899,204000
28,340461476,X-a1:X-a1,0,0,0,0,0,0,1147,83275
28,340461476,X-a1:Y-a1,0,0,0,0,0,0,1248,83275
29,340461476,X-a0:X-a0,124,45,6,73,0,0,3952,0
29,340461476,X-a0:Y-a0,0,0,0,0,702,0,4034,0
29,340461476,X-a0:X-a1,5316,0,176,5140,0,9918,28531,14540
29,340461476,X-a0:Y-a1,0,0,0,0,6477,9804,28706,14540
29,340461476,X-a1:X-a1,0,0,0,0,0,0,2633,0
29,340461476,X-a1:Y-a1,0,0,0,0,0,0,2738,0
30,340461476,X-a0:X-a0,113,42,5,66,0,0,3573,0
30,340461476,X-a0:Y-a0,0,0,0,0,629,0,3655,0
30,340461476,X-a0:X-a1,7442,0,163,7279,0,6301,36372,0
30,340461476,X-a0:Y-a1,0,0,0,0,8518,6241,36549,0
30,340461476,X-a1:X-a1,0,0,0,0,0,0,2386,0
30,340461476,X-a1:Y-a1,0,0,0,0,0,0,2474,0
31,340461476,X-a0:X-a0,106,38,5,63,0,0,3235,123865
31,340461476,X-a0:Y-a0,0,0,0,0,568,0,3297,123865
31,340461476,X-a0:X-a1,5993,0,331,5662,0,5747,32797,215090
31,340461476,X-a0:Y-a1,0,0,0,0,7727,5636,33129,215090
31,340461476,X-a1:X-a1,0,0,0,0,0,0,2162,91225
31,340461476,X-a1:Y-a1,0,0,0,0,0,0,2245,91225
32,340461476,X-a0:X-a0,78,26,11,41,0,0,5149,0
32,340461476,X-a0:Y-a0,0,0,0,0,519,0,5220,0
32,340461476,X-a0:X-a1,5418,0,304,5114,0,9967,28703,9220
32,340461476,X-a0:Y-a1,0,0,0,0,6976,9986,28956,9220
32,340461476,X-a1:X-a1,0,0,0,0,0,0,3582,0
32,340461476,X-a1:Y-a1,0,0,0,0,0,0,3622,0
33,340461476,X-a0:X-a0,67,22,10,35,0,0,4700,0
33,340461476,X-a0:Y-a0,0,0,0,0,473,0,4743,0
33,340461476,X-a0:X-a1,9528,0,272,9256,0,4418,34527,0
33,340461476,X-a0:Y-a1,0,0,0,0,10915,4413,34736,0
33,340461476,X-a1:X-a1,0,0,0,0,0,0,3245,0
33,340461476,X-a1:Y-a1,0,0,0,0,0,0,3274,0
34,340461476,X-a0:X-a0,61,20,8,33,0,0,4234,122130
34,340461476,X-a0:Y-a0,0,0,0,0,430,0,4264,122130
34,340461476,X-a0:X-a1,7717,0,1270,6447,0,3989,31170,217030
34,340461476,X-a0:Y-a1,0,0,0,0,9861,3991,31426,217030
