Time,NodeID,Population,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_MALE,STATE_IMMATURE,STATE_LARVA,STATE_EGG,NumLookingToFeed,NumFedCount,NumGestatingBegin,NumGestatingEnd,NumAttemptFeedIndoor,NumAttemptFeedOutdoor,NumAttemptButNotFeed,NewEggsCount,IndoorBitesCount,IndoorBitesCount-Infectious,OutdoorBitesCount,OutdoorBitesCount-Infectious,NewAdults,UnmatedAdults,DiedBeforeFeeding,DiedDuringFeedingIndoor,DiedDuringFeedingOutdoor,NumGestatingOnDay_0,NumGestatingOnDay_1,NumGestatingOnDay_2,NumGestatingOnDay_3,NumGestatingOnDay_4,NumGestatingOnDay_5,NumGestatingOnDay_6,NumGestatingOnDay_7,SillySkeeter_AvailableHabitat,SillySkeeter_EggCrowdingCorrection,NumInfectousBitesGiven,NumInfectousBitesReceived,InfectiousBitesGivenMinusReceived
0,340461476,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20753.3,1,0,0,0
1,340461476,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29337.3,1,0,0,0
2,340461476,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36911.8,1,0,0,0
3,340461476,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43595.3,1,0,0,0
4,340461476,1000,0,0,0,0,9092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49492.7,1,0,0,0
5,340461476,1000,3989,1933,0,2056,8243,0,0,909200,4546,3989,0,3989,4546,0,0,454600,4546,1132,0,0,5000,0,454,557,0,0,0,3989,0,0,0,0,0,54696.5,1,1132,1152,-20
6,340461476,1000,3616,1750,0,1866,7437,0,54612,0,0,0,3616,3616,0,0,0,0,0,0,0,0,0,0,373,0,0,0,3616,0,0,0,0,0,0,4676.29,0.060159,0,0,0
7,340461476,1000,3285,1593,0,1692,6693,0,49398,0,0,0,3285,3285,0,0,0,0,0,0,0,0,0,0,331,0,0,3285,0,0,0,0,0,0,0,13942,1,0,0,0
8,340461476,1000,2596,1207,0,1389,6038,0,44759,593000,2965,2596,0,2596,2965,0,0,296500,2965,677,0,0,0,0,320,369,0,0,0,2596,0,0,0,0,0,22156.1,1,677,664,13
9,340461476,1000,2349,1101,0,1248,5447,0,62802,0,0,0,2349,2349,0,0,0,0,0,0,0,0,0,0,247,0,0,0,2349,0,0,0,0,0,0,7267.73,0.0373627,0,0,0
10,340461476,1000,2121,994,0,1127,4918,0,56868,0,0,0,2121,2121,0,0,0,0,0,0,0,0,0,0,228,0,0,2121,0,0,0,0,0,0,0,15985.3,1,0,0,0
11,340461476,1000,1663,742,0,921,4444,0,51487,384000,1920,1663,0,1663,1920,0,0,192000,1920,450,0,0,0,0,201,257,0,0,0,1663,0,0,0,0,0,23822.5,1,450,476,-26
12,340461476,1000,1510,676,0,834,4034,0,70274,0,0,0,1510,1510,0,0,0,0,0,0,0,0,0,0,153,0,0,0,1510,0,0,0,0,0,0,7202.83,0.0620378,0,0,0
