Time,NodeID,Genome,STATE_MALE
40,1,X-a0:Y-a1,0
40,1,X-a1:Y-a0,0
40,1,X-a1:Y-a1,0
41,1,X-a0:Y-a0,36773
41,1,X-a0:Y-a1,0
41,1,X-a1:Y-a0,0
41,1,X-a1:Y-a1,0
42,1,X-a0:Y-a0,32775
42,1,X-a0:Y-a1,0
42,1,X-a1:Y-a0,0
42,1,X-a1:Y-a1,0
43,1,X-a0:Y-a0,28926
43,1,X-a0:Y-a1,0
43,1,X-a1:Y-a0,0
43,1,X-a1:Y-a1,0
44,1,X-a0:Y-a0,25621
44,1,X-a0:Y-a1,0
44,1,X-a1:Y-a0,0
44,1,X-a1:Y-a1,0
45,1,X-a0:Y-a0,22506
45,1,X-a0:Y-a1,0
45,1,X-a1:Y-a0,0
45,1,X-a1:Y-a1,0
46,1,X-a0:Y-a0,19469
46,1,X-a0:Y-a1,0
46,1,X-a1:Y-a0,0
46,1,X-a1:Y-a1,0
47,1,X-a0:Y-a0,17092
47,1,X-a0:Y-a1,0
47,1,X-a1:Y-a0,0
47,1,X-a1:Y-a1,0
48,1,X-a0:Y-a0,128461
48,1,X-a0:Y-a1,0
48,1,X-a1:Y-a0,0
48,1,X-a1:Y-a1,0
49,1,X-a0:Y-a0,118563
49,1,X-a0:Y-a1,0
49,1,X-a1:Y-a0,0
49,1,X-a1:Y-a1,0
50,1,X-a0:Y-a0,119987
50,1,X-a0:Y-a1,0
50,1,X-a1:Y-a0,0
50,1,X-a1:Y-a1,0
51,1,X-a0:Y-a0,119934
51,1,X-a0:Y-a1,0
51,1,X-a1:Y-a0,0
51,1,X-a1:Y-a1,0
52,1,X-a0:Y-a0,119569
52,1,X-a0:Y-a1,0
52,1,X-a1:Y-a0,0
52,1,X-a1:Y-a1,0
53,1,X-a0:Y-a0,119349
53,1,X-a0:Y-a1,0
53,1,X-a1:Y-a0,0
53,1,X-a1:Y-a1,0
54,1,X-a0:Y-a0,118695
54,1,X-a0:Y-a1,0
54,1,X-a1:Y-a0,0
54,1,X-a1:Y-a1,0
55,1,X-a0:Y-a0,117827
55,1,X-a0:Y-a1,0
55,1,X-a1:Y-a0,0
55,1,X-a1:Y-a1,0
56,1,X-a0:Y-a0,116999
56,1,X-a0:Y-a1,0
56,1,X-a1:Y-a0,0
56,1,X-a1:Y-a1,0
57,1,X-a0:Y-a0,115830
57,1,X-a0:Y-a1,0
57,1,X-a1:Y-a0,0
57,1,X-a1:Y-a1,0
58,1,X-a0:Y-a0,114717
58,1,X-a0:Y-a1,0
58,1,X-a1:Y-a0,0
58,1,X-a1:Y-a1,0
59,1,X-a0:Y-a0,113907
59,1,X-a0:Y-a1,0
59,1,X-a1:Y-a0,0
59,1,X-a1:Y-a1,0
60,1,X-a0:Y-a0,112732
60,1,X-a0:Y-a1,0
60,1,X-a1:Y-a0,0
60,1,X-a1:Y-a1,0
61,1,X-a0:Y-a0,111231
61,1,X-a0:Y-a1,0
61,1,X-a1:Y-a0,0
61,1,X-a1:Y-a1,0
62,1,X-a0:Y-a0,110282
62,1,X-a0:Y-a1,0
62,1,X-a1:Y-a0,0
62,1,X-a1:Y-a1,0
63,1,X-a0:Y-a0,109138
63,1,X-a0:Y-a1,0
63,1,X-a1:Y-a0,0
63,1,X-a1:Y-a1,0
64,1,X-a0:Y-a0,108039
64,1,X-a0:Y-a1,0
64,1,X-a1:Y-a0,0
64,1,X-a1:Y-a1,0
65,1,X-a0:Y-a0,107133
65,1,X-a0:Y-a1,0
65,1,X-a1:Y-a0,0
65,1,X-a1:Y-a1,0
66,1,X-a0:Y-a0,127108
66,1,X-a0:Y-a1,0
66,1,X-a1:Y-a0,0
66,1,X-a1:Y-a1,0
67,1,X-a0:Y-a0,123081
67,1,X-a0:Y-a1,0
67,1,X-a1:Y-a0,0
67,1,X-a1:Y-a1,0
68,1,X-a0:Y-a0,123741
68,1,X-a0:Y-a1,0
68,1,X-a1:Y-a0,0
68,1,X-a1:Y-a1,0
69,1,X-a0:Y-a0,123441
69,1,X-a0:Y-a1,0
69,1,X-a1:Y-a0,0
69,1,X-a1:Y-a1,0
70,1,X-a0:Y-a0,123232
70,1,X-a0:Y-a1,0
70,1,X-a1:Y-a0,0
70,1,X-a1:Y-a1,0
71,1,X-a0:Y-a0,122683
71,1,X-a0:Y-a1,0
71,1,X-a1:Y-a0,0
71,1,X-a1:Y-a1,0
72,1,X-a0:Y-a0,122364
72,1,X-a0:Y-a1,0
72,1,X-a1:Y-a0,0
72,1,X-a1:Y-a1,0
73,1,X-a0:Y-a0,121731
73,1,X-a0:Y-a1,0
73,1,X-a1:Y-a0,0
73,1,X-a1:Y-a1,0
74,1,X-a0:Y-a0,121259
74,1,X-a0:Y-a1,0
74,1,X-a1:Y-a0,0
74,1,X-a1:Y-a1,0
75,1,X-a0:Y-a0,120969
75,1,X-a0:Y-a1,0
75,1,X-a1:Y-a0,0
75,1,X-a1:Y-a1,0
76,1,X-a0:Y-a0,120869
76,1,X-a0:Y-a1,0
76,1,X-a1:Y-a0,0
76,1,X-a1:Y-a1,0
77,1,X-a0:Y-a0,120731
77,1,X-a0:Y-a1,0
77,1,X-a1:Y-a0,0
77,1,X-a1:Y-a1,0
78,1,X-a0:Y-a0,120117
78,1,X-a0:Y-a1,0
78,1,X-a1:Y-a0,0
78,1,X-a1:Y-a1,0
79,1,X-a0:Y-a0,119794
79,1,X-a0:Y-a1,0
79,1,X-a1:Y-a0,0
79,1,X-a1:Y-a1,0
80,1,X-a0:Y-a0,119520
80,1,X-a0:Y-a1,0
80,1,X-a1:Y-a0,0
80,1,X-a1:Y-a1,0
81,1,X-a0:Y-a0,119394
81,1,X-a0:Y-a1,0
81,1,X-a1:Y-a0,0
81,1,X-a1:Y-a1,0
82,1,X-a0:Y-a0,119412
82,1,X-a0:Y-a1,0
82,1,X-a1:Y-a0,0
82,1,X-a1:Y-a1,0
