Time,NodeID,Genome,VectorPopulation
42,1,X-a1:X-a1,0
43,1,X-a0:X-a0,20176
43,1,X-a0:X-a1,0
43,1,X-a1:X-a0,0
43,1,X-a1:X-a1,0
44,1,X-a0:X-a0,17727
44,1,X-a0:X-a1,0
44,1,X-a1:X-a0,0
44,1,X-a1:X-a1,0
45,1,X-a0:X-a0,15230
45,1,X-a0:X-a1,0
45,1,X-a1:X-a0,0
45,1,X-a1:X-a1,0
46,1,X-a0:X-a0,12815
46,1,X-a0:X-a1,0
46,1,X-a1:X-a0,0
46,1,X-a1:X-a1,0
47,1,X-a0:X-a0,11174
47,1,X-a0:X-a1,0
47,1,X-a1:X-a0,0
47,1,X-a1:X-a1,0
48,1,X-a0:X-a0,123358
48,1,X-a0:X-a1,0
48,1,X-a1:X-a0,0
48,1,X-a1:X-a1,0
49,1,X-a0:X-a0,104334
49,1,X-a0:X-a1,0
49,1,X-a1:X-a0,0
49,1,X-a1:X-a1,0
50,1,X-a0:X-a0,106867
50,1,X-a0:X-a1,0
50,1,X-a1:X-a0,0
50,1,X-a1:X-a1,0
51,1,X-a0:X-a0,107457
51,1,X-a0:X-a1,0
51,1,X-a1:X-a0,0
51,1,X-a1:X-a1,0
52,1,X-a0:X-a0,100868
52,1,X-a0:X-a1,0
52,1,X-a1:X-a0,0
52,1,X-a1:X-a1,0
53,1,X-a0:X-a0,101317
53,1,X-a0:X-a1,0
53,1,X-a1:X-a0,0
53,1,X-a1:X-a1,0
54,1,X-a0:X-a0,100826
54,1,X-a0:X-a1,0
54,1,X-a1:X-a0,0
54,1,X-a1:X-a1,0
55,1,X-a0:X-a0,96225
55,1,X-a0:X-a1,0
55,1,X-a1:X-a0,0
55,1,X-a1:X-a1,0
56,1,X-a0:X-a0,95879
56,1,X-a0:X-a1,0
56,1,X-a1:X-a0,0
56,1,X-a1:X-a1,0
57,1,X-a0:X-a0,95421
57,1,X-a0:X-a1,0
57,1,X-a1:X-a0,0
57,1,X-a1:X-a1,0
58,1,X-a0:X-a0,92108
58,1,X-a0:X-a1,0
58,1,X-a1:X-a0,0
58,1,X-a1:X-a1,0
59,1,X-a0:X-a0,91471
59,1,X-a0:X-a1,0
59,1,X-a1:X-a0,0
59,1,X-a1:X-a1,0
60,1,X-a0:X-a0,90807
60,1,X-a0:X-a1,0
60,1,X-a1:X-a0,0
60,1,X-a1:X-a1,0
61,1,X-a0:X-a0,88422
61,1,X-a0:X-a1,0
61,1,X-a1:X-a0,0
61,1,X-a1:X-a1,0
62,1,X-a0:X-a0,87883
62,1,X-a0:X-a1,0
62,1,X-a1:X-a0,0
62,1,X-a1:X-a1,0
63,1,X-a0:X-a0,87391
63,1,X-a0:X-a1,0
63,1,X-a1:X-a0,0
63,1,X-a1:X-a1,0
64,1,X-a0:X-a0,85880
64,1,X-a0:X-a1,0
64,1,X-a1:X-a0,0
64,1,X-a1:X-a1,0
65,1,X-a0:X-a0,85213
65,1,X-a0:X-a1,0
65,1,X-a1:X-a0,0
65,1,X-a1:X-a1,0
66,1,X-a0:X-a0,105683
66,1,X-a0:X-a1,0
66,1,X-a1:X-a0,0
66,1,X-a1:X-a1,0
67,1,X-a0:X-a0,99848
67,1,X-a0:X-a1,0
67,1,X-a1:X-a0,0
67,1,X-a1:X-a1,0
68,1,X-a0:X-a0,100219
68,1,X-a0:X-a1,0
68,1,X-a1:X-a0,0
68,1,X-a1:X-a1,0
69,1,X-a0:X-a0,99869
69,1,X-a0:X-a1,0
69,1,X-a1:X-a0,0
69,1,X-a1:X-a1,0
70,1,X-a0:X-a0,98307
70,1,X-a0:X-a1,0
70,1,X-a1:X-a0,0
70,1,X-a1:X-a1,0
71,1,X-a0:X-a0,98453
71,1,X-a0:X-a1,0
71,1,X-a1:X-a0,0
71,1,X-a1:X-a1,0
72,1,X-a0:X-a0,98152
72,1,X-a0:X-a1,0
72,1,X-a1:X-a0,0
72,1,X-a1:X-a1,0
73,1,X-a0:X-a0,97243
73,1,X-a0:X-a1,0
73,1,X-a1:X-a0,0
73,1,X-a1:X-a1,0
74,1,X-a0:X-a0,96911
74,1,X-a0:X-a1,0
74,1,X-a1:X-a0,0
74,1,X-a1:X-a1,0
75,1,X-a0:X-a0,96543
75,1,X-a0:X-a1,0
75,1,X-a1:X-a0,0
75,1,X-a1:X-a1,0
76,1,X-a0:X-a0,96001
76,1,X-a0:X-a1,0
76,1,X-a1:X-a0,0
76,1,X-a1:X-a1,0
77,1,X-a0:X-a0,96230
77,1,X-a0:X-a1,0
77,1,X-a1:X-a0,0
77,1,X-a1:X-a1,0
78,1,X-a0:X-a0,96203
78,1,X-a0:X-a1,0
78,1,X-a1:X-a0,0
78,1,X-a1:X-a1,0
79,1,X-a0:X-a0,96169
79,1,X-a0:X-a1,0
79,1,X-a1:X-a0,0
79,1,X-a1:X-a1,0
80,1,X-a0:X-a0,96077
80,1,X-a0:X-a1,0
80,1,X-a1:X-a0,0
80,1,X-a1:X-a1,0
81,1,X-a0:X-a0,95784
81,1,X-a0:X-a1,0
81,1,X-a1:X-a0,0
81,1,X-a1:X-a1,0
82,1,X-a0:X-a0,95479
82,1,X-a0:X-a1,0
82,1,X-a1:X-a0,0
82,1,X-a1:X-a1,0
83,1,X-a0:X-a0,95390
83,1,X-a0:X-a1,0
83,1,X-a1:X-a0,0
83,1,X-a1:X-a1,0
84,1,X-a0:X-a0,99164
84,1,X-a0:X-a1,0
84,1,X-a1:X-a0,0
84,1,X-a1:X-a1,0
85,1,X-a0:X-a0,97945
85,1,X-a0:X-a1,0
85,1,X-a1:X-a0,0
85,1,X-a1:X-a1,0
86,1,X-a0:X-a0,98354
86,1,X-a0:X-a1,0
86,1,X-a1:X-a0,0
86,1,X-a1:X-a1,0
87,1,X-a0:X-a0,98418
87,1,X-a0:X-a1,0
87,1,X-a1:X-a0,0
87,1,X-a1:X-a1,0
88,1,X-a0:X-a0,97839
88,1,X-a0:X-a1,0
88,1,X-a1:X-a0,0
88,1,X-a1:X-a1,0
89,1,X-a0:X-a0,97910
89,1,X-a0:X-a1,0
89,1,X-a1:X-a0,0
89,1,X-a1:X-a1,0
90,1,X-a0:X-a0,98006
90,1,X-a0:X-a1,0
90,1,X-a1:X-a0,0
90,1,X-a1:X-a1,0
91,1,X-a0:X-a0,97866
91,1,X-a0:X-a1,0
91,1,X-a1:X-a0,0
91,1,X-a1:X-a1,0
92,1,X-a0:X-a0,98082
92,1,X-a0:X-a1,0
92,1,X-a1:X-a0,0
92,1,X-a1:X-a1,0
93,1,X-a0:X-a0,97843
93,1,X-a0:X-a1,0
93,1,X-a1:X-a0,0
93,1,X-a1:X-a1,0
94,1,X-a0:X-a0,97616
94,1,X-a0:X-a1,0
94,1,X-a1:X-a0,0
94,1,X-a1:X-a1,0
95,1,X-a0:X-a0,97517
95,1,X-a0:X-a1,0
95,1,X-a1:X-a0,0
95,1,X-a1:X-a1,0
96,1,X-a0:X-a0,97432
96,1,X-a0:X-a1,0
96,1,X-a1:X-a0,0
96,1,X-a1:X-a1,0
97,1,X-a0:X-a0,97249
97,1,X-a0:X-a1,0
97,1,X-a1:X-a0,0
97,1,X-a1:X-a1,0
98,1,X-a0:X-a0,97345
98,1,X-a0:X-a1,0
98,1,X-a1:X-a0,0
98,1,X-a1:X-a1,0
99,1,X-a0:X-a0,97234
99,1,X-a0:X-a1,0
99,1,X-a1:X-a0,0
99,1,X-a1:X-a1,0
100,1,X-a0:X-a0,97112
100,1,X-a0:X-a1,0
100,1,X-a1:X-a0,0
100,1,X-a1:X-a1,804
101,1,X-a0:X-a0,97160
101,1,X-a0:X-a1,0
101,1,X-a1:X-a0,0
101,1,X-a1:X-a1,732
102,1,X-a0:X-a0,97787
102,1,X-a0:X-a1,0
102,1,X-a1:X-a0,0
102,1,X-a1:X-a1,649
103,1,X-a0:X-a0,97547
103,1,X-a0:X-a1,0
103,1,X-a1:X-a0,0
103,1,X-a1:X-a1,533
104,1,X-a0:X-a0,97861
104,1,X-a0:X-a1,0
104,1,X-a1:X-a0,0
104,1,X-a1:X-a1,479
105,1,X-a0:X-a0,97736
105,1,X-a0:X-a1,0
105,1,X-a1:X-a0,0
105,1,X-a1:X-a1,422
106,1,X-a0:X-a0,98074
106,1,X-a0:X-a1,0
106,1,X-a1:X-a0,0
106,1,X-a1:X-a1,327
107,1,X-a0:X-a0,97854
107,1,X-a0:X-a1,0
107,1,X-a1:X-a0,0
107,1,X-a1:X-a1,290
108,1,X-a0:X-a0,97899
108,1,X-a0:X-a1,0
108,1,X-a1:X-a0,0
108,1,X-a1:X-a1,255
109,1,X-a0:X-a0,97804
109,1,X-a0:X-a1,0
109,1,X-a1:X-a0,0
109,1,X-a1:X-a1,206
110,1,X-a0:X-a0,97569
110,1,X-a0:X-a1,0
110,1,X-a1:X-a0,0
110,1,X-a1:X-a1,181
111,1,X-a0:X-a0,97314
111,1,X-a0:X-a1,0
111,1,X-a1:X-a0,0
111,1,X-a1:X-a1,161
112,1,X-a0:X-a0,97452
112,1,X-a0:X-a1,0
112,1,X-a1:X-a0,0
112,1,X-a1:X-a1,126
113,1,X-a0:X-a0,97430
113,1,X-a0:X-a1,0
113,1,X-a1:X-a0,0
113,1,X-a1:X-a1,111
114,1,X-a0:X-a0,97559
114,1,X-a0:X-a1,0
114,1,X-a1:X-a0,0
114,1,X-a1:X-a1,91
115,1,X-a0:X-a0,97353
115,1,X-a0:X-a1,0
115,1,X-a1:X-a0,0
115,1,X-a1:X-a1,69
116,1,X-a0:X-a0,97344
116,1,X-a0:X-a1,0
116,1,X-a1:X-a0,0
116,1,X-a1:X-a1,57
117,1,X-a0:X-a0,97561
117,1,X-a0:X-a1,0
117,1,X-a1:X-a0,0
117,1,X-a1:X-a1,42
118,1,X-a0:X-a0,97482
118,1,X-a0:X-a1,0
118,1,X-a1:X-a0,0
118,1,X-a1:X-a1,31
119,1,X-a0:X-a0,97140
119,1,X-a0:X-a1,0
119,1,X-a1:X-a0,0
119,1,X-a1:X-a1,25
120,1,X-a0:X-a0,97619
120,1,X-a0:X-a1,0
120,1,X-a1:X-a0,0
120,1,X-a1:X-a1,22
121,1,X-a0:X-a0,97498
121,1,X-a0:X-a1,0
121,1,X-a1:X-a0,0
121,1,X-a1:X-a1,16
122,1,X-a0:X-a0,97687
122,1,X-a0:X-a1,0
122,1,X-a1:X-a0,0
122,1,X-a1:X-a1,13
123,1,X-a0:X-a0,97566
123,1,X-a0:X-a1,0
123,1,X-a1:X-a0,0
123,1,X-a1:X-a1,11
124,1,X-a0:X-a0,97587
124,1,X-a0:X-a1,0
124,1,X-a1:X-a0,0
124,1,X-a1:X-a1,10
125,1,X-a0:X-a0,95315
125,1,X-a0:X-a1,0
125,1,X-a1:X-a0,2114
125,1,X-a1:X-a1,7
126,1,X-a0:X-a0,95661
126,1,X-a0:X-a1,0
126,1,X-a1:X-a0,1725
126,1,X-a1:X-a1,7
127,1,X-a0:X-a0,95677
127,1,X-a0:X-a1,0
127,1,X-a1:X-a0,1571
127,1,X-a1:X-a1,7
128,1,X-a0:X-a0,94601
128,1,X-a0:X-a1,0
128,1,X-a1:X-a0,2839
128,1,X-a1:X-a1,4
129,1,X-a0:X-a0,95315
129,1,X-a0:X-a1,0
129,1,X-a1:X-a0,2292
129,1,X-a1:X-a1,2
130,1,X-a0:X-a0,95609
130,1,X-a0:X-a1,0
130,1,X-a1:X-a0,2043
130,1,X-a1:X-a1,1
131,1,X-a0:X-a0,94814
131,1,X-a0:X-a1,0
131,1,X-a1:X-a0,2736
131,1,X-a1:X-a1,0
132,1,X-a0:X-a0,95567
132,1,X-a0:X-a1,0
132,1,X-a1:X-a0,2193
132,1,X-a1:X-a1,0
133,1,X-a0:X-a0,95599
133,1,X-a0:X-a1,0
133,1,X-a1:X-a0,1948
133,1,X-a1:X-a1,0
134,1,X-a0:X-a0,95167
134,1,X-a0:X-a1,0
134,1,X-a1:X-a0,2274
134,1,X-a1:X-a1,0
135,1,X-a0:X-a0,95947
