Time, Year, IndividualID, AgeYears, Gender, From_NodeID, To_NodeID, MigrationType, Event,IsInfected, Rel_ID, NumCoitalActs, IsDiscordant, HasMigrated, RelationshipType, RelationshipState, PartnerID, Male_NodeID, Female_NodeID
1291,1964.04,336,55.8627,F,3,2,local,STIPreEmigrating,0,70,31,0,0,MARITAL,PAUSED,149,0,3
1291,1964.04,121,52.5154,F,2,4,local,STIPreEmigrating,0,76,154,0,0,MARITAL,PAUSED,16,0,2
1291,1964.04,219,33.5324,M,2,4,local,STIPreEmigrating,0,185,6,0,0,INFORMAL,NORMAL,31,2,2
1291,1964.04,219,33.5324,M,4,0,N/A,STIPostImmigrating,0,185,6,0,0,INFORMAL,PAUSED,31,4,0
1291,1964.04,121,52.5154,F,4,0,N/A,STIPostImmigrating,0,76,154,0,0,MARITAL,NORMAL,16,4,4
1291,1964.04,336,55.8627,F,2,0,N/A,STIPostImmigrating,0,70,31,0,0,MARITAL,PAUSED,149,0,2
1293,1964.04,213,50.8057,F,4,1,local,STIPreEmigrating,0,175,7,0,0,MARITAL,PAUSED,328,0,4
1293,1964.04,290,52.3851,F,4,1,local,STIPreEmigrating,0,69,125,0,0,MARITAL,NORMAL,327,4,4
1293,1964.04,296,33.9499,F,3,2,local,STIPreEmigrating,0,151,54,0,0,INFORMAL,PAUSED,165,0,3
1293,1964.04,296,33.9499,F,2,0,N/A,STIPostImmigrating,0,151,54,0,0,INFORMAL,PAUSED,165,0,2
1293,1964.04,290,52.3851,F,1,0,N/A,STIPostImmigrating,0,69,125,0,0,MARITAL,PAUSED,327,0,1
1293,1964.04,213,50.8057,F,1,0,N/A,STIPostImmigrating,0,175,7,0,0,MARITAL,PAUSED,328,0,1
1295,1964.05,185,37.0725,F,4,3,local,STIPreEmigrating,0,58,155,0,0,MARITAL,PAUSED,75,0,4
1295,1964.05,189,33.0395,F,1,4,local,STIPreEmigrating,0,125,31,0,0,MARITAL,PAUSED,99,0,1
1295,1964.05,189,33.0395,F,4,0,N/A,STIPostImmigrating,0,125,31,0,0,MARITAL,PAUSED,99,0,4
1295,1964.05,185,37.0725,F,3,0,N/A,STIPostImmigrating,0,58,155,0,0,MARITAL,PAUSED,75,0,3
1296,1964.05,118,34.8058,F,3,1,local,STIPreEmigrating,0,158,23,0,0,MARITAL,PAUSED,202,0,3
1296,1964.05,281,45.8069,M,1,4,local,STIPreEmigrating,0,32,135,0,0,MARITAL,PAUSED,177,1,0
1296,1964.05,281,45.8069,M,4,0,N/A,STIPostImmigrating,0,32,135,0,0,MARITAL,NORMAL,177,4,4
1296,1964.05,118,34.8058,F,1,0,N/A,STIPostImmigrating,0,158,23,0,0,MARITAL,NORMAL,202,1,1
1298,1964.06,53,34.6977,F,4,2,local,STIPreEmigrating,0,50,63,0,0,MARITAL,PAUSED,193,0,4
1298,1964.06,292,35.1392,F,4,3,local,STIPreEmigrating,0,142,6,0,0,TRANSITORY,NORMAL,70,4,4
1298,1964.06,189,33.0477,F,4,1,local,STIPreEmigrating,0,125,31,0,0,MARITAL,PAUSED,99,0,4
1298,1964.06,155,32.853,F,3,2,local,STIPreEmigrating,0,51,168,0,0,INFORMAL,PAUSED,255,0,3
1298,1964.06,99,36.9873,M,2,4,local,STIPreEmigrating,0,125,31,0,0,MARITAL,PAUSED,189,2,0
1298,1964.06,290,52.3988,F,1,3,local,STIPreEmigrating,0,69,125,0,0,MARITAL,PAUSED,327,0,1
1298,1964.06,290,52.3988,F,3,0,N/A,STIPostImmigrating,0,69,125,0,0,MARITAL,PAUSED,327,0,3
1298,1964.06,99,36.9873,M,4,0,N/A,STIPostImmigrating,0,125,31,0,0,MARITAL,PAUSED,189,4,0
1298,1964.06,155,32.853,F,2,0,N/A,STIPostImmigrating,0,51,168,0,0,INFORMAL,NORMAL,255,2,2
1298,1964.06,189,33.0477,F,1,0,N/A,STIPostImmigrating,0,125,31,0,0,MARITAL,PAUSED,99,0,1
1298,1964.06,292,35.1392,F,3,0,N/A,STIPostImmigrating,0,142,6,0,0,TRANSITORY,PAUSED,70,0,3
1298,1964.06,53,34.6977,F,2,0,N/A,STIPostImmigrating,0,50,63,0,0,MARITAL,PAUSED,193,0,2
1299,1964.06,132,30.2799,F,2,3,local,STIPreEmigrating,0,170,13,0,0,INFORMAL,NORMAL,169,2,2
1299,1964.06,132,30.2799,F,3,0,N/A,STIPostImmigrating,0,170,13,0,0,INFORMAL,PAUSED,169,0,3
1301,1964.06,198,39.6894,M,1,3,local,STIPreEmigrating,0,164,11,0,0,INFORMAL,PAUSED,128,1,0
1301,1964.06,198,39.6894,M,3,0,N/A,STIPostImmigrating,0,164,11,0,0,INFORMAL,PAUSED,128,3,0
1303,1964.07,45,32.6883,F,3,4,local,STIPreEmigrating,0,64,79,0,0,MARITAL,PAUSED,55,0,3
1303,1964.07,198,39.6949,M,3,1,local,STIPreEmigrating,0,164,11,0,0,INFORMAL,PAUSED,128,3,0
1303,1964.07,45,32.6883,F,4,0,N/A,STIPostImmigrating,0,64,79,0,0,MARITAL,PAUSED,55,0,4
