Rel_ID,Node_ID,Rel_start_time,Rel_scheduled_end_time,Rel_actual_end_time,Rel_type (0 = TRANSITORY; 1 = INFORMAL; 2 = MARITAL; 3 = COMMERCIAL),Is_rel_outside_PFA,male_ID,female_ID,male_age,female_age,num_total_coital_acts,Termination_Reason
100,2,455,1116.46,1117,1,F,114,285,25.3431,22.2419,45,BROKEUP
72,1,180,1136.34,1137,1,F,311,162,29.7261,25.6609,111,BROKEUP
156,3,1060,1141.33,1142,0,F,28,223,16.8174,16.24,21,BROKEUP
146,1,972,1149.41,1150,1,F,345,221,22.6052,20.0192,28,BROKEUP
102,1,462,1158.61,1159,0,F,309,97,25.1041,22.931,13,BROKEUP
1,3,0,1161.61,1162,1,F,161,9,30.7471,25.4646,100,BROKEUP
122,2,689,1178.34,1179,1,F,273,319,18.6885,17.8034,49,BROKEUP
85,4,314,1180.35,1181,0,F,237,90,31.5691,27.7326,121,BROKEUP
53,3,31,1185.54,1186,1,F,238,288,22.1037,21.3706,93,BROKEUP
138,2,883,1199.25,1200,0,F,256,182,22.9042,16.2109,43,BROKEUP
92,2,375,1205.29,1206,1,F,219,129,33.2968,27.1611,64,BROKEUP
147,1,972,1216.22,1217,1,F,303,117,37.6387,28.3691,38,BROKEUP
162,1,1088,1218.86,1219,0,F,318,188,16.0406,15.395,23,BROKEUP
131,1,785,1233.68,1234,0,F,312,119,26.7802,23.604,8,BROKEUP
163,1,1108,1245.22,1246,0,F,289,43,26.6439,17.1659,10,BROKEUP
145,3,966,1280.98,1281,0,F,262,112,20.6167,18.8403,51,BROKEUP
160,1,1067,1300.83,1301,0,F,141,47,29.3196,27.0104,23,BROKEUP
143,2,935,1302.95,1303,0,F,260,298,17.9236,20.3078,66,BROKEUP
136,2,843,1312.33,1313,1,F,115,216,19.7356,15.3171,15,BROKEUP
137,1,855,1316.6,1317,0,F,316,111,28.0968,22.576,49,BROKEUP
126,2,729,1327.75,1328,0,F,140,27,27.8906,20.2015,108,BROKEUP
183,1,1270,1339.82,1340,0,F,192,188,18.4819,15.7265,12,BROKEUP
152,2,1008,1340.45,1341,0,F,35,343,17.9452,19.5956,16,BROKEUP
189,2,1316,1347.25,1348,0,F,251,9,34.5188,25.9742,13,BROKEUP
190,2,1323,1356.84,1357,0,F,312,216,27.1172,15.4377,8,BROKEUP
169,2,1151,1362.66,1363,0,F,34,223,20.1309,16.8455,4,BROKEUP
151,2,1007,1366.62,1367,1,F,165,296,40.5446,34.1499,54,BROKEUP
73,2,187,1376.03,1377,2,F,191,15,62.1777,50.4467,99,BROKEUP
139,1,885,1382.38,1383,1,F,13,50,30.2481,25.1138,61,BROKEUP
128,3,754,1401.94,1402,0,F,62,130,20.063,20.7715,72,BROKEUP
176,2,1216,1409.24,1410,1,F,222,221,24.1366,20.7315,39,BROKEUP
130,4,785,1423.66,1424,0,F,227,274,32.828,26.8207,58,BROKEUP
171,2,1178,1425.97,1426,0,F,105,285,17.9236,23.0885,26,BROKEUP
142,1,913,1435.27,1436,0,F,70,292,40.7705,35.5146,6,BROKEUP
193,1,1353,1437.86,1438,0,F,262,27,21.0469,20.5029,35,BROKEUP
112,3,550,1439.93,1440,1,F,272,304,30.118,25.2557,131,BROKEUP
132,2,791,1443.97,1444,0,F,339,293,18.7484,17.0125,55,BROKEUP
184,2,1278,1453.53,1454,0,F,241,153,16.4863,16.6751,1,BROKEUP
91,2,367,1495.23,1496,1,F,157,263,36.4107,37.878,139,BROKEUP
199,3,1420,1521.5,1522,0,F,141,50,29.9251,25.4946,6,BROKEUP
181,1,1257,1524.65,1525,0,F,176,119,29.4454,24.4012,4,BROKEUP
