
Time,NodeID,TRANSITORY_M_Before_20,TRANSITORY_M_Before_30,TRANSITORY_M_Before_40,TRANSITORY_M_Before_50,TRANSITORY_M_After_20,TRANSITORY_M_After_30,TRANSITORY_M_After_40,TRANSITORY_M_After_50,TRANSITORY_F_Before_20,TRANSITORY_F_Before_40,TRANSITORY_F_After_20,TRANSITORY_F_After_40,INFORMAL_M_Before_20,INFORMAL_M_Before_40,INFORMAL_M_After_20,INFORMAL_M_After_40,INFORMAL_F_Before_20,INFORMAL_F_Before_30,INFORMAL_F_Before_40,INFORMAL_F_Before_50,INFORMAL_F_After_20,INFORMAL_F_After_30,INFORMAL_F_After_40,INFORMAL_F_After_50,MARITAL_M_Before_20,MARITAL_M_After_20,MARITAL_F_Before_10,MARITAL_F_Before_20,MARITAL_F_Before_30,MARITAL_F_Before_40,MARITAL_F_Before_50,MARITAL_F_After_10,MARITAL_F_After_20,MARITAL_F_After_30,MARITAL_F_After_40,MARITAL_F_After_50,COMMERCIAL_M_Before_50,COMMERCIAL_M_Before_85,COMMERCIAL_M_After_50,COMMERCIAL_M_After_85,COMMERCIAL_F_Before_50,COMMERCIAL_F_Before_85,COMMERCIAL_F_After_50,COMMERCIAL_F_After_85,TRANSITORY_LOW_M_20,TRANSITORY_LOW_M_30,TRANSITORY_LOW_M_40,TRANSITORY_LOW_M_50,TRANSITORY_LOW_F_20,TRANSITORY_LOW_F_40,TRANSITORY_HIGH_M_20,TRANSITORY_HIGH_M_30,TRANSITORY_HIGH_M_40,TRANSITORY_HIGH_M_50,TRANSITORY_HIGH_F_20,TRANSITORY_HIGH_F_40,INFORMAL_LOW_M_20,INFORMAL_LOW_M_40,INFORMAL_LOW_F_20,INFORMAL_LOW_F_30,INFORMAL_LOW_F_40,INFORMAL_LOW_F_50,INFORMAL_HIGH_M_20,INFORMAL_HIGH_M_40,INFORMAL_HIGH_F_20,INFORMAL_HIGH_F_30,INFORMAL_HIGH_F_40,INFORMAL_HIGH_F_50,MARITAL_LOW_M_20,MARITAL_LOW_F_10,MARITAL_LOW_F_20,MARITAL_LOW_F_30,MARITAL_LOW_F_40,MARITAL_LOW_F_50,MARITAL_HIGH_M_20,MARITAL_HIGH_F_10,MARITAL_HIGH_F_20,MARITAL_HIGH_F_30,MARITAL_HIGH_F_40,MARITAL_HIGH_F_50,COMMERCIAL_LOW_M_50,COMMERCIAL_LOW_M_85,COMMERCIAL_LOW_F_50,COMMERCIAL_LOW_F_85,COMMERCIAL_HIGH_M_50,COMMERCIAL_HIGH_M_85,COMMERCIAL_HIGH_F_50,COMMERCIAL_HIGH_F_85,desired_flow_TRANSITORY_M_20,desired_flow_TRANSITORY_M_30,desired_flow_TRANSITORY_M_40,desired_flow_TRANSITORY_M_50,desired_flow_TRANSITORY_F_20,desired_flow_TRANSITORY_F_40,desired_flow_INFORMAL_M_20,desired_flow_INFORMAL_M_40,desired_flow_INFORMAL_F_20,desired_flow_INFORMAL_F_30,desired_flow_INFORMAL_F_40,desired_flow_INFORMAL_F_50,desired_flow_MARITAL_M_20,desired_flow_MARITAL_F_10,desired_flow_MARITAL_F_20,desired_flow_MARITAL_F_30,desired_flow_MARITAL_F_40,desired_flow_MARITAL_F_50,desired_flow_COMMERCIAL_M_50,desired_flow_COMMERCIAL_M_85,desired_flow_COMMERCIAL_F_50,desired_flow_COMMERCIAL_F_85
10,1,24,24,18,20,0,0,0,0,53,48,6,9,19,30,0,0,12,14,18,9,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00577584,0.00577584,0.00577584,0.00577584,0.00964926,0.00964926,0.00577584,0.00577584,0.00577584,0.00577584,0.00964926,0.00964926,0.00601904,0.00601904,0.00251389,0.00251389,0.00251389,0.00251389,0.00601904,0.00601904,0.00251389,0.00251389,0.00251389,0.00251389,9.29391e-05,0,0,0,0,0,9.29391e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2518,3.2518,3.2518,3.2518,6.5036,6.5036,3.38872,3.38872,1.69436,1.69436,1.69436,1.69436,0.433561,0.130068,0.0867121,0.0433561,0.0433561,0.130068,0,0,0,0
11,1,24,24,18,20,0,0,0,0,53,48,6,9,19,30,0,0,12,14,18,9,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00583874,0.00583874,0.00583874,0.00583874,0.00976054,0.00976054,0.00583874,0.00583874,0.00583874,0.00583874,0.00976054,0.00976054,0.00608458,0.00608458,0.00254288,0.00254288,0.00254288,0.00254288,0.00608458,0.00608458,0.00254288,0.00254288,0.00254288,0.00254288,9.29948e-05,0,0,0,0,0,9.29948e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2405,3.2405,3.2405,3.2405,6.481,6.481,3.37694,3.37694,1.68847,1.68847,1.68847,1.68847,0.432054,0.129616,0.0864108,0.0432054,0.0432054,0.129616,0,0,0,0
12,1,24,24,18,20,0,0,0,0,53,48,6,9,19,30,0,0,12,14,18,9,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00587947,0.00587947,0.00587947,0.00587947,0.00975174,0.00975174,0.00587947,0.00587947,0.00587947,0.00587947,0.00975174,0.00975174,0.00612702,0.00612702,0.00254059,0.00254059,0.00254059,0.00254059,0.00612702,0.00612702,0.00254059,0.00254059,0.00254059,0.00254059,9.31121e-05,0,0,0,0,0,9.31121e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,3.22783,3.22783,3.22783,3.22783,6.45565,6.45565,3.36374,3.36374,1.68187,1.68187,1.68187,1.68187,0.430364,0.129109,0.0860729,0.0430364,0.0430364,0.129109,0,0,0,0
13,1,20,21,22,25,0,0,0,1,48,44,5,0,35,23,12,2,11,13,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00592949,0.00592949,0.00592949,0.00592949,0.00990381,0.00990381,0.00592949,0.00592949,0.00592949,0.00592949,0.00990381,0.00990381,0.00617916,0.00617916,0.0025802,0.0025802,0.0025802,0.0025802,0.00617916,0.00617916,0.0025802,0.0025802,0.0025802,0.0025802,9.30696e-05,0,0,0,0,0,9.30696e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,3.21379,3.21379,3.21379,3.21379,6.42757,6.42757,3.3491,3.3491,1.67455,1.67455,1.67455,1.67455,0.428492,0.128548,0.0856984,0.0428492,0.0428492,0.128548,0,0,0,0
14,1,20,21,22,25,0,0,0,1,48,44,5,0,35,23,12,2,11,13,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00602717,0.00602717,0.00602717,0.00602717,0.00997018,0.00997018,0.00602717,0.00602717,0.00602717,0.00602717,0.00997018,0.00997018,0.00628095,0.00628095,0.0025975,0.0025975,0.0025975,0.0025975,0.00628095,0.00628095,0.0025975,0.0025975,0.0025975,0.0025975,9.31888e-05,0,0,0,0,0,9.31888e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,3.20043,3.20043,3.20043,3.20043,6.40086,6.40086,3.33518,3.33518,1.66759,1.66759,1.66759,1.66759,0.426711,0.128013,0.0853423,0.0426711,0.0426711,0.128013,0,0,0,0
15,1,20,21,22,25,0,0,0,1,48,44,5,0,35,23,12,2,11,13,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00607127,0.00607127,0.00607127,0.00607127,0.0100708,0.0100708,0.00607127,0.00607127,0.00607127,0.00607127,0.0100708,0.0100708,0.0063269,0.0063269,0.00262371,0.00262371,0.00262371,0.00262371,0.0063269,0.0063269,0.00262371,0.00262371,0.00262371,0.00262371,9.31353e-05,0,0,0,0,0,9.31353e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,3.18741,3.18741,3.18741,3.18741,6.37483,6.37483,3.32162,3.32162,1.66081,1.66081,1.66081,1.66081,0.424976,0.127493,0.0849952,0.0424976,0.0424976,0.127493,0,0,0,0
16,1,20,21,22,25,0,0,0,1,48,44,5,0,35,23,12,2,11,13,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00612232,0.00612232,0.00612232,0.00612232,0.0101517,0.0101517,0.00612232,0.00612232,0.00612232,0.00612232,0.0101517,0.0101517,0.0063801,0.0063801,0.00264479,0.00264479,0.00264479,0.00264479,0.0063801,0.0063801,0.00264479,0.00264479,0.00264479,0.00264479,9.31308e-05,0,0,0,0,0,9.31308e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,3.17748,3.17748,3.17748,3.17748,6.35497,6.35497,3.31127,3.31127,1.65564,1.65564,1.65564,1.65564,0.423652,0.127096,0.0847304,0.0423652,0.0423652,0.127096,0,0,0,0
17,1,20,21,22,25,0,0,0,1,48,44,5,0,35,23,12,2,11,13,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0061739,0.0061739,0.0061739,0.0061739,0.0101676,0.0101676,0.0061739,0.0061739,0.0061739,0.0061739,0.0101676,0.0101676,0.00643385,0.00643385,0.00264893,0.00264893,0.00264893,0.00264893,0.00643385,0.00643385,0.00264893,0.00264893,0.00264893,0.00264893,9.31985e-05,0,0,0,0,0,9.31985e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,3.16721,3.16721,3.16721,3.16721,6.33442,6.33442,3.30057,3.30057,1.65028,1.65028,1.65028,1.65028,0.422282,0.126685,0.0844564,0.0422282,0.0422282,0.126685,0,0,0,0
18,1,20,21,22,25,0,0,0,1,48,44,5,0,35,23,12,2,11,13,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00622602,0.00622602,0.00622602,0.00622602,0.0102821,0.0102821,0.00622602,0.00622602,0.00622602,0.00622602,0.0102821,0.0102821,0.00648817,0.00648817,0.00267875,0.00267875,0.00267875,0.00267875,0.00648817,0.00648817,0.00267875,0.00267875,0.00267875,0.00267875,9.32152e-05,0,0,0,0,0,9.32152e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15659,3.15659,3.15659,3.15659,6.31318,6.31318,3.2895,3.2895,1.64475,1.64475,1.64475,1.64475,0.420867,0.12626,0.0841733,0.0420867,0.0420867,0.12626,0,0,0,0
19,1,20,21,22,25,0,0,0,1,48,44,5,0,35,23,12,2,11,13,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00625442,0.00625442,0.00625442,0.00625442,0.0103486,0.0103486,0.00625442,0.00625442,0.00625442,0.00625442,0.0103486,0.0103486,0.00651777,0.00651777,0.00269608,0.00269608,0.00269608,0.00269608,0.00651777,0.00651777,0.00269608,0.00269608,0.00269608,0.00269608,9.32321e-05,0,0,0,0,0,9.32321e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,3.14598,3.14598,3.14598,3.14598,6.29195,6.29195,3.27844,3.27844,1.63922,1.63922,1.63922,1.63922,0.419451,0.125835,0.0838902,0.0419451,0.0419451,0.125835,0,0,0,0
