
Time,NodeID,TRANSITORY_M_Before_50,TRANSITORY_M_Before_85,TRANSITORY_M_After_50,TRANSITORY_M_After_85,TRANSITORY_F_Before_50,TRANSITORY_F_Before_85,TRANSITORY_F_After_50,TRANSITORY_F_After_85,INFORMAL_M_Before_40,INFORMAL_M_Before_65,INFORMAL_M_Before_90,INFORMAL_M_After_40,INFORMAL_M_After_65,INFORMAL_M_After_90,INFORMAL_F_Before_40,INFORMAL_F_Before_65,INFORMAL_F_Before_90,INFORMAL_F_After_40,INFORMAL_F_After_65,INFORMAL_F_After_90,MARITAL_M_Before_100,MARITAL_M_After_100,MARITAL_F_Before_100,MARITAL_F_After_100,COMMERCIAL_M_Before_50,COMMERCIAL_M_Before_85,COMMERCIAL_M_After_50,COMMERCIAL_M_After_85,COMMERCIAL_F_Before_50,COMMERCIAL_F_Before_85,COMMERCIAL_F_After_50,COMMERCIAL_F_After_85,TRANSITORY_LOW_M_50,TRANSITORY_LOW_M_85,TRANSITORY_LOW_F_50,TRANSITORY_LOW_F_85,TRANSITORY_HIGH_M_50,TRANSITORY_HIGH_M_85,TRANSITORY_HIGH_F_50,TRANSITORY_HIGH_F_85,INFORMAL_LOW_M_40,INFORMAL_LOW_M_65,INFORMAL_LOW_M_90,INFORMAL_LOW_F_40,INFORMAL_LOW_F_65,INFORMAL_LOW_F_90,INFORMAL_HIGH_M_40,INFORMAL_HIGH_M_65,INFORMAL_HIGH_M_90,INFORMAL_HIGH_F_40,INFORMAL_HIGH_F_65,INFORMAL_HIGH_F_90,MARITAL_LOW_M_100,MARITAL_LOW_F_100,MARITAL_HIGH_M_100,MARITAL_HIGH_F_100,COMMERCIAL_LOW_M_50,COMMERCIAL_LOW_M_85,COMMERCIAL_LOW_F_50,COMMERCIAL_LOW_F_85,COMMERCIAL_HIGH_M_50,COMMERCIAL_HIGH_M_85,COMMERCIAL_HIGH_F_50,COMMERCIAL_HIGH_F_85,desired_flow_TRANSITORY_M_50,desired_flow_TRANSITORY_M_85,desired_flow_TRANSITORY_F_50,desired_flow_TRANSITORY_F_85,desired_flow_INFORMAL_M_40,desired_flow_INFORMAL_M_65,desired_flow_INFORMAL_M_90,desired_flow_INFORMAL_F_40,desired_flow_INFORMAL_F_65,desired_flow_INFORMAL_F_90,desired_flow_MARITAL_M_100,desired_flow_MARITAL_F_100,desired_flow_COMMERCIAL_M_50,desired_flow_COMMERCIAL_M_85,desired_flow_COMMERCIAL_F_50,desired_flow_COMMERCIAL_F_85
119,1,28,98,0,73,25,42,0,14,13,24,1,0,22,0,20,25,2,19,12,0,10,0,11,1,0,0,0,0,0,0,0,0,0.00149971,0.00149971,0.0013927,0.0013927,0.00149971,0.00149971,0.0013927,0.0013927,0.000643049,0.000643049,0.000643049,0.000585745,0.000585745,0.000585745,0.000643049,0.000643049,0.000643049,0.000585745,0.000585745,0.000585745,9.46611e-05,8.82141e-05,9.46611e-05,8.82141e-05,0,0,0,0,0,0,0,0,4.35217,4.35217,4.35217,4.35217,1.51181,1.51181,1.51181,1.51181,1.51181,1.51181,0.290136,0.290136,0,0,0,0
120,1,28,98,0,73,25,42,0,14,13,24,1,0,22,0,20,25,2,19,12,0,10,0,11,1,0,0,0,0,0,0,0,0,0.001498,0.001498,0.00139052,0.00139052,0.001498,0.001498,0.00139052,0.00139052,0.000642249,0.000642249,0.000642249,0.000584723,0.000584723,0.000584723,0.000642249,0.000642249,0.000642249,0.000584723,0.000584723,0.000584723,9.46699e-05,8.82066e-05,9.46699e-05,8.82066e-05,0,0,0,0,0,0,0,0,4.34121,4.34121,4.34121,4.34121,1.508,1.508,1.508,1.508,1.508,1.508,0.289406,0.289406,0,0,0,0
121,1,28,98,0,73,25,42,0,14,13,24,1,0,22,0,20,25,2,19,12,0,10,0,11,1,0,0,0,0,0,0,0,0,0.00149566,0.00149566,0.0013877,0.0013877,0.00149566,0.00149566,0.0013877,0.0013877,0.000641284,0.000641284,0.000641284,0.000583506,0.000583506,0.000583506,0.000641284,0.000641284,0.000641284,0.000583506,0.000583506,0.000583506,9.4698e-05,8.81821e-05,9.4698e-05,8.81821e-05,0,0,0,0,0,0,0,0,4.32546,4.32546,4.32546,4.32546,1.50253,1.50253,1.50253,1.50253,1.50253,1.50253,0.288356,0.288356,0,0,0,0
122,1,28,98,0,73,25,42,0,14,13,24,1,0,22,0,20,25,2,19,12,0,10,0,11,1,0,0,0,0,0,0,0,0,0.00149256,0.00149256,0.00138643,0.00138643,0.00149256,0.00149256,0.00138643,0.00138643,0.000639939,0.000639939,0.000639939,0.000582646,0.000582646,0.000582646,0.000639939,0.000639939,0.000639939,0.000582646,0.000582646,0.000582646,9.45866e-05,8.82789e-05,9.45866e-05,8.82789e-05,0,0,0,0,0,0,0,0,4.30902,4.30902,4.30902,4.30902,1.49682,1.49682,1.49682,1.49682,1.49682,1.49682,0.28726,0.28726,0,0,0,0
123,1,28,98,0,73,25,42,0,14,13,24,1,0,22,0,20,25,2,19,12,0,10,0,11,1,0,0,0,0,0,0,0,0,0.00148999,0.00148999,0.0013849,0.0013849,0.00148999,0.00148999,0.0013849,0.0013849,0.000638344,0.000638344,0.000638344,0.000581668,0.000581668,0.000581668,0.000638344,0.000638344,0.000638344,0.000581668,0.000581668,0.000581668,9.45468e-05,8.83136e-05,9.45468e-05,8.83136e-05,0,0,0,0,0,0,0,0,4.30012,4.30012,4.30012,4.30012,1.49372,1.49372,1.49372,1.49372,1.49372,1.49372,0.286666,0.286666,0,0,0,0
124,1,28,98,0,73,25,42,0,14,13,24,1,0,22,0,20,25,2,19,12,0,10,0,11,1,0,0,0,0,0,0,0,0,0.00148877,0.00148877,0.00138315,0.00138315,0.00148877,0.00148877,0.00138315,0.00138315,0.000636989,0.000636989,0.000636989,0.000580638,0.000580638,0.000580638,0.000636989,0.000636989,0.000636989,0.000580638,0.000580638,0.000580638,9.45554e-05,8.83062e-05,9.45554e-05,8.83062e-05,0,0,0,0,0,0,0,0,4.28916,4.28916,4.28916,4.28916,1.48992,1.48992,1.48992,1.48992,1.48992,1.48992,0.285935,0.285935,0,0,0,0
125,1,28,107,0,82,25,50,0,22,6,30,3,0,28,0,27,19,2,24,13,0,10,0,11,1,0,0,0,0,0,0,0,0,0.00148461,0.00148461,0.00138276,0.00138276,0.00148461,0.00148461,0.00138276,0.00138276,0.000635091,0.000635091,0.000635091,0.000580449,0.000580449,0.000580449,0.000635091,0.000635091,0.000635091,0.000580449,0.000580449,0.000580449,9.45055e-05,8.83497e-05,9.45055e-05,8.83497e-05,0,0,0,0,0,0,0,0,4.27272,4.27272,4.27272,4.27272,1.48421,1.48421,1.48421,1.48421,1.48421,1.48421,0.28484,0.28484,0,0,0,0
126,1,28,107,0,82,25,50,0,22,6,30,3,0,28,0,27,19,2,24,13,0,10,0,11,1,0,0,0,0,0,0,0,0,0.00148358,0.00148358,0.00138032,0.00138032,0.00148358,0.00148358,0.00138032,0.00138032,0.000634582,0.000634582,0.000634582,0.000579692,0.000579692,0.000579692,0.000634582,0.000634582,0.000634582,0.000579692,0.000579692,0.000579692,9.46225e-05,8.82477e-05,9.46225e-05,8.82477e-05,0,0,0,0,0,0,0,0,4.26381,4.26381,4.26381,4.26381,1.48111,1.48111,1.48111,1.48111,1.48111,1.48111,0.284246,0.284246,0,0,0,0
127,1,28,107,0,82,25,50,0,22,6,30,3,0,28,0,27,19,2,24,13,0,10,0,11,1,0,0,0,0,0,0,0,0,0.00148322,0.00148322,0.0013779,0.0013779,0.00148322,0.00148322,0.0013779,0.0013779,0.000634344,0.000634344,0.000634344,0.000578643,0.000578643,0.000578643,0.000634344,0.000634344,0.000634344,0.000578643,0.000578643,0.000578643,9.46499e-05,8.82239e-05,9.46499e-05,8.82239e-05,0,0,0,0,0,0,0,0,4.24943,4.24943,4.24943,4.24943,1.47612,1.47612,1.47612,1.47612,1.47612,1.47612,0.283287,0.283287,0,0,0,0
128,1,28,107,0,82,25,50,0,22,6,30,3,0,28,0,27,19,2,24,13,0,10,0,11,1,0,0,0,0,0,0,0,0,0.00148042,0.00148042,0.00137592,0.00137592,0.00148042,0.00148042,0.00137592,0.00137592,0.00063383,0.00063383,0.00063383,0.00057775,0.00057775,0.00057775,0.00063383,0.00063383,0.00063383,0.00057775,0.00057775,0.00057775,9.47456e-05,8.81409e-05,9.47456e-05,8.81409e-05,0,0,0,0,0,0,0,0,4.22957,4.22957,4.22957,4.22957,1.46922,1.46922,1.46922,1.46922,1.46922,1.46922,0.281963,0.281963,0,0,0,0
129,1,28,107,0,82,25,50,0,22,6,30,3,0,28,0,27,19,2,24,13,0,10,0,11,1,0,0,0,0,0,0,0,0,0.00147834,0.00147834,0.00137615,0.00137615,0.00147834,0.00147834,0.00137615,0.00137615,0.000633042,0.000633042,0.000633042,0.000577897,0.000577897,0.000577897,0.000633042,0.000633042,0.000633042,0.000577897,0.000577897,0.000577897,9.46734e-05,8.82035e-05,9.46734e-05,8.82035e-05,0,0,0,0,0,0,0,0,4.22066,4.22066,4.22066,4.22066,1.46612,1.46612,1.46612,1.46612,1.46612,1.46612,0.281369,0.281369,0,0,0,0
130,1,28,107,0,82,25,50,0,22,6,30,3,0,28,0,27,19,2,24,13,0,10,0,11,1,0,0,0,0,0,0,0,0,0.00147633,0.00147633,0.00137415,0.00137415,0.00147633,0.00147633,0.00137415,0.00137415,0.000631841,0.000631841,0.000631841,0.000576985,0.000576985,0.000576985,0.000631841,0.000631841,0.000631841,0.000576985,0.000576985,0.000576985,9.4667e-05,8.8209e-05,9.4667e-05,8.8209e-05,0,0,0,0,0,0,0,0,4.20902,4.20902,4.20902,4.20902,1.46208,1.46208,1.46208,1.46208,1.46208,1.46208,0.280593,0.280593,0,0,0,0
131,1,28,107,0,82,25,50,0,22,6,30,3,0,28,0,27,19,2,24,13,0,10,0,11,1,0,0,0,0,0,0,0,0,0.0014742,0.0014742,0.00137618,0.00137618,0.0014742,0.0014742,0.00137618,0.00137618,0.00063071,0.00063071,0.00063071,0.000578234,0.000578234,0.000578234,0.00063071,0.00063071,0.00063071,0.000578234,0.000578234,0.000578234,9.46252e-05,8.82453e-05,9.46252e-05,8.82453e-05,0,0,0,0,0,0,0,0,4.20148,4.20148,4.20148,4.20148,1.45946,1.45946,1.45946,1.45946,1.45946,1.45946,0.280091,0.280091,0,0,0,0
132,1,30,114,0,83,31,57,0,27,13,37,1,0,33,0,39,25,4,38,12,0,10,0,11,1,0,0,0,0,0,0,0,0,0.00147105,0.00147105,0.00137395,0.00137395,0.00147105,0.00147105,0.00137395,0.00137395,0.000629397,0.000629397,0.000629397,0.000576468,0.000576468,0.000576468,0.000629397,0.000629397,0.000629397,0.000576468,0.000576468,0.000576468,9.45436e-05,8.83165e-05,9.45436e-05,8.83165e-05,0,0,0,0,0,0,0,0,4.18367,4.18367,4.18367,4.18367,1.45328,1.45328,1.45328,1.45328,1.45328,1.45328,0.278903,0.278903,0,0,0,0
133,1,30,114,0,83,31,57,0,27,13,37,1,0,33,0,39,25,4,38,12,0,10,0,11,1,0,0,0,0,0,0,0,0,0.00146985,0.00146985,0.00137215,0.00137215,0.00146985,0.00146985,0.00137215,0.00137215,0.000628697,0.000628697,0.000628697,0.000575494,0.000575494,0.000575494,0.000628697,0.000628697,0.000628697,0.000575494,0.000575494,0.000575494,9.45224e-05,8.8335e-05,9.45224e-05,8.8335e-05,0,0,0,0,0,0,0,0,4.16998,4.16998,4.16998,4.16998,1.44852,1.44852,1.44852,1.44852,1.44852,1.44852,0.27799,0.27799,0,0,0,0
134,1,30,114,0,83,31,57,0,27,13,37,1,0,33,0,39,25,4,38,12,0,10,0,11,1,0,0,0,0,0,0,0,0,0.0014681,0.0014681,0.0013699,0.0013699,0.0014681,0.0014681,0.0013699,0.0013699,0.000628201,0.000628201,0.000628201,0.000574477,0.000574477,0.000574477,0.000628201,0.000628201,0.000628201,0.000574477,0.000574477,0.000574477,9.45967e-05,8.82702e-05,9.45967e-05,8.82702e-05,0,0,0,0,0,0,0,0,4.15765,4.15765,4.15765,4.15765,1.44424,1.44424,1.44424,1.44424,1.44424,1.44424,0.277168,0.277168,0,0,0,0
135,1,30,114,0,83,31,57,0,27,13,37,1,0,33,0,39,25,4,38,12,0,10,0,11,1,0,0,0,0,0,0,0,0,0.00146519,0.00146519,0.00137035,0.00137035,0.00146519,0.00146519,0.00137035,0.00137035,0.00062696,0.00062696,0.00062696,0.000574255,0.000574255,0.000574255,0.00062696,0.00062696,0.00062696,0.000574255,0.000574255,0.000574255,9.45388e-05,8.83207e-05,9.45388e-05,8.83207e-05,0,0,0,0,0,0,0,0,4.14943,4.14943,4.14943,4.14943,1.44138,1.44138,1.44138,1.44138,1.44138,1.44138,0.27662,0.27662,0,0,0,0
136,1,30,114,0,83,31,57,0,27,13,37,1,0,33,0,39,25,4,38,12,0,10,0,11,1,0,0,0,0,0,0,0,0,0.00146463,0.00146463,0.00136877,0.00136877,0.00146463,0.00146463,0.00136877,0.00136877,0.000626978,0.000626978,0.000626978,0.000573708,0.000573708,0.000573708,0.000626978,0.000626978,0.000626978,0.000573708,0.000573708,0.000573708,9.4465e-05,8.83851e-05,9.4465e-05,8.83851e-05,0,0,0,0,0,0,0,0,4.14052,4.14052,4.14052,4.14052,1.43829,1.43829,1.43829,1.43829,1.43829,1.43829,0.276027,0.276027,0,0,0,0
137,1,30,114,0,83,31,57,0,27,13,37,1,0,33,0,39,25,4,38,12,0,10,0,11,1,0,0,0,0,0,0,0,0,0.00146571,0.00146571,0.00136741,0.00136741,0.00146571,0.00146571,0.00136741,0.00136741,0.000627317,0.000627317,0.000627317,0.000573061,0.000573061,0.000573061,0.000627317,0.000627317,0.000627317,0.000573061,0.000573061,0.000573061,9.44338e-05,8.84125e-05,9.44338e-05,8.84125e-05,0,0,0,0,0,0,0,0,4.13915,4.13915,4.13915,4.13915,1.43781,1.43781,1.43781,1.43781,1.43781,1.43781,0.275935,0.275935,0,0,0,0
138,1,30,114,0,83,31,57,0,27,13,37,1,0,33,0,39,25,4,38,12,0,10,0,11,1,0,0,0,0,0,0,0,0,0.00146466,0.00146466,0.00136582,0.00136582,0.00146466,0.00146466,0.00136582,0.00136582,0.00062658,0.00062658,0.00062658,0.000572323,0.000572323,0.000572323,0.00062658,0.00062658,0.00062658,0.000572323,0.000572323,0.000572323,9.4458e-05,8.83913e-05,9.4458e-05,8.83913e-05,0,0,0,0,0,0,0,0,4.12888,4.12888,4.12888,4.12888,1.43424,1.43424,1.43424,1.43424,1.43424,1.43424,0.275251,0.275251,0,0,0,0
139,1,28,107,0,75,32,64,0,36,8,45,3,0,44,0,48,20,1,45,12,0,10,0,11,1,0,0,0,0,0,0,0,0,0.00146253,0.00146253,0.00136354,0.00136354,0.00146253,0.00146253,0.00136354,0.00136354,0.000625035,0.000625035,0.000625035,0.000571032,0.000571032,0.000571032,0.000625035,0.000625035,0.000625035,0.000571032,0.000571032,0.000571032,9.44405e-05,8.84066e-05,9.44405e-05,8.84066e-05,0,0,0,0,0,0,0,0,4.1097,4.1097,4.1097,4.1097,1.42758,1.42758,1.42758,1.42758,1.42758,1.42758,0.273972,0.273972,0,0,0,0
140,1,28,107,0,75,32,64,0,36,8,45,3,0,44,0,48,20,1,45,12,0,10,0,11,1,0,0,0,0,0,0,0,0,0.00145927,0.00145927,0.0013617,0.0013617,0.00145927,0.00145927,0.0013617,0.0013617,0.000623354,0.000623354,0.000623354,0.000569888,0.000569888,0.000569888,0.000623354,0.000623354,0.000623354,0.000569888,0.000569888,0.000569888,9.43229e-05,8.85099e-05,9.43229e-05,8.85099e-05,0,0,0,0,0,0,0,0,4.09326,4.09326,4.09326,4.09326,1.42187,1.42187,1.42187,1.42187,1.42187,1.42187,0.272876,0.272876,0,0,0,0
141,1,28,107,0,75,32,64,0,36,8,45,3,0,44,0,48,20,1,45,12,0,10,0,11,1,0,0,0,0,0,0,0,0,0.00145934,0.00145934,0.00136169,0.00136169,0.00145934,0.00145934,0.00136169,0.00136169,0.000623483,0.000623483,0.000623483,0.000570192,0.000570192,0.000570192,0.000623483,0.000623483,0.000623483,0.000570192,0.000570192,0.000570192,9.42923e-05,8.85368e-05,9.42923e-05,8.85368e-05,0,0,0,0,0,0,0,0,4.09052,4.09052,4.09052,4.09052,1.42092,1.42092,1.42092,1.42092,1.42092,1.42092,0.272693,0.272693,0,0,0,0
142,1,28,107,0,75,32,64,0,36,8,45,3,0,44,0,48,20,1,45,12,0,10,0,11,1,0,0,0,0,0,0,0,0,0.00145726,0.00145726,0.00136008,0.00136008,0.00145726,0.00145726,0.00136008,0.00136008,0.000622528,0.000622528,0.000622528,0.000569025,0.000569025,0.000569025,0.000622528,0.000622528,0.000622528,0.000569025,0.000569025,0.000569025,9.42194e-05,8.86012e-05,9.42194e-05,8.86012e-05,0,0,0,0,0,0,0,0,4.07888,4.07888,4.07888,4.07888,1.41687,1.41687,1.41687,1.41687,1.41687,1.41687,0.271917,0.271917,0,0,0,0
143,1,28,107,0,75,32,64,0,36,8,45,3,0,44,0,48,20,1,45,12,0,10,0,11,1,0,0,0,0,0,0,0,0,0.00145454,0.00145454,0.00135913,0.00135913,0.00145454,0.00145454,0.00135913,0.00135913,0.000620628,0.000620628,0.000620628,0.000568138,0.000568138,0.000568138,0.000620628,0.000620628,0.000620628,0.000568138,0.000568138,0.000568138,9.41669e-05,8.86477e-05,9.41669e-05,8.86477e-05,0,0,0,0,0,0,0,0,4.06107,4.06107,4.06107,4.06107,1.41069,1.41069,1.41069,1.41069,1.41069,1.41069,0.27073,0.27073,0,0,0,0
144,1,28,107,0,75,32,64,0,36,8,45,3,0,44,0,48,20,1,45,12,0,10,0,11,1,0,0,0,0,0,0,0,0,0.00145543,0.00145543,0.00135752,0.00135752,0.00145543,0.00145543,0.00135752,0.00135752,0.000620168,0.000620168,0.000620168,0.000567467,0.000567467,0.000567467,0.000620168,0.000620168,0.000620168,0.000567467,0.000567467,0.000567467,9.42853e-05,8.8543e-05,9.42853e-05,8.8543e-05,0,0,0,0,0,0,0,0,4.05627,4.05627,4.05627,4.05627,1.40902,1.40902,1.40902,1.40902,1.40902,1.40902,0.27041,0.27041,0,0,0,0
145,1,28,107,0,75,32,64,0,36,8,45,3,0,44,0,48,20,1,45,12,0,10,0,11,1,0,0,0,0,0,0,0,0,0.00145038,0.00145038,0.00135587,0.00135587,0.00145038,0.00145038,0.00135587,0.00135587,0.000617947,0.000617947,0.000617947,0.000566743,0.000566743,0.000566743,0.000617947,0.000617947,0.000617947,0.000566743,0.000566743,0.000566743,9.42178e-05,8.86026e-05,9.42178e-05,8.86026e-05,0,0,0,0,0,0,0,0,4.03641,4.03641,4.03641,4.03641,1.40212,1.40212,1.40212,1.40212,1.40212,1.40212,0.269086,0.269086,0,0,0,0
146,1,20,100,0,75,25,59,0,39,7,57,2,0,54,0,55,22,3,53,15,0,10,0,11,1,0,0,0,0,0,0,0,0,0.00145182,0.00145182,0.00135379,0.00135379,0.00145182,0.00145182,0.00135379,0.00135379,0.00061782,0.00061782,0.00061782,0.000565648,0.000565648,0.000565648,0.00061782,0.00061782,0.00061782,0.000565648,0.000565648,0.000565648,9.44045e-05,8.84382e-05,9.44045e-05,8.84382e-05,0,0,0,0,0,0,0,0,4.03025,4.03025,4.03025,4.03025,1.39998,1.39998,1.39998,1.39998,1.39998,1.39998,0.268675,0.268675,0,0,0,0
147,1,20,100,0,75,25,59,0,39,7,57,2,0,54,0,55,22,3,53,15,0,10,0,11,1,0,0,0,0,0,0,0,0,0.00145006,0.00145006,0.00135446,0.00135446,0.00145006,0.00145006,0.00135446,0.00135446,0.000617295,0.000617295,0.000617295,0.000565854,0.000565854,0.000565854,0.000617295,0.000617295,0.000617295,0.000565854,0.000565854,0.000565854,9.43243e-05,8.85087e-05,9.43243e-05,8.85087e-05,0,0,0,0,0,0,0,0,4.02682,4.02682,4.02682,4.02682,1.39879,1.39879,1.39879,1.39879,1.39879,1.39879,0.268447,0.268447,0,0,0,0
148,1,20,100,0,75,25,59,0,39,7,57,2,0,54,0,55,22,3,53,15,0,10,0,11,1,0,0,0,0,0,0,0,0,0.00144865,0.00144865,0.00135233,0.00135233,0.00144865,0.00144865,0.00135233,0.00135233,0.000616426,0.000616426,0.000616426,0.000564891,0.000564891,0.000564891,0.000616426,0.000616426,0.000616426,0.000564891,0.000564891,0.000564891,9.43896e-05,8.84512e-05,9.43896e-05,8.84512e-05,0,0,0,0,0,0,0,0,4.00696,4.00696,4.00696,4.00696,1.39189,1.39189,1.39189,1.39189,1.39189,1.39189,0.267123,0.267123,0,0,0,0
149,1,20,100,0,75,25,59,0,39,7,57,2,0,54,0,55,22,3,53,15,0,6,0,9,3,0,0,0,0,0,0,0,0,0.00144917,0.00144917,0.00135279,0.00135279,0.00144917,0.00144917,0.00135279,0.00135279,0.000616426,0.000616426,0.000616426,0.000564432,0.000564432,0.000564432,0.000616426,0.000616426,0.000616426,0.000564432,0.000564432,0.000564432,9.42897e-05,8.85392e-05,9.42897e-05,8.85392e-05,0,0,0,0,0,0,0,0,4.00696,4.00696,4.00696,4.00696,1.39189,1.39189,1.39189,1.39189,1.39189,1.39189,0.267123,0.267123,0,0,0,0
150,1,20,100,0,75,25,59,0,39,7,57,2,0,54,0,55,22,3,53,15,0,6,0,9,3,0,0,0,0,0,0,0,0,0.00144923,0.00144923,0.00135232,0.00135232,0.00144923,0.00144923,0.00135232,0.00135232,0.000616005,0.000616005,0.000616005,0.000564734,0.000564734,0.000564734,0.000616005,0.000616005,0.000616005,0.000564734,0.000564734,0.000564734,9.42918e-05,8.85373e-05,9.42918e-05,8.85373e-05,0,0,0,0,0,0,0,0,4.00422,4.00422,4.00422,4.00422,1.39094,1.39094,1.39094,1.39094,1.39094,1.39094,0.26694,0.26694,0,0,0,0
151,1,20,100,0,75,25,59,0,39,7,57,2,0,54,0,55,22,3,53,15,0,6,0,9,3,0,0,0,0,0,0,0,0,0.00145073,0.00145073,0.00134931,0.00134931,0.00145073,0.00145073,0.00134931,0.00134931,0.00061682,0.00061682,0.00061682,0.000562792,0.000562792,0.000562792,0.00061682,0.00061682,0.00061682,0.000562792,0.000562792,0.000562792,9.43487e-05,8.84872e-05,9.43487e-05,8.84872e-05,0,0,0,0,0,0,0,0,3.99531,3.99531,3.99531,3.99531,1.38785,1.38785,1.38785,1.38785,1.38785,1.38785,0.266346,0.266346,0,0,0,0
152,1,20,100,0,75,25,59,0,39,7,57,2,0,54,0,55,22,3,53,15,0,6,0,9,3,0,0,0,0,0,0,0,0,0.00145138,0.00145138,0.00134792,0.00134792,0.00145138,0.00145138,0.00134792,0.00134792,0.000616248,0.000616248,0.000616248,0.00056202,0.00056202,0.00056202,0.000616248,0.000616248,0.000616248,0.00056202,0.00056202,0.00056202,9.442e-05,8.84246e-05,9.442e-05,8.84246e-05,0,0,0,0,0,0,0,0,3.98983,3.98983,3.98983,3.98983,1.38594,1.38594,1.38594,1.38594,1.38594,1.38594,0.265981,0.265981,0,0,0,0
153,1,28,94,0,63,31,71,0,43,11,66,4,0,65,0,61,26,1,57,15,0,6,0,9,3,0,0,0,0,0,0,0,0,0.00145039,0.00145039,0.00134623,0.00134623,0.00145039,0.00145039,0.00134623,0.00134623,0.000614909,0.000614909,0.000614909,0.000561167,0.000561167,0.000561167,0.000614909,0.000614909,0.000614909,0.000561167,0.000561167,0.000561167,9.44159e-05,8.84282e-05,9.44159e-05,8.84282e-05,0,0,0,0,0,0,0,0,3.97408,3.97408,3.97408,3.97408,1.38047,1.38047,1.38047,1.38047,1.38047,1.38047,0.264931,0.264931,0,0,0,0
154,1,28,94,0,63,31,71,0,43,11,66,4,0,65,0,61,26,1,57,15,0,6,0,9,3,0,0,0,0,0,0,0,0,0.00144745,0.00144745,0.00134663,0.00134663,0.00144745,0.00144745,0.00134663,0.00134663,0.000613213,0.000613213,0.000613213,0.000561445,0.000561445,0.000561445,0.000613213,0.000613213,0.000613213,0.000561445,0.000561445,0.000561445,9.42899e-05,8.8539e-05,9.42899e-05,8.8539e-05,0,0,0,0,0,0,0,0,3.96312,3.96312,3.96312,3.96312,1.37666,1.37666,1.37666,1.37666,1.37666,1.37666,0.2642,0.2642,0,0,0,0
155,1,28,94,0,63,31,71,0,43,11,66,4,0,65,0,61,26,1,57,15,0,6,0,9,3,0,0,0,0,0,0,0,0,0.00144659,0.00144659,0.00134565,0.00134565,0.00144659,0.00144659,0.00134565,0.00134565,0.000613095,0.000613095,0.000613095,0.000561002,0.000561002,0.000561002,0.000613095,0.000613095,0.000613095,0.000561002,0.000561002,0.000561002,9.42973e-05,8.85324e-05,9.42973e-05,8.85324e-05,0,0,0,0,0,0,0,0,3.95353,3.95353,3.95353,3.95353,1.37333,1.37333,1.37333,1.37333,1.37333,1.37333,0.263561,0.263561,0,0,0,0
156,1,28,94,0,63,31,71,0,43,11,66,4,0,65,0,61,26,1,57,15,0,6,0,9,3,0,0,0,0,0,0,0,0,0.00144536,0.00144536,0.0013454,0.0013454,0.00144536,0.00144536,0.0013454,0.0013454,0.000612078,0.000612078,0.000612078,0.000560321,0.000560321,0.000560321,0.000612078,0.000612078,0.000612078,0.000560321,0.000560321,0.000560321,9.43518e-05,8.84845e-05,9.43518e-05,8.84845e-05,0,0,0,0,0,0,0,0,3.94874,3.94874,3.94874,3.94874,1.37167,1.37167,1.37167,1.37167,1.37167,1.37167,0.263241,0.263241,0,0,0,0
157,1,28,94,0,63,31,71,0,43,11,66,4,0,65,0,61,26,1,57,15,0,6,0,9,3,0,0,0,0,0,0,0,0,0.00144701,0.00144701,0.00134355,0.00134355,0.00144701,0.00144701,0.00134355,0.00134355,0.000612473,0.000612473,0.000612473,0.000559933,0.000559933,0.000559933,0.000612473,0.000612473,0.000612473,0.000559933,0.000559933,0.000559933,9.44556e-05,8.83934e-05,9.44556e-05,8.83934e-05,0,0,0,0,0,0,0,0,3.946,3.946,3.946,3.946,1.37071,1.37071,1.37071,1.37071,1.37071,1.37071,0.263059,0.263059,0,0,0,0
158,1,28,94,0,63,31,71,0,43,11,66,4,0,65,0,61,26,1,57,15,0,6,0,9,3,0,0,0,0,0,0,0,0,0.00144455,0.00144455,0.00134165,0.00134165,0.00144455,0.00144455,0.00134165,0.00134165,0.000611805,0.000611805,0.000611805,0.0005588,0.0005588,0.0005588,0.000611805,0.000611805,0.000611805,0.0005588,0.0005588,0.0005588,9.44635e-05,8.83865e-05,9.44635e-05,8.83865e-05,0,0,0,0,0,0,0,0,3.93641,3.93641,3.93641,3.93641,1.36738,1.36738,1.36738,1.36738,1.36738,1.36738,0.26242,0.26242,0,0,0,0
159,1,28,94,0,63,31,71,0,43,11,66,4,0,65,0,61,26,1,57,15,0,6,0,9,3,0,0,0,0,0,0,0,0,0.00144323,0.00144323,0.00134064,0.00134064,0.00144323,0.00144323,0.00134064,0.00134064,0.000610222,0.000610222,0.000610222,0.000557996,0.000557996,0.000557996,0.000610222,0.000610222,0.000610222,0.000557996,0.000557996,0.000557996,9.43045e-05,8.85262e-05,9.43045e-05,8.85262e-05,0,0,0,0,0,0,0,0,3.92271,3.92271,3.92271,3.92271,1.36263,1.36263,1.36263,1.36263,1.36263,1.36263,0.261506,0.261506,0,0,0,0
