
Time,NodeID,TRANSITORY_M_Before_50,TRANSITORY_M_Before_85,TRANSITORY_M_After_50,TRANSITORY_M_After_85,TRANSITORY_F_Before_50,TRANSITORY_F_Before_85,TRANSITORY_F_After_50,TRANSITORY_F_After_85,INFORMAL_M_Before_40,INFORMAL_M_Before_65,INFORMAL_M_Before_90,INFORMAL_M_After_40,INFORMAL_M_After_65,INFORMAL_M_After_90,INFORMAL_F_Before_40,INFORMAL_F_Before_65,INFORMAL_F_Before_90,INFORMAL_F_After_40,INFORMAL_F_After_65,INFORMAL_F_After_90,MARITAL_M_Before_100,MARITAL_M_After_100,MARITAL_F_Before_100,MARITAL_F_After_100,COMMERCIAL_M_Before_50,COMMERCIAL_M_Before_85,COMMERCIAL_M_After_50,COMMERCIAL_M_After_85,COMMERCIAL_F_Before_50,COMMERCIAL_F_Before_85,COMMERCIAL_F_After_50,COMMERCIAL_F_After_85,TRANSITORY_LOW_M_50,TRANSITORY_LOW_M_85,TRANSITORY_LOW_F_50,TRANSITORY_LOW_F_85,TRANSITORY_HIGH_M_50,TRANSITORY_HIGH_M_85,TRANSITORY_HIGH_F_50,TRANSITORY_HIGH_F_85,INFORMAL_LOW_M_40,INFORMAL_LOW_M_65,INFORMAL_LOW_M_90,INFORMAL_LOW_F_40,INFORMAL_LOW_F_65,INFORMAL_LOW_F_90,INFORMAL_HIGH_M_40,INFORMAL_HIGH_M_65,INFORMAL_HIGH_M_90,INFORMAL_HIGH_F_40,INFORMAL_HIGH_F_65,INFORMAL_HIGH_F_90,MARITAL_LOW_M_100,MARITAL_LOW_F_100,MARITAL_HIGH_M_100,MARITAL_HIGH_F_100,COMMERCIAL_LOW_M_50,COMMERCIAL_LOW_M_85,COMMERCIAL_LOW_F_50,COMMERCIAL_LOW_F_85,COMMERCIAL_HIGH_M_50,COMMERCIAL_HIGH_M_85,COMMERCIAL_HIGH_F_50,COMMERCIAL_HIGH_F_85,desired_flow_TRANSITORY_M_50,desired_flow_TRANSITORY_M_85,desired_flow_TRANSITORY_F_50,desired_flow_TRANSITORY_F_85,desired_flow_INFORMAL_M_40,desired_flow_INFORMAL_M_65,desired_flow_INFORMAL_M_90,desired_flow_INFORMAL_F_40,desired_flow_INFORMAL_F_65,desired_flow_INFORMAL_F_90,desired_flow_MARITAL_M_100,desired_flow_MARITAL_F_100,desired_flow_COMMERCIAL_M_50,desired_flow_COMMERCIAL_M_85,desired_flow_COMMERCIAL_F_50,desired_flow_COMMERCIAL_F_85
10,1,50,46,1,3,43,49,0,0,20,19,19,7,7,3,16,13,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00174451,0.00174451,0.00166633,0.00166633,0.00174451,0.00174451,0.00166633,0.00166633,0.000770131,0.000770131,0.000770131,0.000715749,0.000715749,0.000715749,0.000770131,0.000770131,0.000770131,0.000715749,0.000715749,0.000715749,9.33884e-05,8.93489e-05,9.33884e-05,8.93489e-05,0,0,0,0,0,0,0,0,6.50702,6.50702,6.50702,6.50702,2.26033,2.26033,2.26033,2.26033,2.26033,2.26033,0.433789,0.433789,0,0,0,0
11,1,50,46,1,3,43,49,0,0,20,19,19,7,7,3,16,13,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00174192,0.00174192,0.0016624,0.0016624,0.00174192,0.00174192,0.0016624,0.0016624,0.000768966,0.000768966,0.000768966,0.000714092,0.000714092,0.000714092,0.000768966,0.000768966,0.000768966,0.000714092,0.000714092,0.000714092,9.34067e-05,8.93321e-05,9.34067e-05,8.93321e-05,0,0,0,0,0,0,0,0,6.48168,6.48168,6.48168,6.48168,2.25153,2.25153,2.25153,2.25153,2.25153,2.25153,0.4321,0.4321,0,0,0,0
12,1,50,46,1,3,43,49,0,0,20,19,19,7,7,3,16,13,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00173875,0.00173875,0.00166307,0.00166307,0.00173875,0.00173875,0.00166307,0.00166307,0.000767432,0.000767432,0.000767432,0.000713941,0.000713941,0.000713941,0.000767432,0.000767432,0.000767432,0.000713941,0.000713941,0.000713941,9.33437e-05,8.93898e-05,9.33437e-05,8.93898e-05,0,0,0,0,0,0,0,0,6.45771,6.45771,6.45771,6.45771,2.2432,2.2432,2.2432,2.2432,2.2432,2.2432,0.430501,0.430501,0,0,0,0
13,1,53,46,14,10,36,39,0,0,22,23,18,12,2,0,21,10,21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00173624,0.00173624,0.00166044,0.00166044,0.00173624,0.00173624,0.00166044,0.00166044,0.000766999,0.000766999,0.000766999,0.000713106,0.000713106,0.000713106,0.000766999,0.000766999,0.000766999,0.000713106,0.000713106,0.000713106,9.33941e-05,8.93437e-05,9.33941e-05,8.93437e-05,0,0,0,0,0,0,0,0,6.42757,6.42757,6.42757,6.42757,2.23274,2.23274,2.23274,2.23274,2.23274,2.23274,0.428492,0.428492,0,0,0,0
14,1,53,46,14,10,36,39,0,0,22,23,18,12,2,0,21,10,21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00173446,0.00173446,0.00165636,0.00165636,0.00173446,0.00173446,0.00165636,0.00165636,0.000766363,0.000766363,0.000766363,0.000711657,0.000711657,0.000711657,0.000766363,0.000766363,0.000766363,0.000711657,0.000711657,0.000711657,9.34441e-05,8.9298e-05,9.34441e-05,8.9298e-05,0,0,0,0,0,0,0,0,6.40017,6.40017,6.40017,6.40017,2.22322,2.22322,2.22322,2.22322,2.22322,2.22322,0.426666,0.426666,0,0,0,0
15,1,53,46,14,10,36,39,0,0,22,23,18,12,2,0,21,10,21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00173322,0.00173322,0.00165497,0.00165497,0.00173322,0.00173322,0.00165497,0.00165497,0.000765321,0.000765321,0.000765321,0.000710813,0.000710813,0.000710813,0.000765321,0.000765321,0.000765321,0.000710813,0.000710813,0.000710813,9.34721e-05,8.92724e-05,9.34721e-05,8.92724e-05,0,0,0,0,0,0,0,0,6.37825,6.37825,6.37825,6.37825,2.2156,2.2156,2.2156,2.2156,2.2156,2.2156,0.425205,0.425205,0,0,0,0
16,1,53,46,14,10,36,39,0,0,22,23,18,12,2,0,21,10,21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00173083,0.00173083,0.001653,0.001653,0.00173083,0.00173083,0.001653,0.001653,0.000764075,0.000764075,0.000764075,0.000709814,0.000709814,0.000709814,0.000764075,0.000764075,0.000764075,0.000709814,0.000709814,0.000709814,9.34169e-05,8.93228e-05,9.34169e-05,8.93228e-05,0,0,0,0,0,0,0,0,6.35908,6.35908,6.35908,6.35908,2.20894,2.20894,2.20894,2.20894,2.20894,2.20894,0.423926,0.423926,0,0,0,0
17,1,53,46,14,10,36,39,0,0,22,23,18,12,2,0,21,10,21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00172751,0.00172751,0.00165181,0.00165181,0.00172751,0.00172751,0.00165181,0.00165181,0.000762795,0.000762795,0.000762795,0.000709188,0.000709188,0.000709188,0.000762795,0.000762795,0.000762795,0.000709188,0.000709188,0.000709188,9.33844e-05,8.93526e-05,9.33844e-05,8.93526e-05,0,0,0,0,0,0,0,0,6.33305,6.33305,6.33305,6.33305,2.1999,2.1999,2.1999,2.1999,2.1999,2.1999,0.422191,0.422191,0,0,0,0
18,1,53,46,14,10,36,39,0,0,22,23,18,12,2,0,21,10,21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00172549,0.00172549,0.00164753,0.00164753,0.00172549,0.00172549,0.00164753,0.00164753,0.000761674,0.000761674,0.000761674,0.000707111,0.000707111,0.000707111,0.000761674,0.000761674,0.000761674,0.000707111,0.000707111,0.000707111,9.33304e-05,8.9402e-05,9.33304e-05,8.9402e-05,0,0,0,0,0,0,0,0,6.30839,6.30839,6.30839,6.30839,2.19134,2.19134,2.19134,2.19134,2.19134,2.19134,0.420547,0.420547,0,0,0,0
19,1,53,46,14,10,36,39,0,0,22,23,18,12,2,0,21,10,21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00172166,0.00172166,0.00164639,0.00164639,0.00172166,0.00172166,0.00164639,0.00164639,0.000760151,0.000760151,0.000760151,0.000707243,0.000707243,0.000707243,0.000760151,0.000760151,0.000760151,0.000707243,0.000707243,0.000707243,9.33575e-05,8.93772e-05,9.33575e-05,8.93772e-05,0,0,0,0,0,0,0,0,6.28921,6.28921,6.28921,6.28921,2.18467,2.18467,2.18467,2.18467,2.18467,2.18467,0.419268,0.419268,0,0,0,0
20,1,54,54,5,15,39,49,0,0,27,18,11,10,5,0,19,17,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00171934,0.00171934,0.00164133,0.00164133,0.00171934,0.00171934,0.00164133,0.00164133,0.000759066,0.000759066,0.000759066,0.000704461,0.000704461,0.000704461,0.000759066,0.000759066,0.000759066,0.000704461,0.000704461,0.000704461,9.342e-05,8.932e-05,9.342e-05,8.932e-05,0,0,0,0,0,0,0,0,6.25839,6.25839,6.25839,6.25839,2.17397,2.17397,2.17397,2.17397,2.17397,2.17397,0.417214,0.417214,0,0,0,0
21,1,54,54,5,15,39,49,0,0,27,18,11,10,5,0,19,17,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00171719,0.00171719,0.00163682,0.00163682,0.00171719,0.00171719,0.00163682,0.00163682,0.000757907,0.000757907,0.000757907,0.000702733,0.000702733,0.000702733,0.000757907,0.000757907,0.000757907,0.000702733,0.000702733,0.000702733,9.34631e-05,8.92806e-05,9.34631e-05,8.92806e-05,0,0,0,0,0,0,0,0,6.22483,6.22483,6.22483,6.22483,2.16231,2.16231,2.16231,2.16231,2.16231,2.16231,0.414976,0.414976,0,0,0,0
22,1,54,54,5,15,39,49,0,0,27,18,11,10,5,0,19,17,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00171522,0.00171522,0.00163474,0.00163474,0.00171522,0.00171522,0.00163474,0.00163474,0.000756746,0.000756746,0.000756746,0.000702006,0.000702006,0.000702006,0.000756746,0.000756746,0.000756746,0.000702006,0.000702006,0.000702006,9.34817e-05,8.92637e-05,9.34817e-05,8.92637e-05,0,0,0,0,0,0,0,0,6.20222,6.20222,6.20222,6.20222,2.15446,2.15446,2.15446,2.15446,2.15446,2.15446,0.413469,0.413469,0,0,0,0
23,1,54,54,5,15,39,49,0,0,27,18,11,10,5,0,19,17,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00171247,0.00171247,0.00163331,0.00163331,0.00171247,0.00171247,0.00163331,0.00163331,0.000755286,0.000755286,0.000755286,0.000701513,0.000701513,0.000701513,0.000755286,0.000755286,0.000755286,0.000701513,0.000701513,0.000701513,9.34353e-05,8.9306e-05,9.34353e-05,8.9306e-05,0,0,0,0,0,0,0,0,6.18373,6.18373,6.18373,6.18373,2.14803,2.14803,2.14803,2.14803,2.14803,2.14803,0.412237,0.412237,0,0,0,0
24,1,54,54,5,15,39,49,0,0,27,18,11,10,5,0,19,17,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00171085,0.00171085,0.00162986,0.00162986,0.00171085,0.00171085,0.00162986,0.00162986,0.000754815,0.000754815,0.000754815,0.00069979,0.00069979,0.00069979,0.000754815,0.000754815,0.000754815,0.00069979,0.00069979,0.00069979,9.34746e-05,8.92701e-05,9.34746e-05,8.92701e-05,0,0,0,0,0,0,0,0,6.1625,6.1625,6.1625,6.1625,2.14066,2.14066,2.14066,2.14066,2.14066,2.14066,0.410821,0.410821,0,0,0,0
