Time,NodeID,Alleles,VectorPopulation
83,1,Y,0
84,1,Be,0
84,1,Bw,102512
84,1,X,102512
84,1,Y,0
85,1,Be,0
85,1,Bw,101457
85,1,X,101457
85,1,Y,0
86,1,Be,0
86,1,Bw,100470
86,1,X,100470
86,1,Y,0
87,1,Be,0
87,1,Bw,99142
87,1,X,99142
87,1,Y,0
88,1,Be,0
88,1,Bw,98171
88,1,X,98171
88,1,Y,0
89,1,Be,0
89,1,Bw,96832
89,1,X,96832
89,1,Y,0
90,1,Be,0
90,1,Bw,95614
90,1,X,95614
90,1,Y,0
91,1,Be,0
91,1,Bw,94244
91,1,X,94244
91,1,Y,0
92,1,Be,0
92,1,Bw,94415
92,1,X,94415
92,1,Y,0
93,1,Be,0
93,1,Bw,95908
93,1,X,95908
93,1,Y,0
94,1,Be,0
94,1,Bw,98828
94,1,X,98828
94,1,Y,0
95,1,Be,0
95,1,Bw,102492
95,1,X,102492
95,1,Y,0
96,1,Be,0
96,1,Bw,103706
96,1,X,103706
96,1,Y,0
97,1,Be,0
97,1,Bw,102956
97,1,X,102956
97,1,Y,0
98,1,Be,0
98,1,Bw,102894
98,1,X,102894
98,1,Y,0
99,1,Be,0
99,1,Bw,102719
99,1,X,102719
99,1,Y,0
100,1,Be,0
100,1,Bw,102200
100,1,X,102200
100,1,Y,0
101,1,Be,0
101,1,Bw,101894
101,1,X,101894
101,1,Y,0
102,1,Be,0
102,1,Bw,101641
102,1,X,101641
102,1,Y,0
103,1,Be,0
103,1,Bw,101179
103,1,X,101179
103,1,Y,0
104,1,Be,0
104,1,Bw,100976
104,1,X,100976
104,1,Y,0
105,1,Be,0
105,1,Bw,100775
105,1,X,100775
105,1,Y,0
106,1,Be,0
106,1,Bw,100710
106,1,X,100710
106,1,Y,0
107,1,Be,0
107,1,Bw,100556
107,1,X,100556
107,1,Y,0
108,1,Be,0
108,1,Bw,100274
108,1,X,100274
108,1,Y,0
109,1,Be,0
109,1,Bw,99983
109,1,X,99983
109,1,Y,0
110,1,Be,0
110,1,Bw,100271
110,1,X,100271
110,1,Y,0
111,1,Be,0
111,1,Bw,100511
111,1,X,100511
111,1,Y,0
112,1,Be,0
112,1,Bw,100933
112,1,X,100933
112,1,Y,0
113,1,Be,0
113,1,Bw,101389
113,1,X,101389
113,1,Y,0
114,1,Be,0
114,1,Bw,101516
114,1,X,101516
114,1,Y,0
115,1,Be,0
115,1,Bw,101432
115,1,X,101432
115,1,Y,0
116,1,Be,0
116,1,Bw,101457
116,1,X,101457
116,1,Y,0
117,1,Be,0
117,1,Bw,101363
117,1,X,101363
117,1,Y,0
118,1,Be,0
118,1,Bw,101289
118,1,X,101289
118,1,Y,0
119,1,Be,0
119,1,Bw,101256
119,1,X,101256
119,1,Y,0
120,1,Be,0
120,1,Bw,101124
120,1,X,101124
120,1,Y,0
121,1,Be,0
121,1,Bw,100947
121,1,X,100947
121,1,Y,0
122,1,Be,0
122,1,Bw,100957
122,1,X,100957
122,1,Y,0
123,1,Be,0
123,1,Bw,101293
123,1,X,101293
123,1,Y,0
124,1,Be,0
124,1,Bw,101136
124,1,X,101136
124,1,Y,0
125,1,Be,0
125,1,Bw,101155
125,1,X,101155
125,1,Y,0
126,1,Be,0
126,1,Bw,100956
126,1,X,100956
126,1,Y,0
127,1,Be,0
127,1,Bw,100775
127,1,X,100775
127,1,Y,0
128,1,Be,0
128,1,Bw,100696
128,1,X,100696
128,1,Y,0
129,1,Be,0
129,1,Bw,100971
129,1,X,100971
129,1,Y,0
130,1,Be,0
130,1,Bw,101236
130,1,X,101236
130,1,Y,0
131,1,Be,0
131,1,Bw,101484
131,1,X,101484
131,1,Y,0
132,1,Be,0
132,1,Bw,101324
132,1,X,101324
132,1,Y,0
133,1,Be,0
133,1,Bw,101268
133,1,X,101268
133,1,Y,0
134,1,Be,0
134,1,Bw,101404
134,1,X,101404
134,1,Y,0
135,1,Be,0
135,1,Bw,101370
135,1,X,101370
135,1,Y,0
136,1,Be,0
136,1,Bw,101158
136,1,X,101158
136,1,Y,0
137,1,Be,0
137,1,Bw,101580
137,1,X,101580
137,1,Y,0
138,1,Be,0
138,1,Bw,101620
138,1,X,101620
138,1,Y,0
139,1,Be,0
139,1,Bw,101509
139,1,X,101509
139,1,Y,0
140,1,Be,0
140,1,Bw,101437
140,1,X,101437
140,1,Y,0
141,1,Be,0
141,1,Bw,101172
141,1,X,101172
