Time,NodeID,Population,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_MALE,STATE_IMMATURE,STATE_LARVA,STATE_EGG,NewEggsCount,IndoorBitesCount,IndoorBitesCount-Infectious,OutdoorBitesCount,OutdoorBitesCount-Infectious,NewAdults,UnmatedAdults,DiedBeforeFeeding,DiedDuringFeedingIndoor,DiedDuringFeedingOutdoor,SillySkeeter_AvailableHabitat,SillySkeeter_EggCrowdingCorrection,NumInfectousBitesGiven,NumInfectousBitesReceived,InfectiousBitesGivenMinusReceived,NumVectorsNone,NumVectorsOnlyOocysts,NumVectorsOnlySporozoites,NumVectorsBothOocystsSporozoites,NumBitesAdults,NumBitesInfected,NumBitesInfectious,NumParasiteCohortsOocysts,NumParasiteCohortsSporozoites,NumOocysts,NumSporozoites,NumInfectiousToAdult,NumInfectiousToInfected,AAAAAAAAAA,TAAAAAAAAA,AAAAAAAAAT,AAAATAAAAT,OtherBarcodes
258,340461476,1000,75956,4221,22129,49606,104247,102445,2486860,3371240,1685620,25488,1256,0,0,9950,0,7224,2668,0,266634,0.0790531,1256,1256,0,49606,22129,1200,3021,18423,5809,1256,42649,23092,108413,190487938,0,0,0,0,0,0,14663
259,340461476,1000,75846,4141,21587,50118,104308,102238,2487406,3361120,1680560,25606,1240,0,0,9803,0,7246,2667,0,266095,0.0790909,1240,1240,0,50118,21587,1291,2850,18795,5571,1240,40651,22329,104312,184699657,0,0,0,0,0,0,14263
260,340461476,1000,75952,4014,21295,50643,104032,102356,2487408,3356000,1678000,25482,1276,0,0,9906,0,7215,2585,0,266100,0.0791686,1276,1276,0,50643,21295,1338,2676,18676,5530,1276,39222,21153,101877,176235249,0,0,0,0,0,0,13569
261,340461476,1000,76216,3983,21039,51194,103927,102060,2488239,3351920,1675960,25662,1186,0,0,9967,0,7066,2637,0,265276,0.0792908,1186,1186,0,51194,21039,1387,2596,18929,5547,1186,37815,20752,99473,172536218,0,0,0,0,0,0,13332
262,340461476,1000,76329,3884,20796,51649,103863,102131,2485912,3395520,1697760,25700,1167,0,0,9916,0,7255,2548,0,267609,0.0791414,1167,1167,0,51649,20796,1425,2459,19235,5298,1167,36686,19932,97732,167035795,0,0,0,0,0,0,12871
263,340461476,1000,76164,3763,20579,51822,103770,101763,2487128,3371560,1685780,25554,1205,0,0,9856,0,7367,2654,0,266399,0.0788124,1205,1205,0,51822,20579,1415,2348,19135,5214,1205,35662,19012,95690,161579577,0,0,0,0,0,0,12325
264,340461476,1000,76198,3624,20479,52095,103579,102065,2487699,3380400,1690200,25607,1132,0,0,9987,0,7327,2626,0,265834,0.0790136,1132,1132,0,52095,20479,1361,2263,19156,5319,1132,34870,18029,94285,154688608,0,0,0,0,0,0,11686
265,340461476,1000,76114,3539,20513,52062,103712,101994,2488237,3419240,1709620,25887,1044,0,0,9699,0,7191,2592,0,265302,0.0786399,1044,1044,0,52062,20513,1335,2204,19665,5178,1044,34663,16887,93869,146155021,0,0,0,0,0,0,10995
266,340461476,1000,76122,3384,20452,52286,103745,101969,2486066,3354920,1677460,25297,1100,0,0,9891,0,7250,2633,0,267479,0.0775909,1100,1100,0,52286,20452,1286,2098,19041,5156,1100,34259,15535,93020,137042045,0,0,0,0,0,0,10146
267,340461476,1000,75966,3294,20429,52243,103396,102017,2487233,3398000,1699000,25751,1010,0,0,9755,0,7242,2669,0,266317,0.0797272,1010,1010,0,52243,20429,1315,1979,19463,5278,1010,33897,14645,92163,132539716,0,0,0,0,0,0,9575
268,340461476,1000,76132,3197,20459,52476,103597,101869,2487252,3421160,1710580,25729,962,0,0,9923,0,7137,2620,0,266303,0.0783746,962,962,0,52476,20459,1284,1913,19509,5258,962,33785,13724,91698,125703568,0,0,0,0,0,0,8965
269,340461476,1000,75930,3070,20423,52437,103529,102135,2488000,3346800,1673400,25527,999,0,0,9766,0,7325,2643,0,265560,0.0778399,999,999,0,52437,20423,1241,1829,19406,5122,999,33562,12755,91257,118681178,0,0,0,0,0,0,8361
270,340461476,1000,76137,3022,20352,52763,103570,101815,2487894,3377760,1688880,25475,928,0,0,10075,0,7300,2568,0,265671,0.0793474,928,928,0,52763,20352,1216,1806,19318,5229,928,33491,12095,90858,115479062,0,0,0,0,0,0,7972
271,340461476,1000,75967,2944,20364,52659,103504,102005,2488209,3380440,1690220,25722,854,0,0,9640,0,7184,2626,0,265360,0.0786529,854,854,0,52659,20364,1195,1749,19752,5116,854,33430,11468,90602,111620291,0,0,0,0,0,0,7599
272,340461476,1000,75932,2894,20168,52870,103439,102203,2486736,3366160,1683080,25264,910,0,0,9921,0,7308,2648,0,266838,0.0784987,910,910,0,52870,20168,1167,1727,19239,5115,910,33313,10793,89442,107912861,0,0,0,0,0,0,7221
273,340461476,1000,75892,2808,20108,52976,103664,102299,2487055,3383760,1691880,25560,856,0,0,9889,0,7394,2535,0,266523,0.0792706,856,856,0,52976,20108,1177,1631,19548,5156,856,33241,10071,89032,103589311,0,0,0,0,0,0,6812
274,340461476,1000,75950,2814,19861,53275,103659,102168,2488267,3389400,1694700,25644,819,0,0,9861,0,7131,2672,0,265315,0.0787653,819,819,0,53275,19861,1171,1643,19692,5133,819,33116,9566,87968,102982996,0,0,0,0,0,0,6506
275,340461476,1000,75763,2792,19593,53378,103693,102287,2486274,3340680,1670340,25278,842,0,0,9657,0,7243,2601,0,267312,0.0782778,842,842,0,53378,19593,1157,1635,19440,4996,842,32778,9228,86921,102047180,0,0,0,0,0,0,6268
276,340461476,1000,75816,2756,19354,53706,103689,102577,2485973,3411840,1705920,25438,869,0,0,9916,0,7239,2624,0,267617,0.0800172,869,869,0,53706,19354,1117,1639,19527,5042,869,32612,8795,85690,99408206,0,0,0,0,0,0,5978
277,340461476,1000,75786,2694,19145,53947,103655,102462,2488359,3385880,1692940,25537,829,0,0,9880,0,7302,2608,0,265234,0.0784376,829,829,0,53947,19145,1110,1584,19847,4861,829,32354,8279,84433,95965167,0,0,0,0,0,0,5709
278,340461476,1000,75946,2590,19040,54316,103598,102231,2486475,3366720,1683360,25559,780,0,0,9895,0,7113,2622,0,267122,0.0783354,780,780,0,54316,19040,1069,1521,19891,4888,780,32355,7817,83741,92163678,0,0,0,0,0,0,5407
279,340461476,1000,75960,2547,18735,54678,103713,102562,2487677,3359280,1679640,25521,810,0,0,9873,0,7242,2617,0,265923,0.0793418,810,810,0,54678,18735,1077,1470,19735,4976,810,31915,7516,82104,90963860,0,0,0,0,0,0,5212
280,340461476,1000,75937,2586,18428,54923,104090,102315,2487365,3405520,1702760,25639,737,0,0,9838,0,7347,2514,0,266239,0.0791608,737,737,0,54923,18428,1124,1462,20048,4854,737,31518,7495,80381,92308948,0,0,0,0,0,0,5210
281,340461476,1000,76151,2605,17893,55653,103907,102558,2488235,3390560,1695280,25521,747,0,0,9984,0,7183,2587,0,265372,0.0781785,747,747,0,55653,17893,1150,1455,20091,4683,747,30855,7325,78248,92955946,0,0,0,0,0,0,5188
282,340461476,1000,76124,2586,17280,56258,104121,102704,2487991,3387240,1693620,25715,796,0,0,9696,0,7132,2591,0,265619,0.0782678,796,796,0,56258,17280,1134,1452,20183,4736,796,29909,7127,75498,91562795,0,0,0,0,0,0,5085
283,340461476,1000,76232,2586,16671,56975,104175,102368,2486788,3435760,1717880,25582,796,0,0,9975,0,7272,2595,0,266825,0.0784175,796,796,0,56975,16671,1163,1423,20170,4616,796,28990,7146,72545,91744735,0,0,0,0,0,0,5039
284,340461476,1000,76292,2549,16226,57517,104024,102055,2488523,3407120,1703560,25607,737,0,0,9853,0,7161,2632,0,265093,0.0776611,737,737,0,57517,16226,1176,1373,20579,4291,737,28308,6960,70172,90845724,0,0,0,0,0,0,4881
285,340461476,1000,76488,2534,15527,58427,104102,101985,2487209,3454040,1727020,25723,764,0,0,10095,0,7347,2552,0,266409,0.0778055,764,764,0,58427,15527,1234,1300,20722,4237,764,27206,6835,66773,90258410,0,0,0,0,0,0,4836
286,340461476,1000,76441,2532,14862,59047,103949,102358,2487328,3415520,1707760,25740,765,0,0,9931,0,7383,2595,0,266293,0.0771298,765,765,0,59047,14862,1283,1249,20840,4135,765,26140,6735,63523,90409560,0,0,0,0,0,0,4766
287,340461476,1000,76351,2532,14131,59688,104060,102479,2488106,3421960,1710980,25636,753,0,0,9843,0,7371,2562,0,265518,0.0779656,753,753,0,59688,14131,1328,1204,20989,3894,753,24899,6732,60081,89391810,0,0,0,0,0,0,4737
288,340461476,1000,76198,2515,13478,60205,104058,102287,2487482,3458800,1729400,25614,728,0,0,9779,0,7268,2664,0,266144,0.0775922,728,728,0,60205,13478,1345,1170,21214,3672,728,23835,6775,57018,89343964,0,0,0,0,0,0,4728
289,340461476,1000,76463,2485,12783,61195,104052,102063,2486825,3465320,1732660,25696,738,0,0,10020,0,7142,2613,0,266803,0.0769469,738,738,0,61195,12783,1366,1119,21311,3647,738,22685,6810,53786,87784248,0,0,0,0,0,0,4714
290,340461476,1000,76495,2470,12024,62001,104101,101966,2488612,3484760,1742380,25873,746,0,0,9916,0,7223,2661,0,265019,0.0769924,746,746,0,62001,12024,1389,1081,21756,3371,746,21350,6698,50090,86098870,0,0,0,0,0,0,4655
291,340461476,1000,76526,2426,11340,62760,104168,102200,2487910,3473280,1736640,25632,725,0,0,9833,0,7234,2568,0,265723,0.0760507,725,725,0,62760,11340,1408,1018,21705,3202,725,20175,6576,46918,83766856,0,0,0,0,0,0,4557
292,340461476,1000,76426,2447,10674,63305,103924,102398,2487749,3489200,1744600,25690,757,0,0,9782,0,7311,2571,0,265886,0.0765048,757,757,0,63305,10674,1467,980,21859,3074,757,19001,6645,44010,84417102,0,0,0,0,0,0,4575
293,340461476,1000,76527,2408,10076,64043,103991,102217,2487913,3534680,1767340,25809,744,0,0,9923,0,7212,2610,0,265724,0.0762026,744,744,0,64043,10076,1490,918,22153,2912,744,17855,6574,41169,83289717,0,0,0,0,0,0,4518
294,340461476,1000,76566,2360,9425,64781,104094,101832,2487582,3491960,1745980,25626,699,0,0,9946,0,7221,2686,0,266057,0.0751763,699,699,0,64781,9425,1505,855,22325,2602,699,16675,6677,38255,81904379,0,0,0,0,0,0,4526
295,340461476,1000,76853,2319,8860,65674,104055,102004,2487272,3531000,1765500,25867,735,0,0,9990,0,7148,2555,0,266369,0.0761913,735,735,0,65674,8860,1540,779,22539,2593,735,15539,6642,35574,79992343,0,0,0,0,0,0,4510
296,340461476,1000,76897,2259,8343,66295,104230,102114,2487696,3563360,1781680,26045,723,0,0,9927,0,7270,2613,0,265947,0.0754373,723,723,0,66295,8343,1551,708,22894,2428,723,14539,6476,33225,77659542,0,0,0,0,0,0,4376
297,340461476,1000,76427,2194,7737,66496,104091,102403,2487009,3509280,1754640,25550,655,0,0,9549,0,7471,2548,0,266636,0.0746337,655,655,0,66496,7737,1547,647,22771,2124,655,13370,6407,30530,75134226,0,0,0,0,0,0,4345
298,340461476,1000,76427,2123,7194,67110,104102,102636,2486981,3557560,1778780,25528,632,0,0,9802,0,7183,2619,0,266665,0.0759801,632,632,0,67110,7194,1542,581,22775,2121,632,12394,6339,28270,72338287,0,0,0,0,0,0,4328
299,340461476,1000,76376,2057,6634,67685,104281,102709,2487544,3573240,1786620,25824,665,0,0,9847,0,7322,2576,0,266104,0.0749573,665,665,0,67685,6634,1523,534,23161,1998,665,11411,6119,25967,69013082,0,0,0,0,0,0,4209
300,340461476,1000,76396,1980,6132,68284,104478,102483,2486765,3529520,1764760,25620,610,0,0,9921,0,7260,2641,0,266885,0.0744713,610,610,0,68284,6132,1506,474,23325,1685,610,10497,5936,23665,65423660,0,0,0,0,0,0,4058
301,340461476,1000,76682,1899,5722,69061,104426,102437,2488459,3547280,1773640,25757,573,0,0,10030,0,7208,2536,0,265192,0.075615,573,573,0,69061,5722,1489,410,23487,1697,573,9705,5903,21873,61999486,0,0,0,0,0,0,3987
302,340461476,1000,76720,1873,5303,69544,104427,102494,2486467,3567280,1783640,25932,612,0,0,10005,0,7346,2621,0,267186,0.0747593,612,612,0,69544,5303,1493,380,23748,1572,612,9004,5773,20234,60913266,0,0,0,0,0,0,3898
303,340461476,1000,76613,1784,4868,69961,104599,102413,2487337,3537200,1768600,25719,532,0,0,9942,0,7438,2611,0,266317,0.0748989,532,532,0,69961,4868,1444,340,23849,1338,532,8236,5534,18353,57293011,0,0,0,0,0,0,3727
304,340461476,1000,76889,1692,4552,70645,104451,102073,2486421,3572800,1786400,25769,525,0,0,10015,0,7187,2552,0,267234,0.0752903,525,525,0,70645,4552,1394,298,23889,1355,525,7651,5265,17006,53754913,0,0,0,0,0,0,3560
305,340461476,1000,76680,1647,4199,70834,104226,101784,2487176,3609640,1804820,25991,550,0,0,9944,0,7481,2672,0,266481,0.0747969,550,550,0,70834,4199,1372,275,24238,1203,550,6962,5244,15535,52450344,0,0,0,0,0,0,3515
306,340461476,1000,76639,1564,3896,71179,104166,101343,2487363,3553560,1776780,25631,438,0,0,9967,0,7446,2562,0,266295,0.0738247,438,438,0,71179,3896,1326,238,24126,1067,438,6325,5026,14136,49072285,0,0,0,0,0,0,3394
307,340461476,1000,76636,1464,3689,71483,104193,101207,2486022,3557560,1778780,25685,500,0,0,9758,0,7227,2534,0,267637,0.0749375,500,500,0,71483,3689,1257,207,24117,1068,500,5868,4821,13188,44937431,0,0,0,0,0,0,3230
308,340461476,1000,76546,1389,3458,71699,104251,101336,2487473,3637560,1818780,25816,461,0,0,9776,0,7266,2600,0,266187,0.0752305,461,461,0,71699,3458,1205,184,24370,985,461,5423,4605,12373,42012487,0,0,0,0,0,0,3086
309,340461476,1000,76427,1327,3221,71879,104005,101729,2488369,3569160,1784580,25537,379,0,0,9847,0,7336,2630,0,265293,0.0731774,379,379,0,71879,3221,1170,157,24224,934,379,4909,4340,11373,39584992,0,0,0,0,0,0,2896
310,340461476,1000,76270,1272,3034,71964,103965,102260,2486855,3591560,1795780,25692,427,0,0,9712,0,7280,2589,0,266808,0.0743291,427,427,0,71964,3034,1145,127,24391,874,427,4511,4194,10631,37566287,0,0,0,0,0,0,2796
311,340461476,1000,76196,1172,2855,72169,103923,102050,2487435,3612280,1806140,25727,404,0,0,9773,0,7247,2600,0,266229,0.0742874,404,404,0,72169,2855,1064,108,24535,788,404,4157,3777,9883,34492480,0,0,0,0,0,0,2546
312,340461476,1000,76376,1113,2648,72615,103963,102047,2485855,3565760,1782880,25503,334,0,0,9943,0,7255,2508,0,267810,0.073701,334,334,0,72615,2648,1009,104,24394,775,334,3822,3546,9199,32129587,0,0,0,0,0,0,2365
313,340461476,1000,76360,1027,2499,72834,104072,102057,2488216,3593800,1796900,25857,345,0,0,9739,0,7139,2616,0,265450,0.0751059,345,345,0,72834,2499,929,98,24801,711,345,3545,3340,8725,29932580,0,0,0,0,0,0,2200
314,340461476,1000,76406,972,2371,73063,104192,102083,2487258,3610680,1805340,25540,325,0,0,9858,0,7290,2522,0,266409,0.0738632,325,325,0,73063,2371,893,79,24567,648,325,3297,3133,8281,28026897,0,0,0,0,0,0,2083
315,340461476,1000,76185,912,2275,72998,104095,102252,2487905,3582760,1791380,25641,268,0,0,9754,0,7361,2614,0,265763,0.0737835,268,268,0,72998,2275,841,71,24734,639,268,3128,2871,7918,25862743,0,0,0,0,0,0,1917
316,340461476,1000,76105,848,2228,73029,104302,101798,2488596,3599160,1799580,25583,266,0,0,9703,0,7256,2527,0,265072,0.0741781,266,266,0,73029,2228,789,59,24713,604,266,2962,2750,7738,23893483,0,0,0,0,0,0,1823
317,340461476,1000,76375,804,2199,73372,104224,101968,2488205,3594880,1797440,25494,259,0,0,9967,0,7149,2548,0,265464,0.0736484,259,259,0,73372,2199,746,58,24658,577,259,2887,2601,7637,21801204,0,0,0,0,0,0,1734
318,340461476,1000,76349,730,2138,73481,104291,101927,2488075,3591360,1795680,25713,242,0,0,9871,0,7258,2639,0,265595,0.073845,242,242,0,73481,2138,682,48,24913,558,242,2749,2271,7434,19274883,0,0,0,0,0,0,1541
319,340461476,1000,76338,689,2039,73610,104330,101926,2488071,3597120,1798560,25664,214,0,0,9907,0,7321,2597,0,265600,0.0739538,214,214,0,73610,2039,648,41,24888,562,214,2578,2203,7072,18136729,0,0,0,0,0,0,1486
320,340461476,1000,76176,633,1966,73577,104162,102384,2486849,3572880,1786440,25529,218,0,0,9693,0,7288,2567,0,266822,0.0738367,218,218,0,73577,1966,604,29,24764,547,218,2463,2033,6824,16538287,0,0,0,0,0,0,1384
321,340461476,1000,76368,586,1895,73887,104353,102570,2489344,3600560,1800280,25508,185,0,0,9912,0,7114,2606,0,264328,0.0746799,185,185,0,73887,1895,556,30,24802,521,185,2375,1804,6617,14945630,0,0,0,0,0,0,1241
322,340461476,1000,76465,574,1791,74100,104207,102342,2487025,3600360,1800180,25771,176,0,0,9921,0,7251,2573,0,266648,0.073413,176,176,0,74100,1791,546,28,25105,490,176,2214,1769,6274,14657238,0,0,0,0,0,0,1210
323,340461476,1000,76761,535,1721,74505,104074,102551,2487173,3619320,1809660,25775,171,0,0,10041,0,7179,2566,0,266501,0.0740614,171,171,0,74505,1721,511,24,25111,493,171,2096,1646,5926,13490747,0,0,0,0,0,0,1132
324,340461476,1000,76865,498,1626,74741,104062,102320,2487810,3590000,1795000,25759,167,0,0,9825,0,7162,2559,0,265864,0.0736328,167,167,0,74741,1626,476,22,25152,440,167,1950,1556,5638,12756047,0,0,0,0,0,0,1073
325,340461476,1000,77012,473,1539,75000,104027,102444,2486322,3621640,1810820,25760,144,0,0,9998,0,7238,2613,0,267353,0.0740569,144,144,0,75000,1539,456,17,25172,444,144,1808,1463,5282,12353312,0,0,0,0,0,0,1026
326,340461476,1000,77018,442,1413,75163,104174,102366,2487316,3636040,1818020,26005,145,0,0,10040,0,7421,2613,0,266360,0.073821,145,145,0,75163,1413,429,13,25423,437,145,1650,1270,4853,11590397,0,0,0,0,0,0,904
327,340461476,1000,77222,423,1329,75470,104098,101708,2488452,3626880,1813440,25963,141,0,0,10111,0,7338,2569,0,265224,0.0732554,141,141,0,75470,1329,412,11,25466,356,141,1539,1209,4543,11118252,0,0,0,0,0,0,858
328,340461476,1000,77225,398,1270,75557,104078,102071,2487708,3613400,1806700,25839,129,0,0,9896,0,7329,2564,0,265969,0.0731273,129,129,0,75557,1270,386,12,25368,342,129,1462,1128,4360,10404256,0,0,0,0,0,0,812
329,340461476,1000,77240,391,1143,75706,104145,101995,2487411,3641760,1820880,25919,116,0,0,9912,0,7366,2531,0,266266,0.0736062,116,116,0,75706,1143,378,13,25454,349,116,1312,1056,3902,9876809,0,0,0,0,0,0,774
330,340461476,1000,77161,367,1062,75732,104024,102052,2486949,3642200,1821100,25919,119,0,0,9823,0,7374,2528,0,266729,0.0731146,119,119,0,75732,1062,353,14,25496,304,119,1205,974,3588,9443486,0,0,0,0,0,0,711
331,340461476,1000,76804,330,981,75493,104006,102386,2486227,3628480,1814240,25732,122,0,0,9685,0,7435,2607,0,267451,0.0732328,122,122,0,75493,981,321,9,25333,277,122,1098,846,3306,8583726,0,0,0,0,0,0,613
332,340461476,1000,76917,307,914,75696,104164,102099,2487812,3671120,1835560,25901,97,0,0,9909,0,7144,2652,0,265867,0.0737088,97,97,0,75696,914,301,6,25519,285,97,993,790,2983,8006901,0,0,0,0,0,0,576
333,340461476,1000,77039,306,821,75912,104154,101852,2486955,3663800,1831900,26083,87,0,0,9895,0,7146,2627,0,266724,0.0724211,87,87,0,75912,821,300,6,25729,267,87,888,749,2675,7958252,0,0,0,0,0,0,550
334,340461476,1000,76992,304,755,75933,104056,101841,2489278,3635120,1817560,25823,100,0,0,9819,0,7299,2567,0,264402,0.0727998,100,100,0,75933,755,297,7,25507,216,100,813,712,2469,7645807,0,0,0,0,0,0,533
335,340461476,1000,77076,302,681,76093,104045,101857,2487254,3652000,1826000,25860,102,0,0,9900,0,7224,2592,0,266426,0.0727353,102,102,0,76093,681,295,7,25555,203,102,730,680,2191,7423414,0,0,0,0,0,0,511
336,340461476,1000,76847,294,614,75939,103872,101913,2487332,3696720,1848360,26154,77,0,0,9711,0,7326,2614,0,266349,0.0729534,77,77,0,75939,614,286,8,25878,199,77,653,648,1986,7435171,0,0,0,0,0,0,486
337,340461476,1000,76729,269,555,75905,103637,102291,2487795,3616680,1808340,25575,87,0,0,9770,0,7333,2555,0,265886,0.07205,87,87,0,75905,555,261,8,25325,163,87,584,578,1758,7003029,0,0,0,0,0,0,445
338,340461476,1000,76807,244,503,76060,103693,102166,2487368,3629960,1814980,25708,85,0,0,9849,0,7253,2518,0,266314,0.0735166,85,85,0,76060,503,236,8,25479,144,85,532,499,1619,6426014,0,0,0,0,0,0,390
339,340461476,1000,76931,225,470,76236,103705,102142,2488282,3685800,1842900,26009,60,0,0,9974,0,7313,2537,0,265400,0.0733654,60,60,0,76236,470,220,5,25787,162,60,495,455,1489,5807592,0,0,0,0,0,0,356
340,340461476,1000,76797,209,470,76118,103841,102101,2487051,3603360,1801680,25739,65,0,0,9756,0,7275,2615,0,266631,0.072006,65,65,0,76118,470,206,3,25558,116,65,489,397,1511,5279266,0,0,0,0,0,0,320
341,340461476,1000,76899,178,458,76263,103888,102052,2487897,3624240,1812120,25720,77,0,0,10002,0,7309,2591,0,265785,0.0739951,77,77,0,76263,458,175,3,25526,117,77,477,325,1416,4842061,0,0,0,0,0,0,265
342,340461476,1000,76918,165,442,76311,103834,102048,2488273,3677360,1838680,26032,47,0,0,9930,0,7312,2599,0,265410,0.0733354,47,47,0,76311,442,162,3,25857,128,47,460,304,1379,4191292,0,0,0,0,0,0,249
343,340461476,1000,76846,151,452,76243,103626,102342,2488415,3622000,1811000,25652,43,0,0,9883,0,7341,2614,0,265268,0.0721739,43,43,0,76243,452,149,2,25492,117,43,466,283,1387,3927809,0,0,0,0,0,0,230
344,340461476,1000,76879,140,452,76287,103681,102179,2486514,3616240,1808120,25798,57,0,0,9881,0,7221,2627,0,267169,0.0732379,57,57,0,76287,452,138,2,25629,112,57,467,232,1387,3561801,0,0,0,0,0,0,189
345,340461476,1000,76924,133,469,76322,103654,102070,2487611,3686800,1843400,26043,43,0,0,9916,0,7224,2647,0,266072,0.0738803,43,43,0,76322,469,130,3,25889,111,43,482,219,1473,3181222,0,0,0,0,0,0,176
346,340461476,1000,76906,125,485,76296,103836,101930,2487877,3630480,1815240,25770,29,0,0,9809,0,7260,2567,0,265807,0.0721689,29,29,0,76296,485,122,3,25621,120,29,498,203,1599,3041604,0,0,0,0,0,0,165
347,340461476,1000,76828,110,504,76214,104080,101460,2487187,3635560,1817780,25783,49,0,0,9829,0,7262,2645,0,266497,0.0732152,49,49,0,76214,504,109,1,25624,110,49,517,185,1614,2759277,0,0,0,0,0,0,147
348,340461476,1000,76572,106,515,75951,104009,101976,2487206,3657000,1828500,25791,39,0,0,9751,0,7420,2587,0,266478,0.0733028,39,39,0,75951,515,105,1,25630,122,39,523,177,1645,2607842,0,0,0,0,0,0,140
349,340461476,1000,76523,100,533,75890,104018,102068,2487133,3633600,1816800,25651,23,0,0,9855,0,7300,2604,0,266551,0.0728679,23,23,0,75890,533,99,1,25503,125,23,540,168,1701,2416605,0,0,0,0,0,0,134
350,340461476,1000,76550,93,546,75911,103772,102315,2487030,3605600,1802800,25707,33,0,0,9839,0,7203,2609,0,266655,0.0733573,33,33,0,75911,546,92,1,25555,119,33,555,161,1746,2238336,0,0,0,0,0,0,127
351,340461476,1000,76595,82,572,75941,103604,102583,2488080,3653000,1826500,25777,28,0,0,9797,0,7179,2573,0,265605,0.0739557,28,28,0,75941,572,81,1,25610,139,28,584,131,1835,2021182,0,0,0,0,0,0,109
352,340461476,1000,76525,80,601,75844,103873,102292,2487802,3609960,1804980,25567,20,0,0,9973,0,7457,2586,0,265883,0.0727087,20,20,0,75844,601,79,1,25408,139,20,618,124,1900,1984701,0,0,0,0,0,0,104
353,340461476,1000,76731,74,616,76041,103603,102269,2487984,3595400,1797700,25643,31,0,0,9990,0,7279,2505,0,265701,0.0736526,31,31,0,76041,616,73,1,25468,144,31,634,118,1926,1891953,0,0,0,0,0,0,98
354,340461476,1000,76727,68,624,76035,103623,102030,2486894,3643440,1821720,25958,26,0,0,9916,0,7336,2584,0,266792,0.0739003,26,26,0,76035,624,68,0,25767,165,26,643,113,1920,1847912,0,0,0,0,0,0,93
355,340461476,1000,76767,63,617,76087,103573,102044,2486307,3600960,1800480,25577,10,0,0,10003,0,7398,2565,0,267379,0.0732252,10,10,0,76087,617,63,0,25403,164,10,634,104,1929,1607776,0,0,0,0,0,0,85
356,340461476,1000,76884,59,620,76205,103544,102103,2487034,3628120,1814060,25850,20,0,0,9999,0,7304,2578,0,266652,0.0742521,20,20,0,76205,620,59,0,25687,143,20,634,93,1948,1607168,0,0,0,0,0,0,76
357,340461476,1000,76741,54,617,76070,103574,102471,2487375,3633600,1816800,25827,18,0,0,9885,0,7459,2569,0,266311,0.0734959,18,18,0,76070,617,54,0,25668,141,18,629,91,1924,1468307,0,0,0,0,0,0,72
358,340461476,1000,76762,52,634,76076,103337,102266,2487558,3620280,1810140,25682,14,0,0,9865,0,7243,2601,0,266129,0.0732913,14,14,0,76076,634,52,0,25502,166,14,649,86,1968,1447036,0,0,0,0,0,0,69
359,340461476,1000,76905,51,630,76224,103279,101958,2488739,3645640,1822820,25862,15,0,0,9939,0,7182,2614,0,264948,0.0735105,15,15,0,76224,630,51,0,25685,162,15,645,80,1869,1413647,0,0,0,0,0,0,66
360,340461476,1000,76734,53,608,76073,103211,101849,2487103,3645240,1822620,25889,19,0,0,9888,0,7420,2639,0,266584,0.0726752,19,19,0,76073,608,52,1,25712,158,19,623,65,1791,1493769,0,0,0,0,0,0,58
361,340461476,1000,76916,52,598,76266,103127,101992,2487082,3601120,1800560,25627,14,0,0,9957,0,7358,2417,0,266605,0.0731321,14,14,0,76266,598,51,1,25432,181,14,613,63,1812,1412786,0,0,0,0,0,0,57
362,340461476,1000,76813,52,596,76165,103228,101616,2487509,3638240,1819120,25865,17,0,0,9778,0,7342,2539,0,266179,0.074034,17,17,0,76165,596,51,1,25699,149,17,610,63,1816,1459713,0,0,0,0,0,0,57
363,340461476,1000,76692,59,574,76059,103155,102052,2486978,3631360,1815680,25712,18,0,0,9851,0,7377,2595,0,266710,0.0731613,18,18,0,76059,574,56,3,25554,140,18,590,65,1714,1648133,0,0,0,0,0,0,63
364,340461476,1000,76601,62,545,75994,103176,102192,2487891,3619240,1809620,25680,9,0,0,9873,0,7389,2575,0,265797,0.0734462,9,9,0,75994,545,58,4,25509,162,9,563,68,1644,1792762,0,0,0,0,0,0,66
365,340461476,1000,76671,63,517,76091,103354,102145,2487457,3616720,1808360,25744,24,0,0,9924,0,7258,2596,0,266231,0.07344,24,24,0,76091,517,60,3,25578,142,24,537,69,1581,1764477,0,0,0,0,0,0,67
366,340461476,1000,76637,60,498,76079,103305,102454,2486853,3629880,1814940,25831,21,0,0,9724,0,7217,2541,0,266836,0.0736112,21,21,0,76079,498,59,1,25677,133,21,514,72,1488,1804318,0,0,0,0,0,0,69
367,340461476,1000,76771,58,475,76238,103525,102714,2486322,3625480,1812740,25609,14,0,0,9857,0,7215,2508,0,267367,0.0735108,14,14,0,76238,475,57,1,25462,133,14,493,66,1402,1600680,0,0,0,0,0,0,63
368,340461476,1000,76654,64,439,76151,103589,102575,2487404,3625400,1812700,25720,13,0,0,9866,0,7389,2594,0,266285,0.0737465,13,13,0,76151,439,63,1,25583,124,13,455,76,1293,1844632,0,0,0,0,0,0,72
369,340461476,1000,76558,62,415,76081,103726,102645,2487934,3637520,1818760,25803,21,0,0,9998,0,7456,2638,0,265755,0.0734497,21,21,0,76081,415,60,2,25673,109,21,431,67,1219,1800194,0,0,0,0,0,0,66
