
time,Node_ID,Before/After,RelationshipType,# of Males,# of Females,Male_Bin_Index_1,Male_Bin_Index_2,Male_Bin_Index_3,Male_Bin_Index_4,Male_Bin_Index_5,Male_Bin_Index_6,Male_Bin_Index_7,Male_Bin_Index_8,Male_Bin_Index_9,Male_Bin_Index_10,Male_Bin_Index_11,Male_Bin_Index_12,Male_Bin_Index_13,Male_Bin_Index_14,Male_Bin_Index_15,Male_Bin_Index_16,Male_Bin_Index_17,Male_Bin_Index_18,Male_Bin_Index_19,Male_Bin_Index_20,Female_Bin_Index_1,Female_Bin_Index_2,Female_Bin_Index_3,Female_Bin_Index_4,Female_Bin_Index_5,Female_Bin_Index_6,Female_Bin_Index_7,Female_Bin_Index_8,Female_Bin_Index_9,Female_Bin_Index_10,Female_Bin_Index_11,Female_Bin_Index_12,Female_Bin_Index_13,Female_Bin_Index_14,Female_Bin_Index_15,Female_Bin_Index_16,Female_Bin_Index_17,Female_Bin_Index_18,Female_Bin_Index_19,Female_Bin_Index_20
3,1,BEFORE,INFORMAL,9,19,0,0,0,3,0,1,1,0,2,0,0,0,0,0,0,0,0,0,2,0,1,1,3,1,2,1,1,2,2,0,1,2,1,0,0,0,1,0,0,0
3,1,AFTER,INFORMAL,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,2,0,1,1,1,0,0,0,0,0,0,0
3,1,BEFORE,MARITAL,2,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
3,1,AFTER,MARITAL,2,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
3,1,BEFORE,COMMERCIAL,0,0,0,0,0,0
3,1,AFTER,COMMERCIAL,0,0,0,0,0,0
4,1,BEFORE,TRANSITORY,10,15,1,0,1,1,0,1,4,0,0,0,0,1,0,1,0,0,0,0,0,0,6,1,2,1,0,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0
4,1,AFTER,TRANSITORY,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4,1,BEFORE,INFORMAL,6,16,0,0,0,0,2,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,2,0,2,0,3,2,1,1,1,1,0,0,0,0,0,0,0
4,1,AFTER,INFORMAL,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,3,2,1,0,0,1,0,0,0,0,0,0,0
4,1,BEFORE,MARITAL,2,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
4,1,AFTER,MARITAL,2,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
4,1,BEFORE,COMMERCIAL,0,0,0,0,0,0
4,1,AFTER,COMMERCIAL,0,0,0,0,0,0
5,1,BEFORE,TRANSITORY,7,19,2,1,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,2,3,0,2,4,0,0,1,0,1,0,0,0,0,0,1,0,1,0
5,1,AFTER,TRANSITORY,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,4,0,0,1,0,0,0,0,0,0,0,1,0,1,0
5,1,BEFORE,INFORMAL,7,19,0,0,0,0,2,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,2,1,1,1,5,0,3,3,1,0,0,1,0,0,0,0,0,0,0
5,1,AFTER,INFORMAL,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,3,3,1,0,0,1,0,0,0,0,0,0,0
5,1,BEFORE,MARITAL,2,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
5,1,AFTER,MARITAL,2,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
5,1,BEFORE,COMMERCIAL,0,0,0,0,0,0
5,1,AFTER,COMMERCIAL,0,0,0,0,0,0
6,1,BEFORE,TRANSITORY,10,23,0,1,2,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,2,4,4,0,0,2,0,0,0,0,0,0,0,2,0,1,0
6,1,AFTER,TRANSITORY,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,3,0,0,2,0,0,0,0,0,0,0,2,0,1,0
6,1,BEFORE,INFORMAL,5,18,0,0,0,1,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,1,3,3,2,0,1,1,1,0,0,0,0,0,0
6,1,AFTER,INFORMAL,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,3,2,0,1,1,1,0,0,0,0,0,0
6,1,BEFORE,MARITAL,2,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
6,1,AFTER,MARITAL,2,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
6,1,BEFORE,COMMERCIAL,0,0,0,0,0,0
6,1,AFTER,COMMERCIAL,0,0,0,0,0,0
7,1,BEFORE,TRANSITORY,4,17,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,4,5,0,0,3,0,0,0,0,0,0,0,2,0,1,0
7,1,AFTER,TRANSITORY,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,2,0,0,0,0,0,0,0,2,0,1,0
7,1,BEFORE,INFORMAL,9,18,0,0,0,0,4,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,1,0,4,0,2,3,2,0,1,1,1,0,1,0,0,0,0
7,1,AFTER,INFORMAL,1,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2,0,1,1,0,0,1,0,0,0,0
7,1,BEFORE,MARITAL,2,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
7,1,AFTER,MARITAL,2,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
7,1,BEFORE,COMMERCIAL,0,0,0,0,0,0
7,1,AFTER,COMMERCIAL,0,0,0,0,0,0
8,1,BEFORE,TRANSITORY,6,23,0,2,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,3,5,5,0,0,2,0,0,0,0,0,0,0,3,0,1,0
8,1,AFTER,TRANSITORY,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,4,0,0,2,0,0,0,0,0,0,0,3,0,1,0
8,1,BEFORE,INFORMAL,10,20,0,0,1,1,1,2,1,2,0,1,0,0,0,1,0,0,0,0,0,0,2,2,0,1,1,1,0,1,3,2,0,2,2,1,1,1,0,0,0,0
8,1,AFTER,INFORMAL,2,12,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,2,0,2,2,0,1,1,0,0,0,0
8,1,BEFORE,MARITAL,2,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
8,1,AFTER,MARITAL,2,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
8,1,BEFORE,COMMERCIAL,0,0,0,0,0,0
8,1,AFTER,COMMERCIAL,0,0,0,0,0,0
