Time,NodeID,Alleles,VectorPopulation,STATE_MALE,VectorPopulationNumDied,MaleNumDied,VectorPopulationAvgAgeAtDeath,MaleAvgAgeAtDeath
0,1,X1,11951,5960,1382,706,3.0123,2.97025
0,1,X2,5951,2972,716,361,3.00978,3.00831
0,1,Y1,0,5381,0,619,0,2.979
0,1,Y2,0,3551,0,448,0,2.98884
1,1,X1,10717,5277,1234,683,3.98622,3.99414
1,1,X2,5327,2654,624,318,4.02404,3.90566
1,1,Y1,0,4771,0,610,0,3.92459
1,1,Y2,0,3160,0,391,0,4.03069
2,1,X1,9549,4704,1168,573,5.02226,5.06108
2,1,X2,4715,2380,612,274,5.00327,5.04015
2,1,Y1,0,4264,0,507,0,5.04536
2,1,Y2,0,2820,0,340,0,5.06765
3,1,X1,8475,4172,1074,532,6.05587,6.02632
3,1,X2,4187,2102,528,278,6.06818,5.97842
3,1,Y1,0,3802,0,462,0,5.98485
3,1,Y2,0,2472,0,348,0,6.0431
4,1,X1,7522,3729,953,443,6.95698,6.98646
4,1,X2,3694,1849,493,253,7.00609,7.05929
4,1,Y1,0,3371,0,431,0,7.06729
4,1,Y2,0,2207,0,265,0,6.92453
5,1,X1,6682,3281,840,448,8.0619,7.98884
5,1,X2,3310,1615,384,234,7.98958,8.04701
5,1,Y1,0,2959,0,412,0,7.99757
5,1,Y2,0,1937,0,270,0,8.02593
6,1,X1,5826,2895,856,386,8.96379,9.0285
6,1,X2,2888,1409,422,206,9.00237,9.02913
6,1,Y1,0,2612,0,347,0,9.0317
6,1,Y2,0,1692,0,245,0,9.02449
7,1,X1,5116,2525,710,370,9.96761,10.0486
7,1,X2,2514,1205,374,204,9.95455,10.0931
7,1,Y1,0,2252,0,360,0,10.0667
7,1,Y2,0,1478,0,214,0,10.0607
8,1,X1,4466,2173,650,352,10.9538,10.9858
8,1,X2,2186,1054,328,151,10.9939,10.9735
8,1,Y1,0,1919,0,333,0,11.006
8,1,Y2,0,1308,0,170,0,10.9353
9,1,X1,3841,1857,625,316,12.0528,11.9842
9,1,X2,1877,933,309,121,11.9838,12.0331
9,1,Y1,0,1655,0,264,0,11.9432
9,1,Y2,0,1135,0,173,0,12.0809
10,1,X1,3275,1614,566,243,12.9594,13.0617
10,1,X2,1577,786,300,147,12.9833,13.0204
10,1,Y1,0,1437,0,218,0,13.0138
10,1,Y2,0,963,0,172,0,13.0872
11,1,X1,2850,1393,425,221,13.9976,14.0317
