Time,NodeID,Gender,NumIndividuals,NumInfected,NodeProp=DiscoMatangaStatus
49.1346,11,F,0,0,OPEN
49.1346,10,M,0,0,OPEN
49.1346,10,F,0,0,OPEN
49.1346,9,M,0,0,OPEN
49.1346,9,F,0,0,OPEN
49.1346,8,M,0,0,OPEN
49.1346,8,F,0,0,OPEN
49.1346,7,M,0,0,OPEN
49.1346,7,F,0,0,OPEN
49.1346,6,M,0,0,OPEN
49.1346,6,F,0,0,OPEN
49.1346,5,M,0,0,OPEN
49.1346,5,F,0,0,OPEN
49.1346,4,M,0,0,OPEN
49.1346,4,F,0,0,OPEN
49.1346,3,M,0,0,OPEN
49.1346,3,F,0,0,OPEN
49.1346,2,M,0,0,OPEN
49.1346,2,F,0,0,OPEN
49.1346,1,M,10028,1014,OPEN
49.1346,1,F,10065,1010,OPEN
56.1538,11,M,0,0,OPEN
56.1538,11,F,0,0,OPEN
56.1538,10,M,0,0,OPEN
56.1538,10,F,0,0,OPEN
56.1538,9,M,0,0,OPEN
56.1538,9,F,0,0,OPEN
56.1538,8,M,0,0,OPEN
56.1538,8,F,0,0,OPEN
56.1538,7,M,0,0,OPEN
56.1538,7,F,0,0,OPEN
56.1538,6,M,0,0,OPEN
56.1538,6,F,0,0,OPEN
56.1538,5,M,0,0,OPEN
56.1538,5,F,0,0,OPEN
56.1538,4,M,0,0,OPEN
56.1538,4,F,0,0,OPEN
56.1538,3,M,0,0,OPEN
56.1538,3,F,0,0,OPEN
56.1538,2,M,0,0,OPEN
56.1538,2,F,0,0,OPEN
56.1538,1,M,10027,1019,OPEN
56.1538,1,F,10066,1008,OPEN
63.1731,11,M,0,0,OPEN
63.1731,11,F,0,0,OPEN
63.1731,10,M,0,0,OPEN
63.1731,10,F,0,0,OPEN
63.1731,9,M,0,0,OPEN
63.1731,9,F,0,0,OPEN
63.1731,8,M,0,0,OPEN
63.1731,8,F,0,0,OPEN
63.1731,7,M,0,0,OPEN
63.1731,7,F,0,0,OPEN
63.1731,6,M,0,0,OPEN
63.1731,6,F,0,0,OPEN
63.1731,5,M,0,0,OPEN
63.1731,5,F,0,0,OPEN
63.1731,4,M,0,0,OPEN
63.1731,4,F,0,0,OPEN
63.1731,3,M,0,0,OPEN
63.1731,3,F,0,0,OPEN
63.1731,2,M,0,0,OPEN
63.1731,2,F,0,0,OPEN
63.1731,1,M,10020,1012,OPEN
63.1731,1,F,10070,1015,OPEN
70.1923,11,M,0,0,OPEN
70.1923,11,F,0,0,OPEN
70.1923,10,M,0,0,OPEN
70.1923,10,F,0,0,OPEN
70.1923,9,M,0,0,OPEN
70.1923,9,F,0,0,OPEN
70.1923,8,M,0,0,OPEN
70.1923,8,F,0,0,OPEN
70.1923,7,M,0,0,OPEN
70.1923,7,F,0,0,OPEN
70.1923,6,M,0,0,OPEN
70.1923,6,F,0,0,OPEN
70.1923,5,M,0,0,OPEN
70.1923,5,F,0,0,OPEN
70.1923,4,M,0,0,OPEN
70.1923,4,F,0,0,OPEN
70.1923,3,M,0,0,OPEN
70.1923,3,F,0,0,OPEN
70.1923,2,M,0,0,OPEN
70.1923,2,F,0,0,OPEN
70.1923,1,M,10027,1016,OPEN
70.1923,1,F,10075,1019,OPEN
77.2115,11,M,0,0,OPEN
77.2115,11,F,0,0,OPEN
77.2115,10,M,0,0,OPEN
77.2115,10,F,0,0,OPEN
77.2115,9,M,0,0,OPEN
77.2115,9,F,0,0,OPEN
77.2115,8,M,0,0,OPEN
77.2115,8,F,0,0,OPEN
77.2115,7,M,0,0,OPEN
77.2115,7,F,0,0,OPEN
77.2115,6,M,0,0,OPEN
77.2115,6,F,0,0,OPEN
77.2115,5,M,0,0,OPEN
77.2115,5,F,0,0,OPEN
77.2115,4,M,0,0,OPEN
77.2115,4,F,0,0,OPEN
77.2115,3,M,0,0,OPEN
77.2115,3,F,0,0,OPEN
77.2115,2,M,0,0,OPEN
77.2115,2,F,0,0,OPEN
77.2115,1,M,10027,1016,OPEN
77.2115,1,F,10078,1017,OPEN
84.2308,11,M,0,0,OPEN
84.2308,11,F,0,0,OPEN
84.2308,10,M,0,0,OPEN
84.2308,10,F,0,0,OPEN
84.2308,9,M,0,0,OPEN
84.2308,9,F,0,0,OPEN
84.2308,8,M,0,0,OPEN
84.2308,8,F,0,0,OPEN
84.2308,7,M,0,0,OPEN
84.2308,7,F,0,0,OPEN
84.2308,6,M,0,0,OPEN
84.2308,6,F,0,0,OPEN
84.2308,5,M,0,0,OPEN
84.2308,5,F,0,0,OPEN
84.2308,4,M,0,0,OPEN
84.2308,4,F,0,0,OPEN
84.2308,3,M,0,0,OPEN
84.2308,3,F,0,0,OPEN
84.2308,2,M,0,0,OPEN
84.2308,2,F,0,0,OPEN
84.2308,1,M,10025,1021,OPEN
84.2308,1,F,10086,1021,OPEN
91.25,11,M,0,0,OPEN
91.25,11,F,0,0,OPEN
91.25,10,M,0,0,OPEN
91.25,10,F,0,0,OPEN
91.25,9,M,0,0,OPEN
91.25,9,F,0,0,OPEN
91.25,8,M,0,0,OPEN
91.25,8,F,0,0,OPEN
91.25,7,M,0,0,OPEN
91.25,7,F,0,0,OPEN
91.25,6,M,0,0,OPEN
91.25,6,F,0,0,OPEN
91.25,5,M,0,0,OPEN
91.25,5,F,0,0,OPEN
91.25,4,M,0,0,OPEN
91.25,4,F,0,0,OPEN
91.25,3,M,0,0,OPEN
91.25,3,F,0,0,OPEN
91.25,2,M,0,0,OPEN
91.25,2,F,0,0,OPEN
91.25,1,M,10037,1028,OPEN
91.25,1,F,10093,1022,OPEN
98.2692,11,M,0,0,OPEN
98.2692,11,F,0,0,OPEN
98.2692,10,M,0,0,OPEN
98.2692,10,F,0,0,OPEN
98.2692,9,M,0,0,OPEN
98.2692,9,F,0,0,OPEN
98.2692,8,M,0,0,OPEN
98.2692,8,F,0,0,OPEN
98.2692,7,M,0,0,OPEN
98.2692,7,F,0,0,OPEN
98.2692,6,M,0,0,OPEN
98.2692,6,F,0,0,OPEN
98.2692,5,M,0,0,OPEN
98.2692,5,F,0,0,OPEN
98.2692,4,M,0,0,OPEN
98.2692,4,F,0,0,OPEN
98.2692,3,M,0,0,OPEN
98.2692,3,F,0,0,OPEN
98.2692,2,M,0,0,OPEN
98.2692,2,F,0,0,OPEN
98.2692,1,M,10039,1028,OPEN
98.2692,1,F,10100,1022,OPEN
105.288,11,M,0,0,OPEN
105.288,11,F,0,0,OPEN
105.288,10,M,0,0,OPEN
105.288,10,F,0,0,OPEN
105.288,9,M,0,0,OPEN
105.288,9,F,0,0,OPEN
105.288,8,M,0,0,OPEN
105.288,8,F,0,0,OPEN
105.288,7,M,0,0,OPEN
105.288,7,F,0,0,OPEN
105.288,6,M,0,0,OPEN
105.288,6,F,0,0,OPEN
105.288,5,M,0,0,OPEN
105.288,5,F,0,0,OPEN
105.288,4,M,0,0,OPEN
105.288,4,F,0,0,OPEN
105.288,3,M,0,0,OPEN
105.288,3,F,0,0,OPEN
105.288,2,M,0,0,OPEN
105.288,2,F,0,0,OPEN
105.288,1,M,10043,1023,OPEN
105.288,1,F,10106,1021,OPEN
112.308,11,M,0,0,OPEN
112.308,11,F,0,0,OPEN
112.308,10,M,0,0,OPEN
112.308,10,F,0,0,OPEN
112.308,9,M,0,0,OPEN
