Time,NodeID,Population,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_MALE,STATE_IMMATURE,STATE_LARVA,STATE_EGG,NewEggsCount,IndoorBitesCount,IndoorBitesCount-Infectious,OutdoorBitesCount,OutdoorBitesCount-Infectious,NewAdults,UnmatedAdults,DiedBeforeFeeding,DiedDuringFeedingIndoor,DiedDuringFeedingOutdoor,SillySkeeter_AvailableHabitat,SillySkeeter_EggCrowdingCorrection,NumInfectousBitesGiven,NumInfectousBitesReceived,InfectiousBitesGivenMinusReceived,NumVectorsNone,NumVectorsOnlyOocysts,NumVectorsOnlySporozoites,NumVectorsBothOocystsSporozoites,NumBitesAdults,NumBitesInfected,NumBitesInfectious,NumParasiteCohortsOocysts,NumParasiteCohortsSporozoites,NumOocysts,NumSporozoites,NumInfectiousToAdult,NumInfectiousToInfected,*AAAAAAAAAAAAAAAAAAAAAAT,OtherBarcodes
6,4,997,3934,0,0,3934,4861,0,57503,272200,136100,1289,0,0,0,0,0,439,122,0,12555.7,0.0368086,0,0,0,3934,0,0,0,1289,0,0,0,0,0,0,0,0,0,0
7,1,1003,3455,0,0,3455,4438,0,64537,233800,116900,1104,0,0,0,0,0,357,104,0,12919.8,0.0473055,0,0,0,3455,0,0,0,1104,0,0,0,0,0,0,0,0,0,0
7,2,998,3386,0,0,3386,4612,0,64504,230000,115000,1088,0,0,0,0,0,369,85,0,12952.8,0.0460582,0,0,0,3386,0,0,0,1088,0,0,0,0,0,0,0,0,0,0
7,3,1002,3377,0,0,3377,4594,0,64545,238000,119000,1125,0,0,0,0,0,393,106,0,12911.8,0.0453845,0,0,0,3377,0,0,0,1125,0,0,0,0,0,0,0,0,0,0
7,4,997,3491,0,0,3491,4417,0,64513,247200,123600,1171,0,0,0,0,0,349,94,0,12943.8,0.0461268,0,0,0,3491,0,0,0,1171,0,0,0,0,0,0,0,0,0,0
8,1,1003,3014,0,0,3014,4015,0,71385,236600,118300,1126,0,0,0,0,0,320,121,0,13203.2,0.0552599,0,0,0,3014,0,0,0,1126,0,0,0,0,0,0,0,0,0,0
8,2,998,2984,0,0,2984,4155,0,71380,218400,109200,1045,0,0,0,0,0,311,90,0,13208.2,0.0563164,0,0,0,2984,0,0,0,1045,0,0,0,0,0,0,0,0,0,0
8,3,1002,2966,0,0,2966,4151,0,71086,220800,110400,1050,0,0,0,0,0,313,98,0,13502.2,0.0542511,0,0,0,2966,0,0,0,1050,0,0,0,0,0,0,0,0,0,0
8,4,997,3052,0,0,3052,4003,0,71314,219600,109800,1037,0,0,0,0,0,330,110,0,13274.2,0.0523615,0,0,0,3052,0,0,0,1037,0,0,0,0,0,0,0,0,0,0
9,1,1002,2636,0,0,2636,3638,0,77886,183800,91900,875,0,0,0,0,0,264,113,0,13576.7,0.055804,0,0,0,2636,0,0,0,875,0,0,0,0,0,0,0,0,0,0
9,2,998,2613,0,0,2613,3769,0,77920,180000,90000,855,0,0,0,0,0,287,84,0,13542.7,0.0604773,0,0,0,2613,0,0,0,855,0,0,0,0,0,0,0,0,0,0
9,3,1002,2610,0,0,2610,3785,0,77803,176400,88200,832,0,0,0,0,0,284,73,0,13659.7,0.0611514,0,0,0,2610,0,0,0,832,0,0,0,0,0,0,0,0,0,0
9,4,998,2674,0,0,2674,3623,0,77763,189000,94500,887,0,0,0,0,0,277,101,0,13699.7,0.0604473,0,0,0,2674,0,0,0,887,0,0,0,0,0,0,0,0,0,0
10,1,1003,2320,0,0,2320,3282,0,84133,156800,78400,747,0,0,0,0,0,241,75,0,13956.5,0.0738668,0,0,0,2320,0,0,0,747,0,0,0,0,0,0,0,0,0,0
10,2,997,2294,0,0,2294,3416,0,83989,162000,81000,772,0,0,0,0,0,234,84,0,14100.5,0.0752374,0,0,0,2294,0,0,0,772,0,0,0,0,0,0,0,0,0,0
10,3,1002,2290,0,0,2290,3441,0,84281,161800,80900,779,0,0,0,0,0,245,75,0,13808.5,0.0774361,0,0,0,2290,0,0,0,779,0,0,0,0,0,0,0,0,0,0
