Time,NodeID,Genome,VectorPopulation
6,1,X-Ad-Be:X-Aw-Be,0
6,1,X-Ad-Be:X-Ad-Bw,0
6,1,X-Ad-Be:X-Ar-Bw,0
6,1,X-Ad-Be:X-Aw-Bw,0
6,1,X-Ar-Be:X-Ar-Be,0
6,1,X-Ar-Be:X-Aw-Be,0
6,1,X-Ar-Be:X-Ar-Bw,0
6,1,X-Ar-Be:X-Aw-Bw,0
6,1,X-Aw-Be:X-Aw-Be,0
6,1,X-Aw-Be:X-Aw-Bw,0
6,1,X-Ad-Bw:X-Ad-Bw,0
6,1,X-Ad-Bw:X-Ar-Bw,0
6,1,X-Ad-Bw:X-Aw-Bw,0
6,1,X-Ar-Bw:X-Ar-Bw,268
6,1,X-Ar-Bw:X-Aw-Bw,1604
6,1,X-Aw-Bw:X-Aw-Bw,2523
7,1,X-Ad-Be:X-Ad-Be,0
7,1,X-Ad-Be:X-Ar-Be,0
7,1,X-Ad-Be:X-Aw-Be,0
7,1,X-Ad-Be:X-Ad-Bw,0
7,1,X-Ad-Be:X-Ar-Bw,0
7,1,X-Ad-Be:X-Aw-Bw,0
7,1,X-Ar-Be:X-Ar-Be,0
7,1,X-Ar-Be:X-Aw-Be,0
7,1,X-Ar-Be:X-Ar-Bw,0
7,1,X-Ar-Be:X-Aw-Bw,0
7,1,X-Aw-Be:X-Aw-Be,0
7,1,X-Aw-Be:X-Aw-Bw,0
7,1,X-Ad-Bw:X-Ad-Bw,0
7,1,X-Ad-Bw:X-Ar-Bw,0
7,1,X-Ad-Bw:X-Aw-Bw,0
7,1,X-Ar-Bw:X-Ar-Bw,223
7,1,X-Ar-Bw:X-Aw-Bw,1410
7,1,X-Aw-Bw:X-Aw-Bw,2206
8,1,X-Ad-Be:X-Ad-Be,0
8,1,X-Ad-Be:X-Ar-Be,0
8,1,X-Ad-Be:X-Aw-Be,0
8,1,X-Ad-Be:X-Ad-Bw,0
8,1,X-Ad-Be:X-Ar-Bw,0
8,1,X-Ad-Be:X-Aw-Bw,0
8,1,X-Ar-Be:X-Ar-Be,0
8,1,X-Ar-Be:X-Aw-Be,0
8,1,X-Ar-Be:X-Ar-Bw,0
8,1,X-Ar-Be:X-Aw-Bw,0
8,1,X-Aw-Be:X-Aw-Be,0
8,1,X-Aw-Be:X-Aw-Bw,0
8,1,X-Ad-Bw:X-Ad-Bw,0
8,1,X-Ad-Bw:X-Ar-Bw,0
8,1,X-Ad-Bw:X-Aw-Bw,0
8,1,X-Ar-Bw:X-Ar-Bw,198
8,1,X-Ar-Bw:X-Aw-Bw,1231
8,1,X-Aw-Bw:X-Aw-Bw,1888
9,1,X-Ad-Be:X-Ad-Be,0
9,1,X-Ad-Be:X-Ar-Be,0
9,1,X-Ad-Be:X-Aw-Be,0
9,1,X-Ad-Be:X-Ad-Bw,0
9,1,X-Ad-Be:X-Ar-Bw,0
9,1,X-Ad-Be:X-Aw-Bw,0
9,1,X-Ar-Be:X-Ar-Be,0
9,1,X-Ar-Be:X-Aw-Be,0
9,1,X-Ar-Be:X-Ar-Bw,0
9,1,X-Ar-Be:X-Aw-Bw,0
9,1,X-Aw-Be:X-Aw-Be,0
9,1,X-Aw-Be:X-Aw-Bw,0
9,1,X-Ad-Bw:X-Ad-Bw,0
9,1,X-Ad-Bw:X-Ar-Bw,0
9,1,X-Ad-Bw:X-Aw-Bw,0
9,1,X-Ar-Bw:X-Ar-Bw,173
9,1,X-Ar-Bw:X-Aw-Bw,1065
9,1,X-Aw-Bw:X-Aw-Bw,1638
10,1,X-Ad-Be:X-Ad-Be,0
10,1,X-Ad-Be:X-Ar-Be,0
10,1,X-Ad-Be:X-Aw-Be,0
10,1,X-Ad-Be:X-Ad-Bw,0
10,1,X-Ad-Be:X-Ar-Bw,0
10,1,X-Ad-Be:X-Aw-Bw,0
10,1,X-Ar-Be:X-Ar-Be,0
10,1,X-Ar-Be:X-Aw-Be,0
10,1,X-Ar-Be:X-Ar-Bw,0
10,1,X-Ar-Be:X-Aw-Bw,0
10,1,X-Aw-Be:X-Aw-Be,0
10,1,X-Aw-Be:X-Aw-Bw,0
10,1,X-Ad-Bw:X-Ad-Bw,0
10,1,X-Ad-Bw:X-Ar-Bw,0
10,1,X-Ad-Bw:X-Aw-Bw,0
10,1,X-Ar-Bw:X-Ar-Bw,145
10,1,X-Ar-Bw:X-Aw-Bw,913
10,1,X-Aw-Bw:X-Aw-Bw,1383
11,1,X-Ad-Be:X-Ad-Be,0
11,1,X-Ad-Be:X-Ar-Be,0
11,1,X-Ad-Be:X-Aw-Be,0
11,1,X-Ad-Be:X-Ad-Bw,0
11,1,X-Ad-Be:X-Ar-Bw,0
11,1,X-Ad-Be:X-Aw-Bw,0
11,1,X-Ar-Be:X-Ar-Be,0
11,1,X-Ar-Be:X-Aw-Be,0
11,1,X-Ar-Be:X-Ar-Bw,0
11,1,X-Ar-Be:X-Aw-Bw,0
11,1,X-Aw-Be:X-Aw-Be,0
11,1,X-Aw-Be:X-Aw-Bw,0
11,1,X-Ad-Bw:X-Ad-Bw,0
11,1,X-Ad-Bw:X-Ar-Bw,0
11,1,X-Ad-Bw:X-Aw-Bw,0
11,1,X-Ar-Bw:X-Ar-Bw,126
11,1,X-Ar-Bw:X-Aw-Bw,763
11,1,X-Aw-Bw:X-Aw-Bw,1183
12,1,X-Ad-Be:X-Ad-Be,0
12,1,X-Ad-Be:X-Ar-Be,0
12,1,X-Ad-Be:X-Aw-Be,0
12,1,X-Ad-Be:X-Ad-Bw,0
12,1,X-Ad-Be:X-Ar-Bw,0
12,1,X-Ad-Be:X-Aw-Bw,0
12,1,X-Ar-Be:X-Ar-Be,0
12,1,X-Ar-Be:X-Aw-Be,0
12,1,X-Ar-Be:X-Ar-Bw,0
12,1,X-Ar-Be:X-Aw-Bw,0
12,1,X-Aw-Be:X-Aw-Be,0
12,1,X-Aw-Be:X-Aw-Bw,0
12,1,X-Ad-Bw:X-Ad-Bw,0
12,1,X-Ad-Bw:X-Ar-Bw,0
12,1,X-Ad-Bw:X-Aw-Bw,0
12,1,X-Ar-Bw:X-Ar-Bw,97
12,1,X-Ar-Bw:X-Aw-Bw,645
12,1,X-Aw-Bw:X-Aw-Bw,1002
13,1,X-Ad-Be:X-Ad-Be,0
13,1,X-Ad-Be:X-Ar-Be,0
13,1,X-Ad-Be:X-Aw-Be,0
13,1,X-Ad-Be:X-Ad-Bw,0
13,1,X-Ad-Be:X-Ar-Bw,0
13,1,X-Ad-Be:X-Aw-Bw,0
13,1,X-Ar-Be:X-Ar-Be,0
13,1,X-Ar-Be:X-Aw-Be,0
13,1,X-Ar-Be:X-Ar-Bw,0
13,1,X-Ar-Be:X-Aw-Bw,0
13,1,X-Aw-Be:X-Aw-Be,0
13,1,X-Aw-Be:X-Aw-Bw,0
13,1,X-Ad-Bw:X-Ad-Bw,0
13,1,X-Ad-Bw:X-Ar-Bw,0
13,1,X-Ad-Bw:X-Aw-Bw,0
13,1,X-Ar-Bw:X-Ar-Bw,78
13,1,X-Ar-Bw:X-Aw-Bw,544
13,1,X-Aw-Bw:X-Aw-Bw,835
14,1,X-Ad-Be:X-Ad-Be,0
14,1,X-Ad-Be:X-Ar-Be,0
14,1,X-Ad-Be:X-Aw-Be,0
14,1,X-Ad-Be:X-Ad-Bw,0
14,1,X-Ad-Be:X-Ar-Bw,0
14,1,X-Ad-Be:X-Aw-Bw,0
14,1,X-Ar-Be:X-Ar-Be,0
14,1,X-Ar-Be:X-Aw-Be,0
14,1,X-Ar-Be:X-Ar-Bw,0
14,1,X-Ar-Be:X-Aw-Bw,0
14,1,X-Aw-Be:X-Aw-Be,0
14,1,X-Aw-Be:X-Aw-Bw,0
14,1,X-Ad-Bw:X-Ad-Bw,0
14,1,X-Ad-Bw:X-Ar-Bw,0
14,1,X-Ad-Bw:X-Aw-Bw,0
14,1,X-Ar-Bw:X-Ar-Bw,64
14,1,X-Ar-Bw:X-Aw-Bw,439
14,1,X-Aw-Bw:X-Aw-Bw,681
15,1,X-Ad-Be:X-Ad-Be,0
15,1,X-Ad-Be:X-Ar-Be,0
15,1,X-Ad-Be:X-Aw-Be,0
15,1,X-Ad-Be:X-Ad-Bw,0
15,1,X-Ad-Be:X-Ar-Bw,0
15,1,X-Ad-Be:X-Aw-Bw,0
15,1,X-Ar-Be:X-Ar-Be,0
15,1,X-Ar-Be:X-Aw-Be,0
15,1,X-Ar-Be:X-Ar-Bw,0
15,1,X-Ar-Be:X-Aw-Bw,0
15,1,X-Aw-Be:X-Aw-Be,0
15,1,X-Aw-Be:X-Aw-Bw,0
15,1,X-Ad-Bw:X-Ad-Bw,0
15,1,X-Ad-Bw:X-Ar-Bw,0
15,1,X-Ad-Bw:X-Aw-Bw,0
15,1,X-Ar-Bw:X-Ar-Bw,59
15,1,X-Ar-Bw:X-Aw-Bw,379
15,1,X-Aw-Bw:X-Aw-Bw,569
16,1,X-Ad-Be:X-Ad-Be,0
16,1,X-Ad-Be:X-Ar-Be,0
16,1,X-Ad-Be:X-Aw-Be,0
16,1,X-Ad-Be:X-Ad-Bw,0
16,1,X-Ad-Be:X-Ar-Bw,0
16,1,X-Ad-Be:X-Aw-Bw,0
16,1,X-Ar-Be:X-Ar-Be,0
16,1,X-Ar-Be:X-Aw-Be,0
16,1,X-Ar-Be:X-Ar-Bw,0
16,1,X-Ar-Be:X-Aw-Bw,0
16,1,X-Aw-Be:X-Aw-Be,0
16,1,X-Aw-Be:X-Aw-Bw,0
16,1,X-Ad-Bw:X-Ad-Bw,0
16,1,X-Ad-Bw:X-Ar-Bw,0
16,1,X-Ad-Bw:X-Aw-Bw,0
16,1,X-Ar-Bw:X-Ar-Bw,47
16,1,X-Ar-Bw:X-Aw-Bw,300
16,1,X-Aw-Bw:X-Aw-Bw,479
17,1,X-Ad-Be:X-Ad-Be,0
17,1,X-Ad-Be:X-Ar-Be,0
17,1,X-Ad-Be:X-Aw-Be,0
17,1,X-Ad-Be:X-Ad-Bw,0
17,1,X-Ad-Be:X-Ar-Bw,0
17,1,X-Ad-Be:X-Aw-Bw,0
17,1,X-Ar-Be:X-Ar-Be,0
17,1,X-Ar-Be:X-Aw-Be,0
17,1,X-Ar-Be:X-Ar-Bw,0
17,1,X-Ar-Be:X-Aw-Bw,0
17,1,X-Aw-Be:X-Aw-Be,0
17,1,X-Aw-Be:X-Aw-Bw,0
17,1,X-Ad-Bw:X-Ad-Bw,0
17,1,X-Ad-Bw:X-Ar-Bw,0
17,1,X-Ad-Bw:X-Aw-Bw,0
17,1,X-Ar-Bw:X-Ar-Bw,35
17,1,X-Ar-Bw:X-Aw-Bw,233
17,1,X-Aw-Bw:X-Aw-Bw,404
18,1,X-Ad-Be:X-Ad-Be,0
18,1,X-Ad-Be:X-Ar-Be,0
18,1,X-Ad-Be:X-Aw-Be,0
18,1,X-Ad-Be:X-Ad-Bw,0
18,1,X-Ad-Be:X-Ar-Bw,0
18,1,X-Ad-Be:X-Aw-Bw,0
18,1,X-Ar-Be:X-Ar-Be,0
18,1,X-Ar-Be:X-Aw-Be,0
18,1,X-Ar-Be:X-Ar-Bw,0
18,1,X-Ar-Be:X-Aw-Bw,0
18,1,X-Aw-Be:X-Aw-Be,0
18,1,X-Aw-Be:X-Aw-Bw,0
18,1,X-Ad-Bw:X-Ad-Bw,0
18,1,X-Ad-Bw:X-Ar-Bw,0
18,1,X-Ad-Bw:X-Aw-Bw,0
18,1,X-Ar-Bw:X-Ar-Bw,31
18,1,X-Ar-Bw:X-Aw-Bw,195
18,1,X-Aw-Bw:X-Aw-Bw,333
19,1,X-Ad-Be:X-Ad-Be,0
