Time,Year,Node_ID,Coital_Act_ID,Rel_ID,Rel_type (0 = TRANSITORY; 1 = INFORMAL; 2 = MARITAL; 3 = COMMERCIAL),Is_rel_outside_PFA,A_ID,B_ID,A_Gender,B_Gender,A_Age,B_Age,A_IP='Accessibility',B_IP='Accessibility',A_HasIntervention='GoodCircumcision',B_HasIntervention='GoodCircumcision',A_HasIntervention='BadCircumcision',B_HasIntervention='BadCircumcision',A_Is_Infected,B_Is_Infected,Did_Use_Condom,Risk_Multiplier,Transmission_Multiplier,Acquisition_Multiplier,Infection_Was_Transmitted,A_Num_Current_Rels,B_Num_Current_Rels,A_Is_Circumcised,B_Is_Circumcised,A_Has_CoInfection,B_Has_CoInfection,A_HIV_Infection_Stage,B_HIV_Infection_Stage,A_Is_On_ART,B_Is_On_ART
37,1960.6,1,3703,34,1,F,5456,14762,MALE,FEMALE,21.4726,17.6808,Yes,Yes,1,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0
37,1960.6,1,3704,185,0,F,5726,11698,MALE,FEMALE,29.0126,30.0711,Yes,Yes,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
37,1960.6,1,3705,264,1,F,5837,3667,MALE,FEMALE,28.1362,21.3267,Yes,No,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0
37,1960.6,1,3706,264,1,F,5837,3667,MALE,FEMALE,28.1362,21.3267,Yes,No,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
37,1960.6,1,3707,264,1,F,5837,3667,MALE,FEMALE,28.1362,21.3267,Yes,No,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
37,1960.6,1,3713,186,0,F,6513,14907,MALE,FEMALE,24.1637,33.4081,Yes,Yes,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
37,1960.6,1,3714,186,0,F,6513,14907,MALE,FEMALE,24.1637,33.4081,Yes,Yes,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
37,1960.6,1,3719,51,1,F,6958,3919,MALE,FEMALE,26.1774,24.7839,No,Yes,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
37,1960.6,1,3720,51,1,F,6958,3919,MALE,FEMALE,26.1774,24.7839,No,Yes,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
37,1960.6,1,3721,52,1,F,6981,398,MALE,FEMALE,21.2403,15.9393,Yes,Yes,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
37,1960.6,1,3722,380,1,F,6992,6357,MALE,FEMALE,26.3641,22.5708,Yes,Yes,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
37,1960.6,1,3723,380,1,F,6992,6357,MALE,FEMALE,26.3641,22.5708,Yes,Yes,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
