Time,NodeID,Genome,VectorPopulation
33,1,X-Ad-Be:X-Ad-Bw,0
33,1,X-Ad-Be:X-Aw-Bw,0
33,1,X-Aw-Be:X-Aw-Be,0
33,1,X-Aw-Be:X-Aw-Bw,0
33,1,X-Ad-Bw:X-Ad-Bw,0
33,1,X-Ad-Bw:X-Aw-Bw,0
33,1,X-Aw-Bw:X-Aw-Bw,40380
34,1,X-Ad-Be:X-Ad-Be,0
34,1,X-Ad-Be:X-Aw-Be,0
34,1,X-Ad-Be:X-Ad-Bw,0
34,1,X-Ad-Be:X-Aw-Bw,0
34,1,X-Aw-Be:X-Aw-Be,0
34,1,X-Aw-Be:X-Aw-Bw,0
34,1,X-Ad-Bw:X-Ad-Bw,0
34,1,X-Ad-Bw:X-Aw-Bw,0
34,1,X-Aw-Bw:X-Aw-Bw,36299
35,1,X-Ad-Be:X-Ad-Be,0
35,1,X-Ad-Be:X-Aw-Be,0
35,1,X-Ad-Be:X-Ad-Bw,0
35,1,X-Ad-Be:X-Aw-Bw,0
35,1,X-Aw-Be:X-Aw-Be,0
35,1,X-Aw-Be:X-Aw-Bw,0
35,1,X-Ad-Bw:X-Ad-Bw,0
35,1,X-Ad-Bw:X-Aw-Bw,0
35,1,X-Aw-Bw:X-Aw-Bw,32528
36,1,X-Ad-Be:X-Ad-Be,0
36,1,X-Ad-Be:X-Aw-Be,0
36,1,X-Ad-Be:X-Ad-Bw,0
36,1,X-Ad-Be:X-Aw-Bw,0
36,1,X-Aw-Be:X-Aw-Be,0
36,1,X-Aw-Be:X-Aw-Bw,0
36,1,X-Ad-Bw:X-Ad-Bw,0
36,1,X-Ad-Bw:X-Aw-Bw,0
36,1,X-Aw-Bw:X-Aw-Bw,28581
37,1,X-Ad-Be:X-Ad-Be,0
37,1,X-Ad-Be:X-Aw-Be,0
37,1,X-Ad-Be:X-Ad-Bw,0
37,1,X-Ad-Be:X-Aw-Bw,0
37,1,X-Aw-Be:X-Aw-Be,0
37,1,X-Aw-Be:X-Aw-Bw,0
37,1,X-Ad-Bw:X-Ad-Bw,0
37,1,X-Ad-Bw:X-Aw-Bw,0
37,1,X-Aw-Bw:X-Aw-Bw,25250
38,1,X-Ad-Be:X-Ad-Be,0
38,1,X-Ad-Be:X-Aw-Be,0
38,1,X-Ad-Be:X-Ad-Bw,0
38,1,X-Ad-Be:X-Aw-Bw,0
38,1,X-Aw-Be:X-Aw-Be,0
38,1,X-Aw-Be:X-Aw-Bw,0
38,1,X-Ad-Bw:X-Ad-Bw,0
38,1,X-Ad-Bw:X-Aw-Bw,0
38,1,X-Aw-Bw:X-Aw-Bw,22280
39,1,X-Ad-Be:X-Ad-Be,0
39,1,X-Ad-Be:X-Aw-Be,0
39,1,X-Ad-Be:X-Ad-Bw,0
39,1,X-Ad-Be:X-Aw-Bw,0
39,1,X-Aw-Be:X-Aw-Be,0
39,1,X-Aw-Be:X-Aw-Bw,0
39,1,X-Ad-Bw:X-Ad-Bw,0
39,1,X-Ad-Bw:X-Aw-Bw,0
39,1,X-Aw-Bw:X-Aw-Bw,19461
40,1,X-Ad-Be:X-Ad-Be,0
40,1,X-Ad-Be:X-Aw-Be,0
40,1,X-Ad-Be:X-Ad-Bw,0
40,1,X-Ad-Be:X-Aw-Bw,0
40,1,X-Aw-Be:X-Aw-Be,0
40,1,X-Aw-Be:X-Aw-Bw,0
40,1,X-Ad-Bw:X-Ad-Bw,0
40,1,X-Ad-Bw:X-Aw-Bw,0
40,1,X-Aw-Bw:X-Aw-Bw,17018
41,1,X-Ad-Be:X-Ad-Be,0
41,1,X-Ad-Be:X-Aw-Be,0
41,1,X-Ad-Be:X-Ad-Bw,0
41,1,X-Ad-Be:X-Aw-Bw,0
41,1,X-Aw-Be:X-Aw-Be,0
41,1,X-Aw-Be:X-Aw-Bw,0
41,1,X-Ad-Bw:X-Ad-Bw,0
41,1,X-Ad-Bw:X-Aw-Bw,0
41,1,X-Aw-Bw:X-Aw-Bw,14734
42,1,X-Ad-Be:X-Ad-Be,0
42,1,X-Ad-Be:X-Aw-Be,0
42,1,X-Ad-Be:X-Ad-Bw,0
42,1,X-Ad-Be:X-Aw-Bw,0
42,1,X-Aw-Be:X-Aw-Be,0
