SIM_TIME,YEAR,NODE_ID,REL_ID,REL_TYPE (0 = TRANSITORY; 1 = INFORMAL; 2 = MARITAL; 3 = COMMERCIAL),Is_rel_outside_PFA,SRC_ID,SRC_INFECTED,SRC_GENDER,SRC_AGE,SRC_IP,SRC_current_relationship_count,SRC_lifetime_relationship_count,SRC_relationships_in_last_6_months,SRC_FLAGS,SRC_CIRCUMSIZED,SRC_STI,SRC_SUPERSPREADER,SRC_INF_AGE,DEST_ID,DEST_INFECTED,DEST_GENDER,DEST_AGE,DEST_IP,DEST_current_relationship_count,DEST_lifetime_relationship_count,DEST_relationships_in_last_6_months,DEST_FLAGS,DEST_CIRCUMSIZED,DEST_STI,DEST_SUPERSPREADER
4,1960.51,1,50,0,0,10156,1,1,5489.98,"",1,1,1,0,0,0,0,5485.98,15906,1,0,7432.27,"",1,1,1,0,0,0,0
5,1960.51,1,58,0,0,4717,1,1,7170.45,"",1,1,1,0,0,0,0,7166.45,1581,1,0,5342.4,"",1,1,1,0,0,0,0
5,1960.51,1,59,0,0,7491,1,1,5904.95,"",1,1,1,0,0,0,0,5900.95,4658,1,0,9662.45,"",1,1,1,0,0,0,0
5,1960.51,1,63,0,0,9997,1,1,6068.36,"",1,1,1,0,0,0,0,6063.36,14977,1,0,9611.08,"",1,1,1,0,0,0,0
5,1960.51,1,68,1,0,2211,1,1,6870.93,"",1,1,1,0,0,0,0,6865.93,15628,1,0,10246.8,"",1,1,1,0,0,0,0
5,1960.51,1,64,0,0,15882,1,1,5604.74,"",1,1,1,0,0,0,0,5599.74,15977,1,0,10672.2,"",1,1,1,0,0,0,0
5,1960.51,1,70,1,0,2463,1,1,6871.78,"",1,1,1,0,0,0,0,6866.78,16949,1,0,10706.7,"",1,1,1,0,0,0,0
6,1960.52,1,82,1,0,736,1,1,6688.34,"",1,1,1,0,0,0,0,6682.34,2685,1,0,9210.36,"",1,1,1,0,0,0,0
6,1960.52,1,73,0,0,9858,1,1,5710.51,"",1,1,1,0,0,0,0,5705.51,5037,1,0,8429.56,"",1,1,1,0,0,0,0
6,1960.52,1,79,0,0,11668,1,1,5962.23,"",1,1,1,0,0,0,0,5956.23,11921,1,0,9228.73,"",1,1,1,0,0,0,0
6,1960.52,1,80,0,0,14972,1,1,6227.98,"",1,1,1,0,0,0,0,6221.98,16260,1,0,7333.22,"",1,1,1,0,0,0,0
7,1960.52,1,92,1,0,16792,1,1,7140.72,"",1,1,1,0,0,0,0,7134.72,1480,1,0,9682.85,"",1,1,1,0,0,0,0
8,1960.52,1,104,0,0,16585,1,0,6920.77,"",1,1,1,0,0,0,0,6913.77,635,1,1,6607.63,"",1,1,1,0,0,0,0
