Time,NodeID,Population,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_MALE,STATE_IMMATURE,STATE_LARVA,STATE_EGG,NumLookingToFeed,NumFedCount,NumGestatingBegin,NumGestatingEnd,NumAttemptFeedIndoor,NumAttemptFeedOutdoor,NumAttemptButNotFeed,NewEggsCount,IndoorBitesCount,IndoorBitesCount-Infectious,OutdoorBitesCount,OutdoorBitesCount-Infectious,NewAdults,UnmatedAdults,DiedBeforeFeeding,DiedDuringFeedingIndoor,DiedDuringFeedingOutdoor,NumGestatingOnDay_0,NumGestatingOnDay_1,NumGestatingOnDay_2,NumGestatingOnDay_3,NumGestatingOnDay_4,NumGestatingOnDay_5,NumGestatingOnDay_6,NumGestatingOnDay_7,SillySkeeter_AvailableHabitat,SillySkeeter_EggCrowdingCorrection,NumInfectousBitesGiven,NumInfectousBitesReceived,InfectiousBitesGivenMinusReceived
25,340461476,1000,6666,144,0,6522,8018,12648,79268,227400,1995,1800,3907,5707,1995,0,0,113700,1995,0,0,0,959,0,635,195,0,2288,1619,1800,0,0,0,0,0,11272,0.0576463,0,0,0
26,340461476,1000,6806,113,67,6626,8191,13269,79122,419600,2966,2683,3109,5792,2966,0,0,209800,2966,73,0,0,1014,0,591,283,0,1468,1641,2683,0,0,0,0,0,11793.9,0.049569,73,49,24
27,340461476,1000,6808,105,126,6577,8356,13963,79532,264400,2238,1994,3922,5916,2238,0,0,132200,2238,0,0,0,892,0,646,244,0,1489,2433,1994,0,0,0,0,0,11715.7,0.0281076,0,0,0
28,340461476,1000,7701,91,154,7456,9270,12911,80056,270000,2159,1938,4021,5959,2159,0,0,135000,2159,0,0,0,1742,0,628,221,0,2215,1806,1938,0,0,0,0,0,11484.4,0.0443103,0,0,0
29,340461476,1000,7818,72,213,7533,9621,12961,80670,400960,3600,3242,3415,6657,3600,0,0,200480,3600,42,0,0,1161,0,686,358,0,1664,1751,3242,0,0,0,0,0,11128.6,0.0425347,42,52,-10
30,340461476,1000,8135,67,237,7831,9954,12906,80451,296880,2517,2273,4572,6845,2517,0,0,148440,2517,0,0,0,1290,0,729,244,0,1603,2969,2273,0,0,0,0,0,11575.5,0.027755,0,0,0
31,340461476,1000,8422,62,289,8071,10297,12720,80649,289960,2605,2334,4787,7121,2605,0,0,144980,2605,0,0,0,1301,0,743,271,0,2709,2078,2334,0,0,0,0,0,11578.6,0.0389906,0,0,0
32,340461476,1000,8438,47,741,7650,10562,12746,80905,485480,3620,3300,3981,7281,3620,0,0,242740,3620,25,0,0,1157,0,821,320,0,1859,2122,3300,0,0,0,0,0,11500.1,0.0399318,25,35,-10
33,340461476,1000,8606,40,1037,7529,10827,12568,81022,335120,2732,2450,4895,7345,2732,0,0,167560,2732,0,0,0,1261,0,811,282,0,1919,2976,2450,0,0,0,0,0,11539.6,0.0236881,0,0,0
34,340461476,1000,8687,63,1315,7309,11011,12695,81292,344880,2870,2558,4931,7489,2870,0,0,172440,2870,0,0,0,1198,0,805,312,0,2709,2222,2558,0,0,0,0,0,11407.8,0.0344344,0,0,0
35,340461476,1000,8748,68,1674,7006,11255,12589,81427,472120,3519,3178,4315,7493,3519,0,0,236060,3519,25,0,0,1255,0,853,341,0,2002,2313,3178,0,0,0,0,0,11394.7,0.0330776,25,19,6
36,340461476,1000,8855,79,1895,6881,11430,13356,80718,346040,2925,2639,4975,7614,2925,0,0,173020,2925,9,0,0,1241,0,848,286,0,2088,2887,2639,0,0,0,0,0,12211.3,0.0241352,9,10,-1
37,340461476,1000,8879,105,2052,6722,11589,13483,81432,365040,3009,2691,5023,7714,3009,0,0,182520,3009,9,0,0,1165,0,823,318,0,2649,2374,2691,0,0,0,0,0,11592.2,0.0352886,9,6,3
38,340461476,1000,8973,102,2281,6590,11693,13642,81384,457960,3482,3146,4611,7757,3482,0,0,228980,3482,36,0,0,1216,0,786,336,0,2155,2456,3146,0,0,0,0,0,11724,0.031756,36,26,10
39,340461476,1000,9020,117,2400,6503,11866,13842,81530,371360,3053,2739,5059,7798,3053,0,0,185680,3053,17,0,0,1222,0,861,314,0,2230,2829,2739,0,0,0,0,0,11651.9,0.0256004,17,19,-2
40,340461476,1000,9305,292,2404,6609,12192,13507,81612,382400,3126,2815,5033,7848,3126,0,0,191200,3126,19,0,0,1457,0,861,311,0,2568,2465,2815,0,0,0,0,0,11635.1,0.0313762,19,13,6
